gene_name	enhancer_class	log2FC	padj
0610043K17Rik	Stable	0.271408	0.585818
0610043K17Rik	Stable	0.271408	0.585818
0610043K17Rik	Stable	0.271408	0.585818
0610043K17Rik	Stable	0.271408	0.585818
0610043K17Rik	Stable	0.271408	0.585818
1110002J07Rik	K119ub_Only	0.156335	0.945376
1110002J07Rik	Stable	0.156335	0.945376
1110002J07Rik	Activity_Lost	0.156335	0.945376
1110002J07Rik	Activity_Lost	0.156335	0.945376
1110002J07Rik	Stable	0.156335	0.945376
1110002J07Rik	Stable	0.156335	0.945376
1110002J07Rik	K119ub_Only	0.156335	0.945376
1110002J07Rik	K119ub_Only	0.156335	0.945376
1110002J07Rik	K119ub_Only	0.156335	0.945376
1110038B12Rik	Stable	-0.052412	0.959898
1110038B12Rik	Stable	-0.052412	0.959898
1110038B12Rik	Stable	-0.052412	0.959898
1110038B12Rik	Stable	-0.052412	0.959898
1110038B12Rik	Stable	-0.052412	0.959898
1110038B12Rik	Stable	-0.052412	0.959898
1110038B12Rik	Stable	-0.052412	0.959898
1110038B12Rik	Stable	-0.052412	0.959898
1110038B12Rik	Stable	-0.052412	0.959898
1110038B12Rik	Stable	-0.052412	0.959898
1110038B12Rik	Stable	-0.052412	0.959898
1110059E24Rik	K119ub_Only	-0.289425	0.00056
1110059E24Rik	Activity_Lost	-0.289425	0.00056
1110059E24Rik	Activity_Lost	-0.289425	0.00056
1110059E24Rik	Stable	-0.289425	0.00056
1110059E24Rik	Stable	-0.289425	0.00056
1110059E24Rik	K119ub_Only	-0.289425	0.00056
1300002E11Rik	Stable	-0.006516	0.985649
1500004A13Rik	Stable	0.030705	0.943211
1500009L16Rik	Stable	0.304749	0.125404
1500012K07Rik	Stable	-1.099014	0.063366
1500012K07Rik	Stable	-1.099014	0.063366
1500012K07Rik	Stable	-1.099014	0.063366
1500012K07Rik	Stable	-1.099014	0.063366
1500012K07Rik	Stable	-1.099014	0.063366
1600014C10Rik	Activity_Lost	0.46774	0.338925
1600014C10Rik	Activity_Lost	0.46774	0.338925
1600014C10Rik	Activity_Lost	0.46774	0.338925
1700001J03Rik	Stable	0.147465	0.934194
1700001J03Rik	Stable	0.147465	0.934194
1700003M07Rik	Stable	-0.783961	0.278929
1700003M07Rik	Stable	-0.783961	0.278929
1700003M07Rik	Stable	-0.783961	0.278929
1700003M07Rik	Stable	-0.783961	0.278929
1700003M07Rik	Stable	-0.783961	0.278929
1700003M07Rik	Stable	-0.783961	0.278929
1700008O03Rik	Stable	-0.142497	0.769906
1700008O03Rik	Stable	-0.142497	0.769906
1700010L04Rik	Stable	-0.294644	0.901226
1700010L04Rik	K119ub_Only	-0.294644	0.901226
1700010L04Rik	Stable	-0.294644	0.901226
1700010L04Rik	Stable	-0.294644	0.901226
1700010L04Rik	Stable	-0.294644	0.901226
1700010L04Rik	Stable	-0.294644	0.901226
1700012C14Rik	Stable	-1.223393	0.218478
1700012C14Rik	Stable	-1.223393	0.218478
1700016P03Rik	Stable	0.083286	0.961934
1700016P03Rik	Stable	0.083286	0.961934
1700025G04Rik	Stable	-0.026949	0.950143
1700025G04Rik	K119ub_Only	-0.026949	0.950143
1700025G04Rik	Activity_Lost	-0.026949	0.950143
1700025G04Rik	Stable	-0.026949	0.950143
