target_gene	log2FC	padj	is_de
Arfgef1	-0.008626	0.975477	FALSE
Cops5	0.071424	0.754247	FALSE
Cspp1	0.068491	0.780352	FALSE
Mcmdc2	0.235366	0.259629	FALSE
Ppp1r42	0.129523	0.959898	FALSE
Sgk3	0.205135	0.429494	FALSE
Snhg6	0.113277	0.848077	FALSE
Cdh20	-0.047035	0.937971	FALSE
Pign	-0.434413	0.002813	FALSE
Relch	-0.149692	0.215091	FALSE
Rnf152	-0.299979	0.000936	FALSE
Tnfrsf11a	0.869064	0	TRUE
Serpinb8	-0.579919	0.086082	FALSE
Ddx18	0.057682	0.804392	FALSE
Dpp10	-0.134133	0.807869	FALSE
Adora1	0.072354	0.59613	FALSE
Mybph	0.244132	0.564397	FALSE
Myog	0.23438	0.931664	FALSE
Ppfia4	0.106359	0.701909	FALSE
Tmem183a	-0.041237	0.896035	FALSE
Cyb5r1	-0.731028	0.0081	TRUE
Klhl12	-0.063719	0.769385	FALSE
Gm19705	-0.184171	0.72983	FALSE
Zfp281	0.024778	0.925627	FALSE
Eya1	0.166658	0.406031	FALSE
1700025G04Rik	-0.026949	0.950143	FALSE
Colgalt2	-0.329031	0.330105	FALSE
Tsen15	-0.081601	0.760747	FALSE
Nmnat2	0.00691	0.987885	FALSE
Smg7	0.06147	0.633148	FALSE
Lamc2	0.512964	0.120924	FALSE
Rgs16	1.722143	0	TRUE
BC034090	-0.20822	0.503617	FALSE
Abl2	0.031192	0.83786	FALSE
Fam20b	-0.055286	0.838912	FALSE
Soat1	0.219496	0.160711	FALSE
Tor3a	0.052689	0.904528	FALSE
4930523C07Rik	0.10101	0.863932	FALSE
Astn1	-0.537957	0	TRUE
Cop1	-0.016244	0.96036	FALSE
Pappa2	-0.305708	0.622835	FALSE
Tex35	0.174859	0.923059	FALSE
Dnm3	-0.095458	0.697176	FALSE
Mpzl1	-0.405953	0.000102	FALSE
Rcsd1	0.071826	0.918962	FALSE
Rgs4	-0.057203	0.956097	FALSE
Rgs5	0.099774	0.794191	FALSE
Gm7694	0.072898	0.910477	FALSE
Nos1ap	0.061854	0.814918	FALSE
Crispld1	0.190201	0.860332	FALSE
Gdap1	0.009808	0.976206	FALSE
Gm28756	0.111387	0.905912	FALSE
Jph1	-0.681759	2e-06	TRUE
Kcnq5	-0.481683	0.281925	FALSE
Ly96	-0.165757	0.836155	FALSE
Tfap2b	-0.051894	0.902032	FALSE
Tmem70	0.025082	0.959555	FALSE
Eloc	0.08828	0.648936	FALSE
Sbspon	-0.093751	0.881041	FALSE
Stau2	0.217658	0.018076	FALSE
Terf1	-0.019208	0.952513	FALSE
Ube2w	0.04547	0.862505	FALSE
Arhgap30	0.42569	0.632852	FALSE
Klhdc9	0.166579	0.805392	FALSE
Nectin4	-0.688212	0.000326	TRUE
Atp1a4	0.797827	0.415945	FALSE
Casq1	0.242616	0.516676	FALSE
Copa	0.122146	0.171359	FALSE
Dcaf8	0.089158	0.490842	FALSE
Ifi204	-0.935902	0.561795	FALSE
Kcnj10	0.112993	0.580529	FALSE
Kcnj9	-0.269742	0.016908	FALSE
Ncstn	-0.031229	0.935563	FALSE
Pea15a	-0.038161	0.896148	FALSE
Pex19	-0.066997	0.775831	FALSE
4933439K11Rik	-0.553923	0.722512	FALSE
Ackr1	-0.074415	0.806943	FALSE
Aim2	0.227633	0.440181	FALSE
Cadm3	-0.093852	0.447245	FALSE
Fmn2	-0.022872	0.948849	FALSE
