task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	80/504c44	1589027	fastp (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-06-25 20:20:56.471	5m 24s	5m 23s	117.6%	1.6 GB	1.8 GB	11.9 GB	11.8 GB
2	0d/5720b4	1596032	fastp (260516_EMseq_LV_index_C1_Bap1_Math1_adult_ctrl_3200_S65_L001)	COMPLETED	0	2026-06-25 20:26:21.023	3m 33s	3m 32s	123.6%	1.6 GB	1.8 GB	7.5 GB	7.5 GB
5	d4/17437f	1600490	fastp (260516_EMseq_LV_index_A1_Bap1_Math1_adult_ctrl_3139_S63_L001)	COMPLETED	0	2026-06-25 20:29:54.405	3m 53s	3m 50s	124.8%	1.6 GB	1.8 GB	7.9 GB	7.9 GB
6	d2/1bd0bd	1605971	fastp (260516_EMseq_LV_index_B1_Bap1_Math1_adult_mut_3391_S64_L001)	COMPLETED	0	2026-06-25 20:33:47.183	2m 51s	2m 50s	124.9%	1.5 GB	1.6 GB	6 GB	6 GB
1	d8/21e344	1609905	fastp (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-06-25 20:36:38.334	4m 26s	4m 25s	117.8%	1.6 GB	1.8 GB	9.7 GB	9.7 GB
4	19/262903	1615338	fastp (260516_EMseq_LV_index_D1_Bap1_Math1_adult_mut_3201_S66_L001)	COMPLETED	0	2026-06-25 20:41:04.864	3m 19s	3m 18s	124.9%	1.6 GB	1.8 GB	7 GB	7 GB
12	5b/4e9be5	1619612	alignReads (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-06-25 20:44:23.901	7m 31s	7m 30s	887.6%	19.4 GB	58.5 GB	19.3 GB	7.9 GB
22	d0/b1a258	1637072	alignReads (260516_EMseq_LV_index_C1_Bap1_Math1_adult_ctrl_3200_S65_L001)	COMPLETED	0	2026-06-25 20:51:54.995	34.5s	33.2s	318.4%	15.1 GB	40.2 GB	11.6 GB	153.1 MB
26	19/b5f1e6	1639763	alignReads (260516_EMseq_LV_index_A1_Bap1_Math1_adult_ctrl_3139_S63_L001)	COMPLETED	0	2026-06-25 20:52:29.526	6m 17s	6m 15s	912.3%	20.4 GB	59.8 GB	17.4 GB	6 GB
27	3f/6c1d5e	1655246	alignReads (260516_EMseq_LV_index_A1_Bap1_Math1_adult_ctrl_3139_S63_L001)	COMPLETED	0	2026-06-25 20:58:46.353	6m 16s	6m 15s	909.7%	20.6 GB	59.9 GB	17.4 GB	6 GB
