location	enhancer_class	rho	n	metric
Promoter	Activity_Lost	0.675081151268388	10	raw_delta
Promoter	K119ub_Only	0.519719196506428	9	raw_delta
Promoter	Activity_Gain	0.19971646811833	18	raw_delta
Promoter	Stable	0.224515572554424	679	raw_delta
Distal	Activity_Lost	0.126859993804608	16790	raw_delta
Distal	K119ub_Only	0.273181738443384	5924	raw_delta
Distal	Activity_Gain	0.0826105484894969	3114	raw_delta
Distal	Stable	0.205303039647009	54660	raw_delta
Promoter	Activity_Lost	0.489278999543143	10	log2fc
Promoter	K119ub_Only	0.727606875108999	9	log2fc
Promoter	Activity_Gain	0.438483642293318	18	log2fc
Promoter	Stable	0.268028032679183	679	log2fc
Distal	Activity_Lost	0.27181551113843	16790	log2fc
Distal	K119ub_Only	0.3473254387515	5924	log2fc
Distal	Activity_Gain	0.356519194133976	3114	log2fc
Distal	Stable	0.280299334024812	54660	log2fc
