gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	ABC.Score_WT	ABC.Score_KO	logFC_AxC
Ankrd37	0.177347	0.722512	31.106649	FALSE	-5.491494	-7.057749	7	0	7	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	22.649382717543322	23.033259315689335	0.641402	0	-19.290871576072625
Ptgds	0.121156	0.712828	376.17499	FALSE	-4.6529	-7.52174	6	1	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	19.073799905927206	18.45767650407322	0.38712	0.339168	-0.19078025726280412
Col15a1	1.817056	0	44.216867	TRUE	3.85691	4.045585	7	1	5	TRUE	Control	5	0	5	0.479875209847958	0.3846496748612338	TRUE	TRUE	3	1	5.594091012593551	2.817253832775837	15.679871303745092	25.09121614911448	9.6e-5	0.616794	12.63451870245652
Nyx	-0.826315	0.057034	13.05869	FALSE	-3.788131	-11.566117	11	0	11	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	15.386612575206437	14.770489173352448	0.271743	0	-18.051888655905376
Mcemp1	-0.129119	0.895543	16.088121	FALSE	-3.425745	-5.462288	6	0	6	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	13.841477321710324	13.225353919856335	0.493545	0	-18.912825028984994
Plxna2	-0.139804	0.302467	3354.262735	FALSE	3.108156	5.844856	6	6	0	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	12.487346753690105	12.871223351836116	0	0.369834	18.49652223767823
Rbm25	0.057419	0.796877	1973.231478	FALSE	3.103792	4.159306	4	4	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	12.468739604831548	11.85261620297756	0	0.342989	18.387806989141843
Gnat2	0.083745	0.942017	12.608927	FALSE	2.901671	3.460705	4	4	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	11.606939528195344	10.990816126341356	0	0.447592	18.771827948319807
Cln8	-0.145609	0.552035	107.157646	FALSE	2.792182	3.376369	5	5	0	FALSE	NA	6	1	5	0.794676913275492	0.21885697166622417	TRUE	TRUE	2	0	6.76649406324899	4.893814518062685	11.140102195158098	22.800410776469775	0	0.490286	18.90326698339026
Casc3	0.105672	0.606622	549.867209	FALSE	2.773375	7.625137	10	10	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	11.059913228938374	10.443789827084386	0	0.203098	17.631823610680467
