from_label	to_label	count	rate	pct_of_total	is_diagonal	category	condition
A.1	A.1	6020	0.252983694738612	25.3	TRUE	Stable	Ctrl
A.2	A.1	1037	0.0435787527315515	4.36	FALSE	Within_A	Ctrl
B.1	A.1	148	0.00621953269457052	0.62	FALSE	B_to_A	Ctrl
B.2	A.1	78	0.00327786182551689	0.33	FALSE	B_to_A	Ctrl
A.1	A.2	1195	0.0502185241217011	5.02	FALSE	Within_A	Ctrl
A.2	A.2	1494	0.0627836611195159	6.28	TRUE	Stable	Ctrl
B.1	A.2	566	0.0237855101697764	2.38	FALSE	B_to_A	Ctrl
B.2	A.2	102	0.00428643469490671	0.43	FALSE	B_to_A	Ctrl
A.1	B.1	331	0.0139099008236678	1.39	FALSE	A_to_B	Ctrl
A.2	B.1	1272	0.0534543620776601	5.35	FALSE	A_to_B	Ctrl
B.1	B.1	1158	0.0486636409480585	4.87	TRUE	Stable	Ctrl
B.2	B.1	518	0.0217683644309968	2.18	FALSE	Within_B	Ctrl
A.1	B.2	42	0.00176500252143217	0.18	FALSE	A_to_B	Ctrl
A.2	B.2	686	0.0288283745167255	2.88	FALSE	A_to_B	Ctrl
B.1	B.2	1815	0.0762733232476046	7.63	FALSE	Within_B	Ctrl
B.2	B.2	7334	0.308203059337704	30.82	TRUE	Stable	Ctrl
A.1	A.1	6434	0.270540745101337	27.05	TRUE	Stable	Mut
A.2	A.1	1038	0.0436464553023295	4.36	FALSE	Within_A	Mut
B.1	A.1	185	0.00777899251534774	0.78	FALSE	B_to_A	Mut
B.2	A.1	89	0.00374232612900513	0.37	FALSE	B_to_A	Mut
A.1	A.2	1486	0.0624842317719283	6.25	FALSE	Within_A	Mut
A.2	A.2	1422	0.0597931208476999	5.98	TRUE	Stable	Mut
B.1	A.2	628	0.0264065259439913	2.64	FALSE	B_to_A	Mut
B.2	A.2	112	0.00470944411739971	0.47	FALSE	B_to_A	Mut
A.1	B.1	496	0.0208561096627702	2.09	FALSE	A_to_B	Mut
A.2	B.1	1249	0.052518711630645	5.25	FALSE	A_to_B	Mut
B.1	B.1	943	0.0396518375241779	3.97	TRUE	Stable	Mut
B.2	B.1	516	0.0216970818265915	2.17	FALSE	Within_B	Mut
A.1	B.2	102	0.00428895803548903	0.43	FALSE	A_to_B	Mut
A.2	B.2	900	0.037843747371962	3.78	FALSE	A_to_B	Mut
B.1	B.2	1635	0.0687494743923976	6.87	FALSE	Within_B	Mut
B.2	B.2	6547	0.275292237826928	27.53	TRUE	Stable	Mut
