subcompartment	median_signal	n_bins	mark	genome_median	fold_enrichment	log2_fold	condition	tp
B.2	0.168517493605614	9924	H3K27ac	0.470384988307953	0.358254403933674	-1.48094365559402	ctrl	250402
A.2	0.745014986276627	3359	H3K27ac	0.470384988307953	1.5838409064808	0.6634274269842	ctrl	250402
A.1	1.83117747730017	7286	H3K27ac	0.470384988307953	3.89293349663899	1.9608576991962	ctrl	250402
B.1	0.41828499007225	3284	H3K27ac	0.470384988307953	0.889239666378142	-0.169355790685006	ctrl	250402
B.2	0.0470249998271465	9924	H3K4me3	0.139694999337196	0.336626221770741	-1.57078053394982	ctrl	250402
A.2	0.38287999907136	3359	H3K4me3	0.139694999337196	2.74082823929268	1.45461192098202	ctrl	250402
A.1	2.06103500153124	7286	H3K4me3	0.139694999337196	14.7538209049009	3.88301672303623	ctrl	250402
B.1	0.119532499328256	3284	H3K4me3	0.139694999337196	0.855667703893449	-0.224877455994781	ctrl	250402
B.2	0.0982800002582371	9924	ATAC	0.248424999780953	0.395612359242809	-1.33784059715286	ctrl	250402
A.2	0.431924999408424	3359	ATAC	0.248424999780953	1.73865351630984	0.797970457022872	ctrl	250402
A.1	0.968417495992035	7286	ATAC	0.248424999780953	3.89822882900646	1.96281878038113	ctrl	250402
B.1	0.240142500564456	3284	ATAC	0.248424999780953	0.966659960858207	-0.0489196085535324	ctrl	250402
B.2	0.569329141106457	9924	H3K36me3	0.850732515856624	0.669222264924463	-0.579442650464826	ctrl	250402
A.2	0.997042457543314	3359	H3K36me3	0.850732515856624	1.17198113268231	0.228949344500116	ctrl	250402
A.1	1.25737378656492	7286	H3K36me3	0.850732515856624	1.47798957149162	0.563636090045359	ctrl	250402
B.1	0.849863741695881	3284	H3K36me3	0.850732515856624	0.99897879281143	-0.00147404332665822	ctrl	250402
B.2	0.001	9924	RNA	0.099	0.0101010101010101	-6.62935662007961	ctrl	250402
A.2	0.4985	3359	RNA	0.099	5.03535353535354	2.33209307431859	ctrl	250402
A.1	2.1605	7286	RNA	0.099	21.8232323232323	4.44779289551012	ctrl	250402
B.1	0.049	3284	RNA	0.099	0.494949494949495	-1.0146467759644	ctrl	250402
B.2	0.688782500624657	9924	DNAmethylation	1.02117999792099	0.674496662710729	-0.56811678989409	ctrl	250402
A.2	1.26399999988079	3359	DNAmethylation	1.02117999792099	1.23778374278203	0.307759278632141	ctrl	250402
A.1	1.34424000072479	7286	DNAmethylation	1.02117999792099	1.31635950905963	0.396553555262768	ctrl	250402
B.1	1.12430499923229	3284	DNAmethylation	1.02117999792099	1.10098611559299	0.138796275358742	ctrl	250402
B.2	0.209522499188781	9924	H3K27me1	0.377124998301268	0.555578389479774	-0.847937611472866	ctrl	250402
A.2	0.567694996595383	3359	H3K27me1	0.377124998301268	1.50532316646344	0.590073241539683	ctrl	250402
A.1	2.10718498846889	7286	H3K27me1	0.377124998301268	5.58749750867895	2.48220228303558	ctrl	250402
B.1	0.252754998967052	3284	H3K27me1	0.377124998301268	0.670215446087022	-0.577303158962164	ctrl	250402
B.2	0.329867501810193	9924	H2AK119ub	0.63504500348866	0.519439567271682	-0.944972182271754	ctrl	250402
A.2	0.939070001125336	3359	H2AK119ub	0.63504500348866	1.47874559435394	0.564373870331287	ctrl	250402
A.1	0.934240003176033	7286	H2AK119ub	0.63504500348866	1.47113983740322	0.556934386728464	ctrl	250402
B.1	0.796405002243817	3284	H2AK119ub	0.63504500348866	1.2540922263284	0.326643448278757	ctrl	250402
B.2	0.387547499008477	9924	H3K27me3	0.44229999987781	0.876209584253991	-0.190652099491415	ctrl	250402
A.2	0.772784999251366	3359	H3K27me3	0.44229999987781	1.74719647177222	0.805041848045166	ctrl	250402
A.1	0.292664999485016	7286	H3K27me3	0.44229999987781	0.661688897955838	-0.595775021163738	ctrl	250402
B.1	0.99399999704957	3284	H3K27me3	0.44229999987781	2.24734342600988	1.16822060566729	ctrl	250402
B.1	0.304402499213815	3212	H3K27ac	0.385184997737408	0.790276103695334	-0.339571310154829	mut	250402
A.1	1.66224500015378	7747	H3K27ac	0.385184997737408	4.31544585048191	2.10950961920738	mut	250402
B.2	0.0948049996048212	9244	H3K27ac	0.385184997737408	0.24612848413544	-2.02251646617305	mut	250402
A.2	0.579207496494055	3650	H3K27ac	0.385184997737408	1.50371250151575	0.588528760974548	mut	250402
B.1	0.0968424998819828	3212	H3K4me3	0.127829999625683	0.757588204377385	-0.400514226618989	mut	250402
A.1	1.96183499103785	7747	H3K4me3	0.127829999625683	15.3472189375152	3.93990534406197	mut	250402
B.2	0.0209450001120567	9244	H3K4me3	0.127829999625683	0.163850427703894	-2.60954865608981	mut	250402
A.2	0.312407500803471	3650	H3K4me3	0.127829999625683	2.4439294509761	1.28920263941362	mut	250402
B.1	0.236452496312559	3212	ATAC	0.262519998207688	0.90070279569899	-0.150876955446493	mut	250402
A.1	0.93915499484539	7747	ATAC	0.262519998207688	3.57746076968351	1.83893594649258	mut	250402
B.2	0.096039996676147	9244	ATAC	0.262519998207688	0.365838783071172	-1.4507200696133	mut	250402
A.2	0.395484995856881	3650	ATAC	0.262519998207688	1.50649473776089	0.591195633556654	mut	250402
B.1	0.661134179584682	3212	H3K36me3	0.684210895545781	0.966272510257688	-0.049497976474603	mut	250402
A.1	1.15027001601458	7747	H3K36me3	0.684210895545781	1.68116296233054	0.749459577965448	mut	250402
B.2	0.417941709224135	9244	H3K36me3	0.684210895545781	0.610837553077478	-0.711139336005304	mut	250402
A.2	0.808972156628966	3650	H3K36me3	0.684210895545781	1.18234328318269	0.241648970407252	mut	250402
B.1	0.043	3212	RNA	0.103	0.41747572815534	-1.26023577248112	mut	250402
A.1	1.9545	7747	RNA	0.103	18.9757281553398	4.24608334210607	mut	250402
B.2	5e-04	9244	RNA	0.103	0.00485436893203884	-7.68650052718322	mut	250402
A.2	0.36575	3650	RNA	0.103	3.55097087378641	1.82821352695527	mut	250402
B.1	0.913512527883053	3212	DNAmethylation	0.840385024964809	1.08701666586849	0.120374059575435	mut	250402
A.1	1.16516502219439	7747	DNAmethylation	0.840385024964809	1.38646571224086	0.471411938489373	mut	250402
B.2	0.515600017338991	9244	DNAmethylation	0.840385024964809	0.613528325734483	-0.704798142273339	mut	250402
A.2	1.07398002979159	3650	DNAmethylation	0.840385024964809	1.27796188400259	0.353844807661682	mut	250402
B.1	0.557044996589422	3212	H3K27me1	0.71601499581337	0.777979511388078	-0.362195933516559	mut	250402
A.1	1.71929998925328	7747	H3K27me1	0.71601499581337	2.40120667766213	1.26375958516167	mut	250402
B.2	0.53191749753058	9244	H3K27me1	0.71601499581337	0.742885973954133	-0.428787307320306	mut	250402
A.2	0.735747496068478	3650	H3K27me1	0.71601499581337	1.02755878071058	0.0392209245289271	mut	250402
B.1	0.686679999068379	3212	H2AK119ub	0.529199999332428	1.29758125460054	0.375824883044692	mut	250402
A.1	0.797364998370409	7747	H2AK119ub	0.529199999332428	1.50673658234366	0.591427217490251	mut	250402
B.2	0.240535000503063	9244	H2AK119ub	0.529199999332428	0.454525700692539	-1.13756622244075	mut	250402
A.2	0.912764998435974	3650	H2AK119ub	0.529199999332428	1.72480158652193	0.786430410235908	mut	250402
B.1	1.06991999742389	3212	H3K27me3	0.510024991631508	2.09777954998116	1.06886307693355	mut	250402
A.1	0.419314995110035	7747	H3K27me3	0.510024991631508	0.822145977138684	-0.282533518746535	mut	250402
B.2	0.327889993995428	9244	H3K27me3	0.510024991631508	0.642890053184547	-0.637356065402858	mut	250402
A.2	1.01455499351025	3650	H3K27me3	0.510024991631508	1.98922603824728	0.992207220731678	mut	250402
