subcompartment	ctrl_median	mut_median	n_bins	mark	log2_fc	tp
B.2	0.168517493605614	0.102344999685884	9924	H3K27ac	-0.719457745975763	250402
A.2	0.745014986276627	0.661309996902943	3359	H3K27ac	-0.171942735560893	250402
A.1	1.83117747730017	1.74497499625385	7286	H3K27ac	-0.0695652593770913	250402
B.1	0.41828499007225	0.337324998363853	3284	H3K27ac	-0.310346991528515	250402
B.2	0.0470249998271465	0.0227000000476837	9924	H3K4me3	-1.05073563789872	250402
A.2	0.38287999907136	0.491359997212887	3359	H3K4me3	0.359888110753184	250402
A.1	2.06103500153124	2.0706674926281	7286	H3K4me3	0.00672689881905862	250402
B.1	0.119532499328256	0.114447499930859	3284	H3K4me3	-0.0627169734884376	250402
B.2	0.0982800002582371	0.102337497137487	9924	ATAC	0.0583650883756602	250402
A.2	0.431924999408424	0.449609993681312	3359	ATAC	0.0578932825603775	250402
A.1	0.968417495992035	0.968579993136227	7286	ATAC	0.000242058986602595	250402
B.1	0.240142500564456	0.257012493699789	3284	ATAC	0.09794773713704	250402
B.2	0.569329141106457	0.432106656260788	9924	H3K36me3	-0.397875491277152	250402
A.2	0.997042457543314	0.846740822456777	3359	H3K36me3	-0.235734496004691	250402
A.1	1.25737378656492	1.15358663024753	7286	H3K36me3	-0.124287242224547	250402
B.1	0.849863741695881	0.678464617982507	3284	H3K36me3	-0.324957972215483	250402
B.2	0.001	0.001	9924	RNA	0	250402
A.2	0.4985	0.45	3359	RNA	-0.147668503181159	250402
A.1	2.1605	2.06675	7286	RNA	-0.0640013441349724	250402
B.1	0.049	0.0495	3284	RNA	0.0146467759644013	250402
B.2	0.688782500624657	0.543592517018318	9924	DNAmethylation	-0.341522893338365	250402
A.2	1.26399999988079	1.08282002663612	3359	DNAmethylation	-0.223202987982151	250402
A.1	1.34424000072479	1.13641002833843	7286	DNAmethylation	-0.242307272139035	250402
B.1	1.12430499923229	0.940910025060177	3284	DNAmethylation	-0.256904783798603	250402
B.2	0.209522499188781	0.533274996712804	9924	H3K27me1	1.34777451358511	250402
A.2	0.567694996595383	0.801504994779825	3359	H3K27me1	0.497595484511446	250402
A.1	2.10718498846889	1.78490499173105	7286	H3K27me1	-0.239469689583204	250402
B.1	0.252754998967052	0.573627497240901	3284	H3K27me1	1.18237455639606	250402
B.2	0.329867501810193	0.263785000249744	9924	H2AK119ub	-0.32252412198008	250402
A.2	0.939070001125336	0.881324999123812	3359	H2AK119ub	-0.0915585764537428	250402
A.1	0.934240003176033	0.765282500043511	7286	H2AK119ub	-0.287800811671751	250402
B.1	0.796405002243817	0.71052249917388	3284	H2AK119ub	-0.164621948595571	250402
B.2	0.387547499008477	0.370047492802143	9924	H3K27me3	-0.0666627007047863	250402
A.2	0.772784999251366	0.95657999676466	3359	H3K27me3	0.307818533272365	250402
A.1	0.292664999485016	0.386429992854595	7286	H3K27me3	0.400956852959345	250402
B.1	0.99399999704957	1.08686499109864	3284	H3K27me3	0.128854989247369	250402
