	ctrl	mut
loop_1	88.1790745258331	79.11589884758
loop_2	460.067583084106	376.23490858078
loop_3	1163.91423892975	1103.50463485718
loop_4	885.2663230896	899.753913879395
loop_5	1297.96684455872	1287.91261672974
loop_6	236.896244525909	218.018887042999
loop_7	705.378674507141	649.227614402771
loop_8	128.309852480888	118.807579040527
loop_9	882.780321121216	785.674060821533
loop_10	231.181282997131	222.953684329987
loop_11	225.312442779541	229.317915916443
loop_12	176.125274181366	137.898406088352
loop_13	371.35533285141	352.836565971375
loop_14	113.467638015747	94.8482692241669
loop_15	314.938056468964	236.975415229797
loop_16	140.100280284882	99.9831187725067
loop_17	269.934769153595	228.098102092743
loop_18	892.033321380615	733.192476272583
loop_19	453.623338699341	401.009029388428
loop_20	1297.91375923157	1140.25242042542
loop_21	477.534900665283	431.00085735321
loop_22	67.0774595737457	47.7498369216919
loop_23	616.585740089417	536.741531848907
loop_24	125.367658913136	138.699868202209
loop_25	388.624534606934	374.936866760254
loop_26	224.615085840225	189.216509580612
loop_27	309.510303020477	240.676335096359
loop_28	442.435968875885	355.210956811905
loop_29	278.654184341431	270.341917991638
loop_30	331.097207546234	320.366286754608
loop_31	318.282297611237	308.816470146179
loop_32	76.0488951206207	62.2126155495644
loop_33	360.053872585297	301.569845199585
loop_34	282.133961200714	231.015615820885
loop_35	1716.346824646	1591.59376144409
loop_36	525.685368537903	475.707530021667
loop_37	477.677751064301	429.811939239502
loop_38	354.000218391418	363.672290802002
loop_39	617.495942115784	562.703737258911
loop_40	312.194417953491	323.525668621063
loop_41	199.568369865417	166.674063444138
loop_42	399.748930454254	402.707185745239
loop_43	324.163759231567	290.678499698639
loop_44	251.204026699066	203.808190941811
loop_45	174.754899263382	134.103642225266
loop_46	474.5032081604	395.455840587616
loop_47	978.811389923096	819.005233764648
loop_48	196.94482088089	169.958638310432
loop_49	143.624416232109	126.765621483326
loop_50	112.179626941681	99.1211532354355
loop_51	473.988870620728	521.699647903442
loop_52	215.363083362579	215.726584434509
loop_53	686.477835655212	648.110814094543
loop_54	577.416620254517	590.547822952271
loop_55	1389.0145111084	1267.01476287842
loop_56	123.612089514732	99.1927084922791
loop_57	309.203621149063	303.472222089767
loop_58	207.7619805336	146.313987970352
loop_59	184.350555419922	93.960009098053
loop_60	460.904148101807	437.618607997894
loop_61	187.151664733887	190.072412610054
loop_62	113.759756028652	113.656857848167
loop_63	717.123064994812	706.321657180786
loop_64	1289.20007324219	1267.10902786255
loop_65	133.459817111492	99.341637134552
loop_66	854.507193565369	854.530923843384
loop_67	565.697597503662	567.858426094055
loop_68	133.663348197937	119.587976574898
loop_69	314.492393732071	217.418107271194
loop_70	272.164864301682	242.743185520172
loop_71	427.686187744141	362.407442569733
loop_72	851.167835235596	719.336637496948
loop_73	346.718210220337	356.726730823517
loop_74	222.493591547012	214.545519113541
loop_75	299.055604457855	237.039356708527
loop_76	655.620409011841	616.269693374634
loop_77	327.847932577133	350.151948451996
loop_78	271.817153453827	221.752119064331
loop_79	352.388006210327	292.371896266937
loop_80	119.686071634293	78.1295595169067
loop_81	110.215008795261	105.862787246704
loop_82	341.235658168793	281.660804271698
loop_83	472.621154785156	455.629041671753
loop_84	403.269552230835	386.192916870117
loop_85	407.147130012512	354.28205537796
loop_86	168.196049451828	171.259295463562
loop_87	596.683570861816	533.778489589691
loop_88	554.216199874878	483.783080101013
loop_89	105.212478637695	82.8924506306648
loop_90	291.085717201233	270.352619886398
loop_91	219.897159576416	179.121839523315
loop_92	794.875324249268	748.054151535034
loop_93	72.4556411504745	55.7293914556503
loop_94	175.102052927017	168.970456004143
loop_95	75.262638092041	67.6363204717636
loop_96	150.348928272724	151.976544499397
loop_97	604.48992061615	601.83273601532
loop_98	353.286009311676	321.478583335876
loop_99	79.5744917392731	49.3628594279289
loop_100	26.1381656825542	24.4309562444687
loop_101	764.064219474792	652.824209213257
loop_102	200.368150472641	184.74187707901
loop_103	266.276276111603	223.871394991875
loop_104	941.542249679565	875.067197799683
loop_105	352.318758487701	326.645866394043
loop_106	429.881092071533	370.033408164978
loop_107	782.560772895813	691.089248657227
loop_108	222.160558700562	143.677978754044
loop_109	956.612087249756	1011.63053703308
loop_110	316.928800582886	304.196853160858
loop_111	619.518494606018	556.629479408264
loop_112	979.443469047546	1204.29735183716
loop_113	210.565009117126	192.140983700752
loop_114	295.124079942703	309.864241600037
loop_115	1233.78079032898	1092.79344558716
loop_116	274.455186128616	247.851248979568
loop_117	108.18031680584	74.0382351875305
loop_118	268.203271865845	240.407547950745
