State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12
1	0.9891273150592913	1.2606452011032878E-4	0.007045990285509361	1.5766116335779042E-4	1.895695948971483E-5	2.5435914771343818E-5	1.0221368872647745E-4	1.009294237374174E-4	5.688659608605437E-4	0.0015855958650060316	0.0011164003923869715	2.4570766752683603E-5
2	0.12984894071305483	0.4161445312692652	0.371803137371111	0.0015302057786952675	4.2255650392440685E-4	4.219157468525089E-4	0.0	8.637830537692829E-5	8.583963932639195E-5	0.07897451845527052	2.596708491202573E-4	4.2230536800272214E-4
3	0.17696020512481347	0.008815915554088349	0.8063384952754676	0.0036675301776593183	8.841808804853416E-4	0.0017102467836175189	1.848332047674068E-4	1.3811902305139423E-4	1.5089444798649143E-4	6.78172271454124E-4	6.608753863573964E-5	4.05319717973344E-4
4	0.019396457006738383	2.88481155686429E-4	0.018047170893488562	0.8781359993370567	0.006253372187732206	9.479506670927126E-6	0.0	4.0746022783660587E-4	0.07718815456684472	2.2562946799386342E-4	9.575362018122366E-6	3.8220287933459265E-5
5	0.009948134871317278	1.4996145198622042E-4	0.0154538095301614	0.026413641753332603	0.7965946386795643	0.016203099088874646	0.0025468514655313792	0.12364519178936133	0.007843211019525906	1.4956951713560913E-4	1.4095509434137036E-4	9.109357388680311E-4
6	0.02858457612073827	4.652155740253749E-4	0.07790345966557043	9.166141727660317E-5	0.03923016795844917	0.738590430851539	0.1055960318993353	0.00843265350529141	0.0	3.752082153720413E-4	0.0	7.30594792402584E-4
7	0.08951024755289823	1.38244747561935E-4	0.006046967930615053	0.0	0.004374870987097609	0.07812435883608176	0.7689922769106927	0.03832579629544296	9.689528293830966E-4	0.0011889009519711643	0.0035961864940818214	0.008733196464173526
8	0.0255895364567462	2.144826707810611E-5	0.0011687833629470549	9.352118231348009E-4	0.07256239668825527	0.001806627165252605	0.011730199925158806	0.8679249407761329	0.017165809863444677	5.350922145540628E-4	5.171988485281369E-4	4.2754608767410625E-5
9	0.1442942982168205	6.670773368045884E-5	0.0014572618152400175	0.1685608095881669	0.004493840887193023	2.050998045473636E-5	2.0255490652361447E-4	0.0161452836096021	0.6628455195587362	0.0015949364063439354	3.3994596509683676E-5	2.8428270072891924E-4
10	0.47546877772227314	0.02313668996029283	0.007652184152845338	5.929150349475475E-4	4.7875054502050495E-5	9.991271685774289E-5	5.852967664449331E-4	6.667751113994667E-4	0.002035984884875514	0.4878188818797775	0.0016786400639956615	2.1606665178841816E-4
11	0.056827240085359394	8.187555274903365E-6	1.4586971244889734E-4	0.0	2.7018899164407676E-5	0.0	2.1921771638792596E-4	6.084909736721174E-5	9.706229762686919E-6	2.5718764539419135E-4	0.9179325878063527	0.024512135252487563
12	0.00605869204210788	1.483503372130651E-4	0.004709409398113387	1.68452781511915E-4	7.845516035094688E-4	7.216722040102244E-5	0.0033514681375055593	4.832162202846336E-5	3.543584174888474E-4	1.986581517139938E-4	0.14677618458049055	0.8373293857079158
