pair_class	loop_id	sample	group	center_value	background_mean	enrichment
DEG-SE	1	ctrl_M1	ctrl	1.86090624332428	2.53453889489174	0.734218854196659
DEG-SE	1	ctrl_M2	ctrl	2.70970058441162	1.42603546380997	1.90016353251977
DEG-SE	1	ctrl_M3	ctrl	0	2.15348249673843	0
DEG-SE	1	mut_M1	mut	0	1.30864809453487	0
DEG-SE	1	mut_M2	mut	1.84775197505951	1.89071410894394	0.97727729767224
DEG-SE	1	mut_M3	mut	0	1.52748450636864	0
DEG-SE	2	ctrl_M1	ctrl	2.60246515274048	1.95354861021042	1.33217322524683
DEG-SE	2	ctrl_M2	ctrl	0.88099193572998	1.90783606469631	0.461775491108675
DEG-SE	2	ctrl_M3	ctrl	0	1.42229089140892	0
DEG-SE	2	mut_M1	mut	1.83912122249603	1.85455559194088	0.991677591379887
DEG-SE	2	mut_M2	mut	1.7259224653244	1.96005439758301	0.880548247769388
DEG-SE	2	mut_M3	mut	1.69992816448212	2.41290733218193	0.704514484169981
DEG-SE	3	ctrl_M1	ctrl	1.55672347545624	0.584178060293198	2.66480989490588
DEG-SE	3	ctrl_M2	ctrl	0	1.42140024900436	0
DEG-SE	3	ctrl_M3	ctrl	1.41844749450684	1.63186630606651	0.869217955682836
DEG-SE	3	mut_M1	mut	0.805799782276154	2.10702049732208	0.382435663677826
DEG-SE	3	mut_M2	mut	0.789809226989746	1.73820835351944	0.454381216952835
DEG-SE	3	mut_M3	mut	0.738394498825073	2.08989411592484	0.353316703080105
DEG-SE	4	ctrl_M1	ctrl	0	0.466775596141815	0
DEG-SE	4	ctrl_M2	ctrl	0.81092357635498	1.39436930418015	0.58157015786559
DEG-SE	4	ctrl_M3	ctrl	0.675503134727478	0.995574206113815	0.678506062711566
DEG-SE	4	mut_M1	mut	0.782595455646515	1.14238350093365	0.685054935585918
DEG-SE	4	mut_M2	mut	0.737734019756317	0.742580026388168	0.993474095101343
DEG-SE	4	mut_M3	mut	1.42165517807007	0.954129487276077	1.49000234981598
DEG-SE	5	ctrl_M1	ctrl	2.0321946144104	0.88205698132515	2.30392668210318
DEG-SE	5	ctrl_M2	ctrl	0	1.74256086349487	0
DEG-SE	5	ctrl_M3	ctrl	0.89110791683197	1.90802502632141	0.467031566430754
DEG-SE	5	mut_M1	mut	2.83447051048279	0.285362035036087	9.93289282550967
DEG-SE	5	mut_M2	mut	0.902928054332733	0.791448593139648	1.14085496159751
DEG-SE	5	mut_M3	mut	0.83001035451889	0.817484498023987	1.01532243917185
DEG-SE	6	ctrl_M1	ctrl	1.89467370510101	0.240315034985542	7.88412470828136
DEG-SE	6	ctrl_M2	ctrl	0.94267612695694	0.950597062706947	0.991667409819833
DEG-SE	6	ctrl_M3	ctrl	0	1.16061374545097	0
DEG-SE	6	mut_M1	mut	1.83523154258728	1.1502031236887	1.59557169059122
DEG-SE	6	mut_M2	mut	2.5301833152771	1.42013573646545	1.78164892996385
DEG-SE	6	mut_M3	mut	0	0.496654033660889	0
DEG-SE	7	ctrl_M1	ctrl	0	1.2565051317215	0
DEG-SE	7	ctrl_M2	ctrl	0.817650616168976	1.59506976604462	0.512611193300058
DEG-SE	7	ctrl_M3	ctrl	1.53829503059387	0.604110732674599	2.54637924372462
DEG-SE	7	mut_M1	mut	0	0.643225014209747	0
DEG-SE	7	mut_M2	mut	0.80396443605423	1.41004619002342	0.570168865206377
DEG-SE	7	mut_M3	mut	0.782390534877777	0.908586651086807	0.861107230600317
DEG-SE	8	ctrl_M1	ctrl	3.15238237380981	0	NA
DEG-SE	8	ctrl_M2	ctrl	0.797516465187073	1.72974188625813	0.461060966103044
DEG-SE	8	ctrl_M3	ctrl	1.46515548229218	1.59657688438892	0.917685516192946
DEG-SE	8	mut_M1	mut	0	1.37583994865417	0
DEG-SE	8	mut_M2	mut	0.750955879688263	0.589717119932175	1.27341712544251
DEG-SE	8	mut_M3	mut	0.753181099891663	1.47189486026764	0.511708492381521
DEG-SE	9	ctrl_M1	ctrl	0.839809000492096	0	NA
DEG-SE	9	ctrl_M2	ctrl	0	0.981369629502296	0
DEG-SE	9	ctrl_M3	ctrl	0	0.496133551001549	0
DEG-SE	9	mut_M1	mut	0	0.808912634849548	0
DEG-SE	9	mut_M2	mut	0.878251969814301	0.455533489584923	1.92796356336952
DEG-SE	9	mut_M3	mut	1.65026426315308	0.402009934186935	4.1050335397575
DEG-SE	10	ctrl_M1	ctrl	0	0.383583873510361	0
DEG-SE	10	ctrl_M2	ctrl	0	0.417415276169777	0
DEG-SE	10	ctrl_M3	ctrl	0	0.427691668272018	0
DEG-SE	10	mut_M1	mut	0.859402298927307	0.426360920071602	2.01566855325995
DEG-SE	10	mut_M2	mut	0	0.55766461789608	0
DEG-SE	10	mut_M3	mut	0	0.235667869448662	0
DEG-SE	11	ctrl_M1	ctrl	1.99967861175537	0.92716121673584	2.15677551612376
DEG-SE	11	ctrl_M2	ctrl	3.70987343788147	2.40185603499413	1.54458609668108
DEG-SE	11	ctrl_M3	ctrl	0.88749086856842	1.82899606227875	0.485233886978791
DEG-SE	11	mut_M1	mut	0	0.602412089705467	0
DEG-SE	11	mut_M2	mut	0	1.27663141489029	0
DEG-SE	11	mut_M3	mut	0	1.33416509628296	0
DEG-SE	12	ctrl_M1	ctrl	2.04078578948975	0.737763911485672	2.76617730647751
DEG-SE	12	ctrl_M2	ctrl	1.37488722801208	0.729344770312309	1.88509917939543
