group	mark	predicted_direction	n_concordant	n_total	pct_concordant
mC Up	MeCP2	MeCP2 Up	1017	3371	30.1690892910116
mC Down	MeCP2	MeCP2 Down	341	524	65.0763358778626
hmC Down	MeCP2	MeCP2 Up	1194	4067	29.3582493238259
hmC Up	MeCP2	MeCP2 Down	324	515	62.9126213592233
mC Up	ATAC	ATAC Down	613	1017	60.275319567355
mC Down	ATAC	ATAC Up	272	296	91.8918918918919
hmC Down	ATAC	ATAC Down	563	1096	51.3686131386861
hmC Up	ATAC	ATAC Up	325	342	95.0292397660819
mC Up	K119ub	K119ub Gained	872	1155	75.4978354978355
mC Down	K119ub	K119ub Lost	165	252	65.4761904761905
hmC Down	K119ub	K119ub Gained	898	1248	71.9551282051282
hmC Up	K119ub	K119ub Lost	156	282	55.3191489361702
