category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Transport and catabolism	mmu04140	Autophagy - animal	69/1558	167/10689	0.413173652694611	2.83466827577195	9.87050598303781	2.20497040911231e-17	7.49689939098187e-15	4.01536716606769e-15	12421/12633/77040/66615/16367/12043/23797/64930/70231/228361/27103/228545/51897/12048/18706/19338/56790/54673/18749/26409/52187/73205/108079/19744/72145/26414/22241/207565/77573/52440/13666/19349/110157/16653/11652/16001/26417/78610/66922/12176/18747/93739/384783/235040/74769/20869/56480/19324/26420/19052/56486/17966/74370/74302/72508/75909/353047/66840/15251/13665/76559/218035/26419/100504663/68118/12211/225326/12015/19211	69
Cellular Processes	Transport and catabolism	mmu04144	Endocytosis	89/1558	270/10689	0.32962962962963	2.26149622022536	8.67216624150504	9.81773432616395e-15	1.66901483544787e-12	8.93930546540191e-13	76709/67771/98366/74117/103967/20844/16574/75608/16396/58220/19334/227700/98878/18759/22365/12340/54673/72685/12345/107568/230597/100017/18762/56433/56378/56443/320129/26431/330319/66700/73178/19349/78287/16001/11772/11771/14183/52348/19341/234353/65114/71955/16835/69091/12402/18854/53869/54198/70432/319277/216238/66201/30930/54189/71770/68524/11841/66713/13855/67300/66313/19157/211914/19325/72183/74325/218441/11842/208650/78618/68942/14991/57440/16004/215445/20405/67804/83814/17126/93737/16573/107305/107338/14773/110355/225861/18719/74998/245666	89
Human Diseases	Neurodegenerative disease	mmu05017	Spinocerebellar ataxia	53/1558	141/10689	0.375886524822695	2.57885177396007	7.79540409736868	9.95262831619105e-12	1.12796454250165e-09	6.04141999544229e-10	12421/70247/23797/59029/228361/18798/19177/51897/26444/18706/56543/19185/13131/26445/19699/26414/22241/11938/20422/71722/11652/26440/12286/114896/19883/74769/26408/14816/237336/215999/26420/22333/69077/19184/66997/14813/80913/19167/110616/76559/26419/100504663/19173/14169/54138/68118/20683/14811/21374/225326/69597/22359/81601	53
Environmental Information Processing	Signal transduction	mmu04010	MAPK signaling pathway	88/1558	299/10689	0.294314381270903	2.01920822939967	7.38352109238081	1.75628054777858e-11	1.49283846561179e-09	7.99569828330773e-10	26921/13714/63953/13869/17164/23797/12296/12064/11909/19055/56692/76089/109905/18033/18749/26409/16765/19059/12293/14176/330177/26414/17165/14673/109880/110157/18205/16653/21803/11652/16001/26417/19060/269881/66922/14183/14182/12367/18747/12286/18021/16337/16150/19417/23938/114713/102626/26408/19279/68652/215449/19058/26420/12928/18015/26406/26399/26398/216965/18099/53859/14784/19042/20663/17187/338372/73086/18212/17260/218397/14180/26419/17869/15370/11600/71751/224105/26416/13163/19043/26407/30957/225028/26410/14164/240672/12675/110651	88
Human Diseases	Infectious disease: bacterial	mmu05132	Salmonella infection	76/1558	253/10689	0.300395256916996	2.06092740769305	7.05426340653814	1.50288547371807e-10	1.02196212212829e-08	5.47366709375213e-09	76709/67771/170760/12043/74117/23797/16574/13427/228545/67068/110750/50884/140579/18706/16649/18033/26409/69582/56378/56443/26414/77573/13426/20336/67166/101314/73178/19349/110157/11652/20430/26417/18704/12367/16150/320795/234663/71999/17920/235661/11797/74769/17281/68652/22027/26420/11841/26399/66713/76884/26398/353047/19157/19878/56444/13424/218035/140580/56044/66482/170625/26419/16648/17869/56551/16646/66616/26416/100310872/22153/67268/225326/67665/67951/16573/12675	76
Metabolism	Carbohydrate metabolism	mmu00562	Inositol phosphate metabolism	34/1558	77/10689	0.441558441558442	3.02940833236084	7.38225357727189	3.54343485670417e-10	1.84182786745822e-08	9.86489848514773e-09	18711/18802/320404/16329/227399/18798/18706/107650/55980/269615/21991/101490/212111/233011/18704/54384/77116/27399/74769/69718/103199/19062/170835/74302/108083/217837/219135/224020/104015/20975/225326/19211/84095/18719	34
Environmental Information Processing	Signal transduction	mmu04070	Phosphatidylinositol signaling system	39/1558	96/10689	0.40625	2.78716704107831	7.26547570393619	3.79199855064927e-10	1.84182786745822e-08	9.86489848514773e-09	18711/18802/320404/16329/227399/110911/18798/104418/18706/107650/55980/72519/101490/212111/233011/18704/54384/77116/27399/74769/69718/13139/74302/56077/108083/217480/217837/219135/219024/380921/224020/110197/104015/20975/12314/225326/19211/84095/18719	39
Genetic Information Processing	Folding, sorting and degradation	mmu04120	Ubiquitin mediated proteolysis	53/1558	156/10689	0.33974358974359	2.33088525723314	6.91671130525587	7.76120338057372e-10	3.29851143674383e-08	1.76669498005165e-08	26374/66799/14897/99152/16396/17222/140629/50754/70093/66105/56228/67615/140499/107568/66440/242521/63958/100763/53323/231380/59008/26965/73998/22215/99375/109161/235439/11797/12402/140630/75717/18854/56469/67345/93765/216080/67030/103583/67128/68729/66156/217232/66313/71991/17237/208650/50873/12211/71745/56550/83814/17344/12234	53
Environmental Information Processing	Signal transduction	mmu04071	Sphingolipid signaling pathway	47/1558	131/10689	0.358778625954198	2.46147928936099	6.95200798367944	9.18075362605801e-10	3.46828470317747e-08	1.8576261722901e-08	227102/433323/12043/11539/23797/13244/226849/241447/18798/18706/76893/66183/14679/18033/18201/18762/14677/26414/14673/110157/16653/11652/26417/52432/73699/74769/235542/14678/26408/14360/20397/26420/19052/14674/19878/26931/26932/81535/20773/26419/71978/71949/17250/26416/19877/19211/208449	47
Genetic Information Processing	Folding, sorting and degradation	mmu04141	Protein processing in endoplasmic reticulum	57/1558	178/10689	0.320224719101124	2.19697177308852	6.65188404412615	2.2700279780286e-09	7.71809512529723e-08	4.13384042314681e-08	56812/226418/213539/12043/66861/27054/13002/57743/13418/81910/69276/66105/67437/17156/99683/56228/19359/140499/18786/230815/63958/69162/26414/67397/26965/13666/12304/53421/110379/81489/23802/26408/140740/20224/216080/22027/216440/26420/66397/67128/193670/12330/77371/217365/13665/20334/110616/56085/59007/100037258/26419/67819/67838/50873/56550/81500/70361	57
