gene	mc_diff	hmc_diff	mc_q	hmc_q	combined_effect	n_k119ub_ctrl	n_k119ub_mut	net_k119ub
Ly6e	0.372204968944099	-0.372204968944099	0.0180285046086702	0.0153989584701517	0.744409937888199	1	1	0
Lypla2	0.346955128205128	-0.366666666666667	0.0479489528034997	0.0310183111573974	0.713621794871795	0	0	0
Tprn	0.229831103013905	-0.218525983759513	0.00132457811614441	0.00204543773796473	0.448357086773418	1	0	-1
Tssk5	0.23866319102892	-0.202718211030232	0.00636717172242834	0.00792663539826734	0.441381402059151	1	1	0
Lgi3	0.215466246038094	-0.220432699428301	0.000240116308586218	7.75133352080564e-05	0.435898945466394	2	2	0
Inpp5j	0.178495115995116	-0.1841367859225	0.000778745820415949	8.94477976527236e-05	0.362631901917616	1	1	0
Sap30	0.238656687743644	-0.118645738906608	2.72746342891198e-07	0.00235589276654616	0.357302426650253	0	1	1
Tmem238	0.201768377315756	-0.14233218763899	2.55639276273926e-15	2.47441579265141e-09	0.344100564954747	0	0	0
Syt1	0.183930197132614	-0.157649061450758	4.49998937144496e-304	4.49998937144496e-304	0.341579258583372	11	26	15
Pla2g3	0.171703633923202	-0.168413465775327	0.00415838013556128	0.00120810301946373	0.340117099698529	0	0	0
Gm42372	0.223487889156674	-0.0814257145161198	2.76712817902483e-09	0.0295223820221699	0.304913603672794	0	0	0
Necap2	0.172344246442879	-0.132545303846589	0.00139897898548845	0.0096462666765553	0.304889550289467	0	0	0
Ripply2	0.190237481194928	-0.0985216910748826	1.69527342746492e-06	0.0237603130746593	0.288759172269811	0	2	2
Cdca4	0.133994215021553	-0.14896155123456	0.00150259257702502	1.69384456172282e-05	0.282955766256113	0	0	0
Gclm	0.156146540185565	-0.123973333191738	5.7486188013825e-30	6.82017669564732e-27	0.280119873377303	3	6	3
Stk16	0.153692689196891	-0.122278002109935	0.021050553906849	0.0417651531717264	0.275970691306826	0	0	0
Gprin1	0.177565323906989	-0.0976959587373069	5.60029282239524e-06	0.0137126943385166	0.275261282644296	1	0	-1
Slc25a44	0.188084333069166	-0.0866364058699752	3.09157205750693e-06	0.0377538833705012	0.274720738939141	1	0	-1
Rflnb	0.163792643403071	-0.103122026970421	0.000225570221576829	0.00521591029843976	0.266914670373493	2	2	0
Mpp3	0.157528999801008	-0.102114158038006	6.567974100489e-14	5.58138344192963e-07	0.259643157839014	1	1	0
Cdk20	0.121130901802408	-0.137799538587237	0.00709885274996382	0.000252584376364895	0.258930440389645	0	1	1
Pithd1	0.14332740328267	-0.11209059235309	5.94007914318216e-09	5.04658532206629e-08	0.25541799563576	0	0	0
Galnt7	0.168949277198525	-0.0863721340287709	1.51066452822207e-211	2.3856069655401e-64	0.255321411227296	0	8	8
4833439L19Rik	0.16114539879728	-0.090022272432034	0.000157440132862487	0.00775564116333959	0.251167671229314	0	0	0
Mcu	0.147763427756045	-0.103181486732032	2.26065535127975e-191	6.60758366396433e-115	0.250944914488077	3	3	0
Paqr9	0.191528976740734	-0.057653219702002	2.00557964687664e-14	0.0370600341659853	0.249182196442736	0	1	1
