Region	Modification	Run	Significant	Total	Percentage
Gene bodies	5mC	Shallow (run-2)	4184	20202	20.7108207108207
Gene bodies	5mC	Deep (run-3)	8826	20957	42.1148065085652
Gene bodies	5hmC	Shallow (run-2)	4894	20202	24.2253242253242
Gene bodies	5hmC	Deep (run-3)	9919	20957	47.3302476499499
CpG islands	5mC	Shallow (run-2)	1	1	100
CpG islands	5mC	Deep (run-3)	1	1	100
CpG islands	5hmC	Shallow (run-2)	1	1	100
CpG islands	5hmC	Deep (run-3)	1	1	100
CpG shores	5mC	Shallow (run-2)	1	1	100
CpG shores	5mC	Deep (run-3)	1	1	100
CpG shores	5hmC	Shallow (run-2)	1	1	100
CpG shores	5hmC	Deep (run-3)	1	1	100
CpG shelves	5mC	Shallow (run-2)	1	1	100
CpG shelves	5mC	Deep (run-3)	1	1	100
CpG shelves	5hmC	Shallow (run-2)	1	1	100
CpG shelves	5hmC	Deep (run-3)	1	1	100
Promoters	5mC	Shallow (run-2)	28	14973	0.18700327255727
Promoters	5mC	Deep (run-3)	641	20349	3.1500319426016
Promoters	5hmC	Shallow (run-2)	4	14973	0.0267147532224671
Promoters	5hmC	Deep (run-3)	110	20349	0.540567104034596
TSS regions	5mC	Shallow (run-2)	2	4591	0.0435634937922021
TSS regions	5mC	Deep (run-3)	58	13941	0.416039021590991
TSS regions	5hmC	Shallow (run-2)	0	4591	0
TSS regions	5hmC	Deep (run-3)	10	13941	0.0717308657915501
