metric	value
N matched genes	20837
BAP1-KO median delta	-0.010210
TET-KO median delta	-0.259788
Absolute attenuation (BAP1/TET)	0.0393
BAP1-KO median relative delta	-0.097887
TET-KO median relative delta	-1.000000
Relative attenuation (BAP1/TET)	0.0979
BAP1-KO Cliff's delta	-0.4554
TET-KO Cliff's delta	-0.6803
BAP1-KO % decreased	72.6
TET-KO % decreased	70.5
BAP1-KO relative % decreased	72.6
TET-KO relative % decreased	70.5
BAP1-KO Cohen's d	-0.6706
TET-KO Cohen's d	-1.8253
KS statistic	0.6709
KS p-value	p < 2.2e-16
Per-gene Spearman rho (absolute)	0.2167
Per-gene Spearman p (absolute)	p < 2.2e-16
Per-gene Spearman rho (relative)	-0.0141
Per-gene Spearman p (relative)	p = 4.22e-02
QQ slope (attenuation)	0.1059
Relative QQ slope	0.8916
TET-KO % complete loss (relative=-1)	68.6
TET-KO % no WT signal (relative~0)	27.0
TET-KO % partial loss	4.5
BAP1-KO % strong loss (rel < -0.5)	1.4
BAP1-KO % moderate loss (-0.5 to -0.1)	47.9
BAP1-KO % weak/no change (rel >= -0.1)	50.7
Residualized Spearman rho	0.0921
Residualized Spearman p	p < 2.2e-16
R2 baseline only	0.8329
R2 full model	0.8334
Delta-R2 gene-specific	0.0005
Baseline % of explained variance	99.9
Spearman rho (partial-loss genes)	0.0594
Spearman p (partial-loss genes)	p = 7.03e-02
