perspective	mark	quadrant	observed	expected	oe_ratio	fisher_or	fisher_p	p_label	short_quadrant
5hmC	MeCP2	hmC Down + MeCP2 Up	2298	2343.6	0.98	0.818695367419561	0.0024864982159702	p=0.002	MeCP2 Up
5hmC	MeCP2	hmC Up + MeCP2 Down	814	859.6	0.95	0.818695367419561	0.0024864982159702	p=0.002	MeCP2 Down
5hmC	ATAC	hmC Up + ATAC Up	674	460.4	1.46	0.0832088541466387	9.26783585554734e-99	p=9.3e-99	ATAC Up
5hmC	ATAC	hmC Down + ATAC Down	890	676.4	1.32	0.0832088541466387	9.26783585554734e-99	p=9.3e-99	ATAC Down
5hmC	K119ub	hmC Down + K119ub Gained	1332	1219	1.09	2.71315100135107	3.71742842028177e-26	p=3.7e-26	K119ub Gained
5hmC	K119ub	hmC Up + K119ub Lost	360	247	1.46	2.71315100135107	3.71742842028177e-26	p=3.7e-26	K119ub Lost
5mC	MeCP2	mC Up + MeCP2 Up	1830	1861.3	0.98	0.908304197115897	0.0842368946263812	p=0.084	MeCP2 Up
5mC	MeCP2	mC Down + MeCP2 Down	1370	1401.3	0.98	0.908304197115897	0.0842368946263812	p=0.084	MeCP2 Down
5mC	ATAC	mC Down + ATAC Up	845	567.6	1.49	0.0732600059910919	1.5061831044809e-139	p=1.5e-139	ATAC Up
5mC	ATAC	mC Up + ATAC Down	881	603.6	1.46	0.0732600059910919	1.5061831044809e-139	p=1.5e-139	ATAC Down
5mC	K119ub	mC Up + K119ub Gained	1252	997.4	1.26	6.32591185552917	2.81716540255258e-100	p=2.8e-100	K119ub Gained
5mC	K119ub	mC Down + K119ub Lost	648	393.4	1.65	6.32591185552917	2.81716540255258e-100	p=2.8e-100	K119ub Lost
