gene	chromatin_state	mc_diff	hmc_diff	delta_ratio	atac_fold	k27ac_fold	k27me3_fold	k119ub_fold	n_concordant	dmr_group
1110002E22Rik	Other	0.00124287026662995	-0.0102126552894343	-0.0105668965945149	-1.14861033705641	-1.00198708027161	1.53533180479641	0.347185061358813	4	Non-DMR
4930583I09Rik	Other	-0.0071062899173554	0.00246819341925245	0.00471093794950139	-0.52249228137818	-0.798082438279794	0.745723152631556	0.884349174594555	4	Non-DMR
Angpt1	Active_Promoter	0.0509297748034185	-0.069241719575474	-0.0769305224992275	-0.46559806349796	-2.09412517493322	4.44396786922438	1.10447693038356	4	mC Hyper
Cfc1	Repressed_Promoter	-0.0652620342187158	0.0191759002909091	0.0374716118855418	-0.354686886900169	-1.31562031840623	0.968021001957164	0.509098027134868	4	mC Hypo
Col19a1	Other	0.0127235175743272	-0.0161373934220884	-0.0178990453209277	-0.747589191331871	-1.32858889519925	1.44990130054778	0.669172148554599	4	mC Hyper
Csrnp3	Other	0.00626894827963187	-0.0309756418609662	-0.0322987172191502	-0.909536920756425	-1.04526695469828	1.92937805748699	0.531202388228161	4	mC Hyper
Dnah11	Other	0.0184267862032332	-0.0160957759691762	-0.0188252966829757	-0.452137685130465	-1.09918018554741	2.40744752304626	0.668905389572875	4	mC Hyper
Dsc2	Other	0.00929967517702757	0.00258011431899649	0.00121962175947293	-0.670511566464254	-1.2193909034258	1.64835251538023	0.747715505482679	4	Non-DMR
Eomes	Bivalent_Promoter	0.0711977820542603	-0.0713168347843617	-0.082359342785194	-1.19160838054118	-1.3236164567206	1.97679728716615	0.340684444724367	4	mC Hyper
Fgf1	Other	0.104538554058639	-0.0373739451280678	-0.0615042745924594	-0.66987302973428	-1.479496496172	2.91998889048125	0.925650972639696	4	mC Hyper
Gprin3	Active_Promoter	0.10615824220462	-0.0533638283179436	-0.0740655856355303	-0.557449685725666	-1.20019354670989	2.67703053297392	0.738838445136368	4	mC Hyper
Grxcr1	Other	0.0159955265920125	0.00177272774433418	-0.000924651039648144	-1.44868915689767	-1.47646597736856	2.35057927005568	0.571876883153529	4	mC Hyper
Itgb5	Active_Promoter	0.109467583000416	-0.0752384358323301	-0.0975405187939247	-1.13369907455267	-1.66067152165031	3.09955281555478	0.816629342840635	4	mC Hyper
Nfib	Bivalent_Promoter	0.0716689623545693	-0.0263803359900477	-0.0580989094019896	-1.88598913176902	-2.99562570958817	1.90829510222777	0.701133325213681	4	mC Hyper
Npvf	Other	0.0543578414089556	-0.0410775982550602	-0.0455256175911728	-0.860770402863638	-1.62043459794923	1.94400550519548	1.32650096960341	4	mC Hyper
Prkn	Other	0.0108445646259789	-0.0137331000829399	-0.0148183254484431	-1.02715735263934	-1.10040740320067	3.19553933253411	0.583337459269717	4	mC Hyper
Rit2	Active_Promoter	0.0760828766171096	-0.0692993165734467	-0.0769098706114814	-0.554335835471869	-2.16468952911389	3.2995711393749	1.09540981436524	4	mC Hyper
Sh3bgr	Active_Promoter	0.0283326852941268	-0.00948759302489693	-0.014697570337465	-1.21397807589849	-2.45352165311348	2.04403011560455	0.776971174659216	4	mC Hyper
Syt1	Active_Promoter	0.178584373930707	-0.153276499189403	-0.183812303213424	-1.11266159150267	-2.24063162710741	3.83677376580842	1.29872901696794	4	mC Hyper
Zic3	Bivalent_Promoter	-0.0433852868393683	-0.0387865757493024	-0.0560906586173937	-0.608185810788106	-1.59418261401774	0.985309083773244	0.324379843996721	4	mC Hypo
1700129C05Rik	Other	0.00779764104772596	-0.00413779782599842	-0.00487457548700144	0.02394749601471	-0.811179905689119	2.07139480158365	0.612802331875554	3	Non-DMR
4930447A16Rik	Other	0.135295599400708	-0.0431010639243692	-0.0973513367170425	0.253089529575303	-0.8298632500508	1.92231999210392	0.476687426607771	3	mC Hyper
4933436I01Rik	Other	-0.0144756825542989	-0.0103249101430449	-0.0103530697900562	-0.691563130652197	-1.41291640432841	NA	0.957489876058452	3	Non-DMR
Abca1	Active_Promoter	0.020259574304955	-0.0200504016879963	-0.022904289985484	-0.0603948980970636	-1.24407077029422	2.82639734642214	0.642666727297872	3	mC Hyper
Adam34	Other	0.000448133166861431	-0.00499151600211934	-0.00556233664148274	-0.819223160552481	-1.21967891743639	NA	0.766173545233937	3	Non-DMR
Adamts6	Active_Promoter	0.00910114263969364	-0.012273574168532	-0.013509880708831	-0.32552398263501	-1.56107752594056	4.67341171965535	1.7212537977627	3	mC Hyper
Adgrl4	Repressed_Promoter	0.00737220062463606	-0.00220343957119634	-0.00288152298751404	-0.11461210013102	-0.549914946624243	0.917879964765918	0.772095519603692	3	mC Hyper
Amer2	Active_Promoter	0.110388642949276	0.0476991347678084	-0.0654900497382082	-0.791331255822313	-1.67933274121948	0.264505241872229	1.23494905851612	3	mC Hyper
Arid1b	Active_Promoter	0.0481974893158517	-0.0249709786787302	-0.043627858490944	-0.0347278038157298	-0.379086568702889	1.06611464562839	0.860361133520644	3	mC Hyper
Arid5b	Active_Promoter	0.0420957706051592	-0.044955481970648	-0.0528715557271637	-0.421025537210786	-0.531236602627522	NA	1.17995110151099	3	mC Hyper
Arsb	Active_Promoter	0.0330088611905858	-0.0302816401597657	-0.0353024764848419	0.0421304927760904	-0.424446855863792	1.14592894709613	0.809188941457164	3	mC Hyper
Asb5	Active_Promoter	0.0100574847138883	0.000162799978179182	-0.00109845954390959	-0.0458625461491935	-0.38980468338182	0.642433252961841	0.438560401210745	3	Non-DMR
Atoh7	Other	0.0244596955796177	-0.0100356714968086	-0.094675920718528	-1.13317998159434	-0.948663961407331	NA	0.917440873520678	3	Non-DMR
Barhl2	Active_Promoter	0.0464866020735179	0.0315648964719666	-0.10341587656811	-0.211073042942313	-0.392883111083125	0.768154350200864	0.395970887426976	3	mC Hyper
Bbs9	Repressed_Promoter	0.00750177162092247	-0.0177921563773757	-0.0183753027442792	-0.246155148141773	-0.603690537152629	0.883580825678848	0.303082949994779	3	mC Hyper
Bcar3	Other	-0.00539123188731749	-0.00677226505973322	-0.00580526832245298	0.0231884000329946	-0.768997474666185	0.562685465457923	0.455068931882598	3	mC Hypo
Bdnf	Bivalent_Promoter	0.0500734321522849	-0.0437663533313534	-0.0703818236988023	-0.0352055112720172	-0.50722274729014	0.629824134427149	0.589853086576098	3	mC Hyper
Bmp5	Other	0.104115230778309	-0.072738523211919	-0.0907346254720316	-2.19660625437639	-3.41089483522492	NA	1.19467412066326	3	mC Hyper
Btbd3	Active_Promoter	0.0451372037889699	-0.0131820497728345	-0.0228746295998981	-0.0190781007432043	-0.813402872594024	0.72579074606713	0.784534421792319	3	mC Hyper
C6	Other	0.0027401400770386	-0.00366632228848812	-0.00398537556939572	-0.538447192520986	-1.2313904805679	NA	0.946780098044434	3	Non-DMR
Calb1	Other	0.00365585439358929	-0.0188495841183051	-0.0222442017826388	0.111807823663182	-0.947314387567232	0.823332306767647	0.470977353668401	3	Non-DMR
Car9	Active_Promoter	0.0208623030562514	-0.0152586251179147	-0.0225315084313673	-0.383389615744525	-1.70646125905483	NA	0.655594677009734	3	Non-DMR
Cavin2	Other	0.0255114446141054	-0.0286849268229532	-0.0320014233934535	0.16748271795059	-1.41414992181736	1.49541761930082	0.33102009694987	3	mC Hyper
Cdh16	Other	0.00557120343624695	-0.004104158685964	-0.00563808560544915	-0.948109784794525	-1.28368827256313	NA	0.403978641482418	3	Non-DMR
Cdh8	Active_Promoter	0.0875066627972159	-0.070329325015304	-0.0843051108544285	-0.533376796224603	-0.519794463645112	NA	0.654849615593051	3	mC Hyper
Cenpf	Other	-0.00781148915975094	0.0175029634431721	0.0180058220966013	0.0986642023014558	-0.433504360544091	0.664883389484899	0.756994704606551	3	Non-DMR
Cer1	Other	-0.029276730776767	0.0167904726890331	0.0210817685683637	0.088988121260264	-0.577596837014996	1.32042556944954	0.511274252989339	3	Non-DMR
Ces5a	Other	0.00116572962347583	-0.00309112183623178	-0.00329851068012886	-0.257522638915813	-0.528643474305082	1.3042908329882	1.15652751795492	3	Non-DMR
Chil5	Other	0.0475214459750952	0.00530599018832442	-0.00170857599625018	-0.361842648171074	-0.469018134008454	NA	1.59880633033003	3	mC Hyper
Clrn1	Other	-0.00380066082462105	-0.00373956894721307	-0.00342711964508724	-0.0476519400047441	-1.10511129716902	2.56991730481175	0.537891141546111	3	Non-DMR
Cnpy1	Active_Promoter	0.107990897141757	0.00841896049410196	-0.0420454562238254	-0.778867069297921	-1.93433949166809	NA	1.26544466974417	3	mC Hyper
Cradd	Other	0.0114677793751061	-0.0254291664649953	-0.0261911500670817	0.187023841250189	-0.659447609325156	1.74451152362263	0.661248742274225	3	mC Hyper
Cypt12	Other	0.00497786527198296	-0.0160960363166246	-0.01684016996371	0.0652218981027877	-0.613431206045858	0.712362829453756	1.12216405199496	3	Non-DMR
Daam2	Active_Promoter	0.0921151513801909	-0.061622834814019	-0.0793681448596374	-0.0461663920421396	-0.619902510080888	0.816397944237209	0.309131380272999	3	mC Hyper
Dact1	Active_Promoter	0.090776236712093	-0.0498710396955501	-0.0766472468141608	0.0937562456672155	-0.660443714426104	0.574489194718472	0.491616093818135	3	mC Hyper
Dapl1	Other	0.0210427685368846	-0.0150437912231478	-0.0176092161110288	-0.572425687288315	-1.11535585454509	NA	0.405715131537985	3	mC Hyper
Dsg2	Other	0.000548682091495833	-0.00119124266068918	-0.00122945888974973	0.04425588076086	-0.761193892656494	0.7020880238773	0.269154648336015	3	Non-DMR
Dusp6	Active_Promoter	0.00692619688260432	-0.0257686809047404	-0.0394222179748108	-0.11808778900224	-0.464477959273852	1.77689856202499	0.368340130626374	3	Non-DMR
Echdc3	Other	0.0055195885171877	-0.00532343168983587	-0.00624698687183467	-0.476180309636613	-1.24704125851728	NA	0.851744135563049	3	Non-DMR
Egr4	Other	0.0183013503909026	-0.0224466286220206	-0.0314511359548235	-0.430024439507182	-0.951103633030414	NA	0.674643765961792	3	Non-DMR
Epha3	Active_Promoter	0.0982371512670291	-0.0778478807831161	-0.0927136803885069	-0.284052177119034	-0.97153525357061	2.42343071630689	0.744253482602507	3	mC Hyper
