perspective	mark	quadrant	observed	expected	oe_ratio	fisher_or	fisher_p	p_label	short_quadrant
5mC	ATAC-seq	mC Down + ATAC Up	523	449	1.16	0.0419209531298106	2.4070089934662e-49	p=2.4e-49	ATAC Up
5mC	ATAC-seq	mC Up + ATAC Down	114	40	2.85	0.0419209531298106	2.4070089934662e-49	p=2.4e-49	ATAC Down
5hmC	ATAC-seq	hmC Up + ATAC Up	455	389.4	1.17	0.0531385935218498	6.61740395609439e-38	p=6.6e-38	ATAC Up
5hmC	ATAC-seq	hmC Down + ATAC Down	122	56.4	2.16	0.0531385935218498	6.61740395609439e-38	p=6.6e-38	ATAC Down
5mC	H3K27ac	mC Down + K27ac Gained	287	120.9	2.37	0.0486405615991795	9.0133494577295e-103	p=9.0e-103	K27ac Gained
5mC	H3K27ac	mC Up + K27ac Lost	860	693.9	1.24	0.0486405615991795	9.0133494577295e-103	p=9.0e-103	K27ac Lost
5hmC	H3K27ac	hmC Up + K27ac Gained	197	92.3	2.13	0.0916172498940175	1.80357300699767e-52	p=1.8e-52	K27ac Gained
5hmC	H3K27ac	hmC Down + K27ac Lost	826	721.3	1.15	0.0916172498940175	1.80357300699767e-52	p=1.8e-52	K27ac Lost
5mC	H3K27me3	mC Up + K27me3 Gained	289	181.3	1.59	15.2737031983941	1.7252543321265e-60	p=1.7e-60	K27me3 Gained
5mC	H3K27me3	mC Down + K27me3 Lost	295	187.3	1.58	15.2737031983941	1.7252543321265e-60	p=1.7e-60	K27me3 Lost
5hmC	H3K27me3	hmC Down + K27me3 Gained	379	245.5	1.54	35.2277054452247	3.62342025241733e-92	p=3.6e-92	K27me3 Gained
5hmC	H3K27me3	hmC Up + K27me3 Lost	285	151.5	1.88	35.2277054452247	3.62342025241733e-92	p=3.6e-92	K27me3 Lost
5mC	H2AK119ub	mC Up + K119ub Gained	1651	1418.9	1.16	16.2349683832615	7.69227979285119e-140	p=7.7e-140	K119ub Gained
5mC	H2AK119ub	mC Down + K119ub Lost	363	130.9	2.77	16.2349683832615	7.69227979285119e-140	p=7.7e-140	K119ub Lost
5hmC	H2AK119ub	hmC Down + K119ub Gained	1819	1695.5	1.07	6.395527597031	3.21862860584816e-54	p=3.2e-54	K119ub Gained
5hmC	H2AK119ub	hmC Up + K119ub Lost	201	77.5	2.59	6.395527597031	3.21862860584816e-54	p=3.2e-54	K119ub Lost
