Atlas: 301626 cells, 274 subclasses

==========================================================================================
CEREBELLAR SUBCLASSES (Liu et al. 2023, Supp Table 2)
==========================================================================================
Subclass                                 n     mCH%     mCG%    mCCC%
----------------------------------------------------------------------
Bergmann NN                             85   1.0661  73.5904   0.6169
CB Granule Glut                       3729   1.3345  73.4891   0.6682
CBX Purkinje Gaba                     3394   2.5208  77.0689   0.8065
SI-MA-ACB Ebf1 Bnc2 Gaba               142   3.4240  83.7714   0.5291
CB PLI Gly-Gaba                        161   4.4749  82.1726   1.0593
CBN Neurod2 Pvalb Glut                 680   5.3806  83.8641   1.1643

==========================================================================================
ALL 274 SUBCLASSES RANKED BY GLOBAL mCH
==========================================================================================
   # Subclass                                        n     mCH%     mCG%    mCCC%
--------------------------------------------------------------------------------
   1 Microglia NN                                 2218   0.6509  72.1594   0.4310
   2 OPC NN                                       2151   0.7306  72.9455   0.4700
   3 Peri NN                                       432   0.7579  66.2537   0.4348
   4 ABC NN                                        484   0.7708  72.8108   0.4241
   5 Endo NN                                       359   0.7757  71.9093   0.4896
   6 Astro-TE NN                                  3307   0.8556  74.9575   0.4185
   7 OB-STR-CTX Inh IMN                           1102   0.9111  76.8344   0.4498
   8 VLMC NN                                      1110   0.9348  72.4965   0.4591
   9 DG-PIR Ex IMN                                 645   0.9502  75.2773   0.5012
  10 DG Glut                                      7669   1.0397  72.8518   0.4462
  11 Bergmann NN                                    85   1.0661  73.5904   0.6169
  12 Astro-NT NN                                  1978   1.1130  75.9387   0.5955
  13 OB Trdn Gaba                                   87   1.1166  78.5723   0.3996
  14 OB-out Frmd7 Gaba                              61   1.1457  78.3140   0.4068
  15 CHOR NN                                        50   1.1597  77.5277   0.5277
  16 Oligo NN                                    11792   1.3102  74.7821   0.5516
  17 OB-in Frmd7 Gaba                             1032   1.3216  78.1327   0.4162
  18 CB Granule Glut                              3729   1.3345  73.4891   0.6682 ***
  19 CBX MLI Cdh22 Gaba                             57   1.3656  74.4390   0.6133
  20 OB Dopa-Gaba                                   65   1.4596  78.8433   0.4474
  21 HPF CR Glut                                    74   1.5275  78.6177   0.5248
  22 SCH Six6 Cdc14a Gaba                          144   1.5419  81.4328   0.5694
  23 CBX MLI Megf11 Gaba                           567   1.6934  75.6438   0.7064
  24 OT D3 Folh1 Gaba                             1381   1.6996  80.1256   0.4357
  25 DMH Prdm13 Gaba                                32   1.8003  81.7342   0.5291
  26 CA2-FC-IG Glut                                756   1.8114  75.0202   0.5093
  27 L2/3 IT RSP Glut                             2993   1.8268  75.5147   0.5514
  28 ARH-PVp Tbx3 Gaba                              91   1.8314  82.7036   0.5613
  29 DMH Nkx2-4 Glut                                97   1.9305  82.6428   0.6063
  30 CA1-ProS Glut                                4597   2.0181  73.9439   0.5539
  31 STR-PAL Chst9 Gaba                           2084   2.0792  81.5012   0.6103
  32 STR D1 Sema5a Gaba                           1167   2.1019  79.5042   0.5668
  33 OB Eomes Ms4a15 Glut                           87   2.1240  79.7290   0.5127
  34 PVH-SO-PVa Otp Glut                           496   2.1912  83.4834   0.6385
  35 Lamp5 Gaba                                   2709   2.1943  77.6341   0.5816
  36 STR D2 Gaba                                  4797   2.2336  79.4943   0.5824
  37 AVPV-MEPO-SFO Tbr1 Glut                       115   2.2697  83.5164   0.6114
  38 CA3 Glut                                     3598   2.3186  75.2932   0.6024
  39 L4/5 IT CTX Glut                            18647   2.3200  77.4740   0.5876
  40 TU-ARH Otp Six6 Gaba                          393   2.3536  83.2356   0.6293
  41 L2/3 IT CTX Glut                            21362   2.3537  76.9771   0.5962
  42 ARH-PVp Tbx3 Glut                             308   2.3734  83.8420   0.6383
  43 SBPV-PVa Six6 Satb2 Gaba                      150   2.3834  83.3452   0.6365
  44 STR D1 Gaba                                  6176   2.4296  79.5754   0.6088
  45 Lamp5 Lhx6 Gaba                               366   2.4398  79.0820   0.6367
  46 LSX Sall3 Pax6 Gaba                           253   2.4551  80.3898   0.6778
  47 L6 CT CTX Glut                              17313   2.4905  79.2662   0.6183
  48 DMH-LHA Gsx1 Gaba                             411   2.4988  83.6511   0.6565
  49 L2 IT PPP-APr Glut                            235   2.5144  78.1003   0.7692
  50 CBX Purkinje Gaba                            3394   2.5208  77.0689   0.8065 **
  51 SC Lef1 Otx2 Gaba                             222   2.5427  80.9600   0.8354
  52 L6 IT CTX Glut                               7095   2.5670  79.0622   0.6202
  53 IT AON-TT-DP Glut                            3585   2.5843  79.0103   0.5798
  54 Vip Gaba                                     1662   2.6087  80.4328   0.6312
  55 BST-po Iigp1 Glut                              75   2.6341  80.9688   0.7191
  56 PVpo-VMPO-MPN Hmx2 Gaba                       618   2.6549  82.6286   0.6739
  57 COAp Grxcr2 Glut                              175   2.6692  80.2099   0.6988
  58 MPN-MPO-PVpo Hmx2 Glut                        264   2.6792  82.7332   0.6665
  59 SCs Pax7 Nfia Gaba                            584   2.6868  81.0818   0.8150
  60 PVR Six3 Sox3 Gaba                            277   2.6914  83.1971   0.6213
  61 SCs Dmbx1 Gaba                               1001   2.6944  80.7840   0.8120
  62 L2/3 IT PPP Glut                             1109   2.7054  77.6703   0.7976
  63 LSX Otx2 Gaba                                 454   2.7199  82.4727   0.7322
  64 TRS-BAC Sln Glut                              601   2.7208  80.6925   0.8924
  65 DMH-LHA Vgll2 Glut                             82   2.7479  84.8816   0.6928
  66 SC Tnnt1 Gli3 Gaba                            165   2.7596  80.7561   0.8460
  67 MEA-BST Lhx6 Nfib Gaba                        484   2.7757  82.1000   0.8058
  68 CLA-EPd-CTX Car3 Glut                        3165   2.7774  78.7994   0.6961
  69 LSX Prdm12 Slit2 Gaba                         863   2.7785  81.0143   0.6115
  70 PH-an Pitx2 Glut                               61   2.7829  83.3115   0.7146
  71 LSX Nkx2-1 Gaba                               894   2.8208  81.6560   0.7199
  72 SCsg Gabrr2 Gaba                              583   2.8471  80.6511   0.8481
  73 L2/3 IT PIR-ENTl Glut                       12180   2.8482  79.2251   0.6217
  74 IT EP-CLA Glut                               2198   2.8511  80.3289   0.6801
  75 L2/3 IT ENT Glut                             1788   2.8543  77.9720   0.7131
  76 L5 NP CTX Glut                               2588   2.8552  83.1329   0.6709
  77 L5 IT CTX Glut                               5833   2.8646  79.0986   0.6551
  78 VMH Nr5a1 Glut                                860   2.8839  83.0610   0.6795
  79 LSX Sall3 Lmo1 Gaba                           292   2.8854  80.6795   0.7976
  80 DCO Il22 Gly-Gaba                             659   2.8874  79.4858   0.8262
  81 VMH Fezf1 Glut                                286   2.9038  84.1593   0.6952
  82 IA Mgp Gaba                                   237   2.9315  82.0446   0.6880
  83 LHA-AHN-PVH Otp Trh Glut                      243   2.9342  84.2739   0.7197
  84 DMH Hmx2 Glut                                 208   2.9643  84.1851   0.7033
  85 SUB-ProS Glut                                 581   2.9651  77.8705   0.7727
  86 LSX Prdm12 Zeb2 Gaba                         1178   2.9664  79.6551   0.8425
  87 L6b/CT ENT Glut                              1774   2.9698  80.5658   0.7654
  88 DMH Hmx2 Gaba                                 634   2.9856  84.4487   0.7068
  89 IPN Otp Crisp1 Gaba                           122   2.9975  80.7483   1.0302
  90 ACB-BST-FS D1 Gaba                            449   3.0147  83.0020   0.4013
  91 PH-ant-LHA Otp Bsx Glut                       516   3.0377  84.1541   0.7286
  92 Pvalb chandelier Gaba                         217   3.0520  81.2341   0.6950
  93 BST-MPN Six3 Nrgn Gaba                        511   3.0524  84.1325   0.7106
  94 CEA-BST Six3 Cyp26b1 Gaba                     543   3.0536  83.0378   0.8178
  95 MPN-MPO-LPO Lhx6 Zfhx3 Gaba                   148   3.0625  84.6841   0.7384
  96 LHA Pmch Glut                                  78   3.0713  84.2817   0.7391
  97 SCsg Pde5a Glut                               713   3.0720  79.9630   0.8710
  98 ENTmv-PA-COAp Glut                            317   3.0761  79.8564   0.7316
  99 L5 ET CTX Glut                               4801   3.1041  78.7121   0.6972
 100 PVHd-SBPV Six3 Prox1 Gaba                     502   3.1338  83.5639   0.7573
 101 STR Lhx8 Gaba                                 321   3.1491  82.9723   0.6451
 102 SCs Lef1 Gli3 Gaba                            344   3.1583  81.5711   0.8774
 103 SI-MPO-LPO Lhx8 Gaba                         1051   3.1781  82.8358   0.6817
 104 L6b CTX Glut                                 1530   3.1914  82.2073   0.7126
 105 LDT Vsx2 Nkx6-1 Nfib Glut                      51   3.1914  84.5962   0.8356
 106 LA-BLA-BMA-PA Glut                           2056   3.2230  79.0642   0.8604
 107 L5/6 IT TPE-ENT Glut                         1211   3.2539  80.0002   0.8053
 108 SCig Tfap2b Chrnb3 Glut                       172   3.2550  80.9000   0.8895
 109 MM-ant Foxb1 Glut                              35   3.2691  81.3585   0.8976
 110 BST Tac2 Gaba                                 285   3.2791  83.8186   0.8275
 111 AHN-SBPV-PVHd Pdrm12 Gaba                     440   3.2865  84.4363   0.7509
 112 MEA-BST Otp Zic2 Glut                         128   3.3077  84.4148   0.8792
 113 CT SUB Glut                                    95   3.3176  80.8521   0.8673
 114 PMd-LHA Foxb1 Glut                            221   3.3195  83.9517   0.7871
 115 SC Bnc2 Glut                                  392   3.3233  81.3467   0.8984
 116 SPVI-SPVC Tlx3 Ebf3 Glut                      318   3.3283  82.6397   0.7911
 117 IC Tfap2d Maf Glut                           3908   3.3294  81.2447   0.8991
 118 CEA-AAA-BST Six3 Sp9 Gaba                     827   3.3335  84.2244   0.7706
 119 MEA-BST Lhx6 Nr2e1 Gaba                       171   3.3367  84.7524   0.8730
 120 AHN Onecut3 Gaba                              410   3.3400  84.6534   0.7449
 121 PRNc Prox1 Brs3 Gly-Gaba                       46   3.3510  84.0872   0.8629
 122 MPO-ADP Lhx8 Gaba                             372   3.3553  84.8353   0.5991
 123 Pvalb Gaba                                   5017   3.3571  81.1568   0.7242
 124 L4 RSP-ACA Glut                               589   3.3625  75.5958   0.7462
 125 MEA-BST Sox6 Gaba                             618   3.3647  83.8506   0.8761
 126 PVHd-DMH Lhx6 Gaba                            250   3.3651  84.5388   0.7789
 127 MEA-BST Lhx6 Sp9 Gaba                         543   3.3672  84.8983   0.8827
 128 NTS-MDRNd Prox1 Zic1 Gly-Gaba                  49   3.3757  84.4300   0.9310
 129 SC Otx2 Gcnt4 Gaba                             87   3.3884  82.2063   0.9283
 130 MEA Slc17a7 Glut                              574   3.3894  81.7163   0.8106
 131 Sst Gaba                                     4911   3.4238  82.2764   0.7514
 132 SI-MA-ACB Ebf1 Bnc2 Gaba                      142   3.4240  83.7714   0.5291
 133 SCig Foxb1 Otx2 Glut                           81   3.4259  81.3582   0.8978
 134 PVHd Gsc Gaba                                  62   3.4466  85.3291   0.7856
 135 NP SUB Glut                                   318   3.4549  81.6805   0.8543
 136 AHN-RCH-LHA Otp Fezf1 Glut                    659   3.4595  84.4531   0.8033
 137 MV Pax6 Gly-Gaba                               70   3.4793  82.2604   0.8957
 138 PAS-MV Ebf2 Gly-Gaba                          172   3.4829  83.3016   0.8474
 139 Sst Chodl Gaba                                624   3.4949  83.6192   0.7023
 140 MEA-COA-BMA Ccdc42 Glut                       831   3.5178  83.9306   0.9198
 141 NDB-SI-ant Prdm12 Gaba                        562   3.5207  83.0858   0.7230
 142 CEA-BST Rai14 Pdyn Crh Gaba                   125   3.5405  83.2680   0.6616
 143 SCig Foxb1 Glut                              1084   3.5533  82.2824   0.9059
 144 L6b EPd Glut                                  989   3.5534  83.2038   0.7898
 145 SCop Pou4f2 Neurod2 Glut                       96   3.5717  82.0217   0.9362
 146 LHA Barhl2 Glut                               338   3.5843  84.8632   0.8266
 147 PAG-MRN Tfap2b Glut                           334   3.5919  84.1928   0.8879
 148 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut                 87   3.6070  83.3227   0.9221
 149 SCdg-PAG Tfap2b Glut                          248   3.6201  83.5397   0.9021
 150 Sncg Gaba                                     985   3.6260  82.2043   0.7771
 151 STR Prox1 Lhx6 Gaba                           339   3.6275  81.2479   0.7898
 152 LHA-MEA Otp Glut                              107   3.6490  85.0610   0.8533
 153 LDT-PCG Vsx2 Lhx4 Glut                        369   3.6691  84.4187   0.9632
 154 APN C1ql2 Glut                                285   3.6840  82.7672   0.9025
 155 ADP-MPO Trp73 Glut                            172   3.6893  84.9448   0.7764
 156 CEA-BST Gal Avp Gaba                           35   3.6902  85.0702   0.9212
