gene_symbol	gene_class	feature_idx	feature_label	distance_to_tss	k27ac_class
Ogfrl1	DEG_down	33	P60	767450	lost_k27ac
Ogfrl1	DEG_down	34	P60	600820.5	lost_k27ac
B3gat2	DEG_down	33	P60	1131662	lost_k27ac
B3gat2	DEG_down	34	P60	965032.5	lost_k27ac
Fam135a	DEG_down	33	P60	1470250	lost_k27ac
Fam135a	DEG_down	34	P60	1303620.5	lost_k27ac
Col9a1	DEG_down	33	P60	1547519	lost_k27ac
Col9a1	DEG_down	34	P60	1380889.5	lost_k27ac
Col19a1	DEG_down	33	P60	1957381	lost_k27ac
Col19a1	DEG_down	34	P60	1790751.5	lost_k27ac
Amer3	DEG_down	35	P60	1916747	lost_k27ac
Amer3	DEG_down	36	P60	1968765.5	stable_k27ac
Fer1l5	DEG_down	35	P60	124113	lost_k27ac
Fer1l5	DEG_down	36	P60	176131.5	stable_k27ac
Lman2l	DEG_down	35	P60	51133	lost_k27ac
Lman2l	DEG_down	36	P60	103151.5	stable_k27ac
Cnnm4	DEG_down	35	P60	24784	lost_k27ac
Cnnm4	DEG_down	36	P60	76802.5	stable_k27ac
Sema4c	DEG_down	35	P60	61945	lost_k27ac
Sema4c	DEG_down	36	P60	9926.5	stable_k27ac
Cracdl	DEG_down	35	P60	1223681	lost_k27ac
Cracdl	DEG_down	36	P60	1171662.5	stable_k27ac
Cracdl	DEG_down	37	P60	1730534	lost_k27ac
Tsga10	DEG_up	35	P60	1370025	lost_k27ac
Tsga10	DEG_up	36	P60	1318006.5	stable_k27ac
Tsga10	DEG_up	37	P60	1584190	lost_k27ac
Il1r1	DEG_down	37	P60	774461	lost_k27ac
Slc9a2	DEG_up	37	P60	1229955	lost_k27ac
Aox1	DEG_down	38	P60	1187522	gained_k27ac
Aox1	DEG_down	39	P60	1363519	lost_k27ac
Aox1	DEG_down	40	P60	1449715.5	lost_k27ac
Cflar	DEG_down	38	P60	505945	gained_k27ac
Cflar	DEG_down	39	P60	681942	lost_k27ac
Cflar	DEG_down	40	P60	768138.5	lost_k27ac
Mpp4	DEG_up	38	P60	54064	gained_k27ac
Mpp4	DEG_up	39	P60	230061	lost_k27ac
Mpp4	DEG_up	40	P60	316257.5	lost_k27ac
Als2	DEG_up	38	P60	19778	gained_k27ac
Als2	DEG_up	39	P60	156219	lost_k27ac
Als2	DEG_up	40	P60	242415.5	lost_k27ac
Cdk15	DEG_down	38	P60	39453	gained_k27ac
Cdk15	DEG_down	39	P60	136544	lost_k27ac
Cdk15	DEG_down	40	P60	222740.5	lost_k27ac
Fzd7	DEG_down	38	P60	264971	gained_k27ac
Fzd7	DEG_down	39	P60	88974	lost_k27ac
Fzd7	DEG_down	40	P60	2777.5	lost_k27ac
Bmpr2	DEG_up	38	P60	545947	gained_k27ac
Bmpr2	DEG_up	39	P60	369950	lost_k27ac
Bmpr2	DEG_up	40	P60	283753.5	lost_k27ac
Fam117b	DEG_up	38	P60	695553	gained_k27ac
Fam117b	DEG_up	39	P60	519556	lost_k27ac
Fam117b	DEG_up	40	P60	433359.5	lost_k27ac
Ino80dos	DEG_up	41	P60	962261	stable_k27ac
Ino80dos	DEG_up	42	P60	1004847.5	stable_k27ac
Zdbf2	DEG_down	41	P60	876419	stable_k27ac
Zdbf2	DEG_down	42	P60	919005.5	stable_k27ac
Pth2r	DEG_up	41	P60	1205324	stable_k27ac
Pth2r	DEG_up	42	P60	1162737.5	stable_k27ac
Mreg	DEG_down	44	P60	1509066	lost_k27ac
Tmem169	DEG_down	44	P60	1437004	lost_k27ac
Xrcc5	DEG_down	44	P60	1413946	lost_k27ac
Xrcc5	DEG_down	45	P60	1987363.5	lost_k27ac
Igfbp5	DEG_down	44	P60	846489	lost_k27ac
Igfbp5	DEG_down	45	P60	1419906.5	lost_k27ac
Pnkd	DEG_down	44	P60	563557	lost_k27ac
Pnkd	DEG_down	45	P60	9860.5	lost_k27ac
Pnkd	DEG_down	46	P60	1097394	lost_k27ac
Pnkd	DEG_down	47	P60	1158734	lost_k27ac
Resp18	DEG_down	44	P60	1557042	lost_k27ac
Resp18	DEG_down	45	P60	983624.5	lost_k27ac
Resp18	DEG_down	46	P60	103909	lost_k27ac
Resp18	DEG_down	47	P60	165249	lost_k27ac
Des	DEG_down	44	P60	1638956	lost_k27ac
Des	DEG_down	45	P60	1065538.5	lost_k27ac
Des	DEG_down	46	P60	21995	lost_k27ac
Des	DEG_down	47	P60	83335	lost_k27ac
Gm15179	DEG_down	44	P60	1653639	lost_k27ac
Gm15179	DEG_down	45	P60	1080221.5	lost_k27ac
Gm15179	DEG_down	46	P60	7312	lost_k27ac
Gm15179	DEG_down	47	P60	68652	lost_k27ac
Slc16a14	DEG_down	48	P60	964747	lost_k27ac
Slc16a14	DEG_down	49	P60	1503786.5	stable_k27ac
Slc16a14	DEG_down	50	P60	1574399.5	lost_k27ac
Itm2c	DEG_down	48	P60	5600	lost_k27ac
Itm2c	DEG_down	49	P60	544639.5	stable_k27ac
Itm2c	DEG_down	50	P60	615252.5	lost_k27ac
Itm2c	DEG_down	51	P60	1981722.5	stable_k27ac
Snorc	DEG_up	48	P60	1570390	lost_k27ac
Snorc	DEG_up	49	P60	1031350.5	stable_k27ac
Snorc	DEG_up	50	P60	960737.5	lost_k27ac
Snorc	DEG_up	51	P60	405732.5	stable_k27ac
Snorc	DEG_up	52	P60	886603	lost_k27ac
Ngef	DEG_up	48	P60	1673989	lost_k27ac
Ngef	DEG_up	49	P60	1134949.5	stable_k27ac
Ngef	DEG_up	50	P60	1064336.5	lost_k27ac
Ngef	DEG_up	51	P60	302133.5	stable_k27ac
Ngef	DEG_up	52	P60	783004	lost_k27ac
Ngef	DEG_up	53	P60	1988767.5	stable_k27ac
Inpp5d	DEG_up	48	P60	1720431	lost_k27ac
Inpp5d	DEG_up	49	P60	1181391.5	stable_k27ac
Inpp5d	DEG_up	50	P60	1110778.5	lost_k27ac
Inpp5d	DEG_up	51	P60	255691.5	stable_k27ac
Inpp5d	DEG_up	52	P60	736562	lost_k27ac
Inpp5d	DEG_up	53	P60	1942325.5	stable_k27ac
Mroh2a	DEG_up	49	P60	1788065.5	stable_k27ac
Mroh2a	DEG_up	50	P60	1717452.5	lost_k27ac
Mroh2a	DEG_up	51	P60	350982.5	stable_k27ac
Mroh2a	DEG_up	52	P60	129888	lost_k27ac
Mroh2a	DEG_up	53	P60	1335651.5	stable_k27ac
Hjurp	DEG_up	49	P60	1838712.5	stable_k27ac
Hjurp	DEG_up	50	P60	1768099.5	lost_k27ac
