anchor_type	stripe_direction	observed	null_mean	null_sd	z_score	fold_enrichment	p_enrichment	p_depletion	p_enrichment_BH	p_depletion_BH
Active_Enhancer	gained	102	67.355	13.1288743745358	2.63884008725044	1.51436418974093	0.00799200799200799	0.994005994005994	0.0111888111888112	1
Active_Enhancer	lost	146	50.922	12.5881840778715	7.5529559634527	2.86713012057657	0.000999000999000999	1	0.00174825174825175	1
Active_Enhancer	unchanged	297	117.139	16.900808155716	10.6421538155363	2.53544933796601	0.000999000999000999	1	0.00174825174825175	1
Active_Promoter	gained	96	51.939	9.55157115408307	4.6129583593339	1.84832207012072	0.000999000999000999	1	0.00174825174825175	1
Active_Promoter	lost	84	37.75	8.18403803012171	5.65124451154489	2.22516556291391	0.000999000999000999	1	0.00174825174825175	1
Active_Promoter	unchanged	194	90.419	11.985620304936	8.64210590396749	2.14556675035114	0.000999000999000999	1	0.00174825174825175	1
Bivalent_Promoter	gained	11	5.14	3.34478513324662	1.75198099924344	2.14007782101167	0.0779220779220779	0.945054945054945	0.0962566844919786	1
Bivalent_Promoter	lost	6	3.761	2.93811359744844	0.762053584975211	1.59532039351236	0.248751248751249	0.831168831168831	0.274935590725064	1
Bivalent_Promoter	unchanged	24	9.121	3.9905241865303	3.72858283887187	2.63129042868107	0.003996003996004	0.998001998001998	0.00599400599400599	1
Other	gained	264	192.939	16.2947475524415	4.36097581575314	1.36830811810987	0.000999000999000999	1	0.00174825174825175	1
Other	lost	156	144.657	14.816912360269	0.765544110959031	1.07841307368465	0.224775224775225	0.79020979020979	0.262237762237762	1
Other	unchanged	465	335.536	20.5992969548729	6.2848746869186	1.38584235372657	0.000999000999000999	1	0.00174825174825175	1
Poised_Enhancer	gained	203	119.894	14.5014156224506	5.730888774151	1.69316229335913	0.000999000999000999	1	0.00174825174825175	1
Poised_Enhancer	lost	120	88.998	12.9119601422369	2.40102971651747	1.34834490662712	0.00899100899100899	0.993006993006993	0.0118006993006993	1
Poised_Enhancer	unchanged	383	211.871	18.1828208475466	9.41157598344211	1.80770374425948	0.000999000999000999	1	0.00174825174825175	1
Polycomb	gained	218	95.478	15.0299506125408	8.1518564603778	2.28324849703597	0.000999000999000999	1	0.00174825174825175	1
Polycomb	lost	59	70.287	12.9053158883531	-0.874600830978993	0.839415539146642	0.824175824175824	0.204795204795205	0.824175824175824	1
Polycomb	unchanged	236	164.599	17.8645834640034	3.99679064131952	1.43378756857575	0.001998001998002	0.999000999000999	0.00322754168908015	1
Repressed_Promoter	gained	127	59.309	12.4845257171581	5.42199211516452	2.14132762312634	0.000999000999000999	1	0.00174825174825175	1
Repressed_Promoter	lost	46	44.001	10.9225592834876	0.183015715284057	1.04543078566396	0.430569430569431	0.602397602397602	0.452097902097902	1
Repressed_Promoter	unchanged	163	105.268	15.4271894450731	3.74222409114432	1.54842877227648	0.000999000999000999	1	0.00174825174825175	1
