anchor_type	stripe_direction	n_overlapping_loops	n_total_loops_of_type	observed_fraction	null_mean	null_sd	z_score	fold_enrichment	p_enrichment	p_enrichment_BH	p_depletion	p_depletion_BH
Active_Enhancer	gained	102	517	0.197292069632495	67.355	13.1288743745358	2.63884008725044	1.51436418974093	0.00799200799200799	0.0111888111888112	0.994005994005994	1
Active_Enhancer	lost	146	517	0.282398452611219	50.922	12.5881840778715	7.5529559634527	2.86713012057657	0.000999000999000999	0.00174825174825175	1	1
Active_Enhancer	unchanged	297	517	0.574468085106383	117.139	16.900808155716	10.6421538155363	2.53544933796601	0.000999000999000999	0.00174825174825175	1	1
Active_Promoter	gained	96	429	0.223776223776224	51.939	9.55157115408307	4.6129583593339	1.84832207012072	0.000999000999000999	0.00174825174825175	1	1
Active_Promoter	lost	84	429	0.195804195804196	37.75	8.18403803012171	5.65124451154489	2.22516556291391	0.000999000999000999	0.00174825174825175	1	1
Active_Promoter	unchanged	194	429	0.452214452214452	90.419	11.985620304936	8.64210590396749	2.14556675035114	0.000999000999000999	0.00174825174825175	1	1
Bivalent_Promoter	gained	11	48	0.229166666666667	5.14	3.34478513324662	1.75198099924344	2.14007782101167	0.0779220779220779	0.0962566844919786	0.945054945054945	1
Bivalent_Promoter	lost	6	48	0.125	3.761	2.93811359744844	0.762053584975211	1.59532039351236	0.248751248751249	0.274935590725064	0.831168831168831	1
Bivalent_Promoter	unchanged	24	48	0.5	9.121	3.9905241865303	3.72858283887187	2.63129042868107	0.003996003996004	0.00599400599400599	0.998001998001998	1
Other	gained	264	1414	0.186704384724187	192.939	16.2947475524415	4.36097581575314	1.36830811810987	0.000999000999000999	0.00174825174825175	1	1
Other	lost	156	1414	0.11032531824611	144.657	14.816912360269	0.765544110959031	1.07841307368465	0.224775224775225	0.262237762237762	0.79020979020979	1
Other	unchanged	465	1414	0.328854314002829	335.536	20.5992969548729	6.2848746869186	1.38584235372657	0.000999000999000999	0.00174825174825175	1	1
Poised_Enhancer	gained	203	1012	0.200592885375494	119.894	14.5014156224506	5.730888774151	1.69316229335913	0.000999000999000999	0.00174825174825175	1	1
Poised_Enhancer	lost	120	1012	0.118577075098814	88.998	12.9119601422369	2.40102971651747	1.34834490662712	0.00899100899100899	0.0118006993006993	0.993006993006993	1
Poised_Enhancer	unchanged	383	1012	0.378458498023715	211.871	18.1828208475466	9.41157598344211	1.80770374425948	0.000999000999000999	0.00174825174825175	1	1
Polycomb	gained	218	747	0.291834002677376	95.478	15.0299506125408	8.1518564603778	2.28324849703597	0.000999000999000999	0.00174825174825175	1	1
Polycomb	lost	59	747	0.0789825970548862	70.287	12.9053158883531	-0.874600830978993	0.839415539146642	0.824175824175824	0.824175824175824	0.204795204795205	1
Polycomb	unchanged	236	747	0.315930388219545	164.599	17.8645834640034	3.99679064131952	1.43378756857575	0.001998001998002	0.00322754168908015	0.999000999000999	1
Repressed_Promoter	gained	127	494	0.257085020242915	59.309	12.4845257171581	5.42199211516452	2.14132762312634	0.000999000999000999	0.00174825174825175	1	1
Repressed_Promoter	lost	46	494	0.0931174089068826	44.001	10.9225592834876	0.183015715284057	1.04543078566396	0.430569430569431	0.452097902097902	0.602397602397602	1
Repressed_Promoter	unchanged	163	494	0.32995951417004	105.268	15.4271894450731	3.74222409114432	1.54842877227648	0.000999000999000999	0.00174825174825175	1	1
