perspective	mark	quadrant	observed	expected	oe_ratio	fisher_or	fisher_p	p_label	short_quadrant
5mC	MeCP2	mC Down + MeCP2 Up	940	904.5	1.04	0.922698705737116	0.0902449198908957	p=0.090	MeCP2 Up
5mC	MeCP2	mC Up + MeCP2 Down	4805	4769.5	1.01	0.922698705737116	0.0902449198908957	p=0.090	MeCP2 Down
5hmC	MeCP2	hmC Up + MeCP2 Up	626	549.1	1.14	0.789814489882119	1.92705693073779e-05	p=1.9e-05	MeCP2 Up
5hmC	MeCP2	hmC Down + MeCP2 Down	6085	6008.1	1.01	0.789814489882119	1.92705693073779e-05	p=1.9e-05	MeCP2 Down
5mC	ATAC	mC Down + ATAC Up	1122	800.4	1.4	0.0949749634284412	1.30637209101539e-150	p=1.3e-150	ATAC Up
5mC	ATAC	mC Up + ATAC Down	939	617.4	1.52	0.0949749634284412	1.30637209101539e-150	p=1.3e-150	ATAC Down
5hmC	ATAC	hmC Up + ATAC Up	890	630	1.41	0.0953534327065194	1.53773081338108e-116	p=1.5e-116	ATAC Up
5hmC	ATAC	hmC Down + ATAC Down	959	699	1.37	0.0953534327065194	1.53773081338108e-116	p=1.5e-116	ATAC Down
5mC	K119ub	mC Up + K119ub Gained	1359	1044.9	1.3	5.96067949224846	1.68769225434627e-119	p=1.7e-119	K119ub Gained
5mC	K119ub	mC Down + K119ub Lost	889	574.9	1.55	5.96067949224846	1.68769225434627e-119	p=1.7e-119	K119ub Lost
5hmC	K119ub	hmC Down + K119ub Gained	1404	1251.1	1.12	2.81063303855496	7.28453946990865e-36	p=7.3e-36	K119ub Gained
5hmC	K119ub	hmC Up + K119ub Lost	521	368.1	1.42	2.81063303855496	7.28453946990865e-36	p=7.3e-36	K119ub Lost
5mC	H3K27ac	mC Down + H3K27ac Gained	336	252	1.33	0.257718646125434	4.40045871516328e-24	p=4.4e-24	H3K27ac Gained
5mC	H3K27ac	mC Up + H3K27ac Lost	868	784	1.11	0.257718646125434	4.40045871516328e-24	p=4.4e-24	H3K27ac Lost
5hmC	H3K27ac	hmC Up + H3K27ac Gained	197	166.7	1.18	0.50915569545944	1.15225968479936e-05	p=1.2e-05	H3K27ac Gained
5hmC	H3K27ac	hmC Down + H3K27ac Lost	834	803.7	1.04	0.50915569545944	1.15225968479936e-05	p=1.2e-05	H3K27ac Lost
