group	mark	predicted_direction	n_concordant	n_total	pct_concordant
mC Up	MeCP2	MeCP2 Up	2056	6861	29.966477189914
mC Down	MeCP2	MeCP2 Down	2027	2967	68.3181664981463
hmC Down	MeCP2	MeCP2 Up	2507	8592	29.1783054003724
hmC Up	MeCP2	MeCP2 Down	1200	1826	65.7174151150055
mC Up	ATAC	ATAC Down	939	1714	54.7841306884481
mC Down	ATAC	ATAC Up	1122	1251	89.6882494004796
hmC Down	ATAC	ATAC Down	959	2002	47.9020979020979
hmC Up	ATAC	ATAC Up	890	968	91.9421487603306
mC Up	K119ub	K119ub Gained	1359	1992	68.2228915662651
mC Down	K119ub	K119ub Lost	889	1209	73.5318444995864
hmC Down	K119ub	K119ub Gained	1404	2257	62.2064687638458
hmC Up	K119ub	K119ub Lost	521	826	63.0750605326877
