model	stratum	n_genes	n_hyper	auc	auc_ci_lower	auc_ci_upper	aic	mcfadden_r2
Full	All genes	11936	6182	0.861263434593826	0.854555027076761	0.867971842110887	11361.7037767892	0.313690112657112
DNMT3A recruitment	All genes	11936	6182	0.696481352850679	0.687115127560533	0.705847578140827	15221.2473860057	0.0797395820461075
TET impediment	All genes	11936	6182	0.794455479580294	0.786460971269001	0.802449987891588	13372.3313399159	0.191460879240278
K119ub only	All genes	11936	6182	0.657675917176656	0.647937378436922	0.667414455916393	15608.0073294239	0.0561022283815329
Stepwise	All genes	11936	6182	0.861263434593826	0.854555027076761	0.867971842110887	11361.7037767892	0.313690112657112
Full	Non-promoter	6596	2279	0.871474785187042	0.862493793411803	0.88045577696229	5810.74575779001	0.31857656738797
DNMT3A recruitment	Non-promoter	6596	2279	0.716964361129094	0.704110670496573	0.729818051761613	7804.68909077705	0.0831613904537769
TET impediment	Non-promoter	6596	2279	0.790671958967489	0.77958255165518	0.801761366279802	7020.95408307307	0.175088210819713
K119ub only	Non-promoter	6596	2279	0.686200855155642	0.672955256546592	0.699446453764684	7961.90239012187	0.0642037822317804
Stepwise	Non-promoter	6596	2279	0.871474785187042	0.862493793411803	0.88045577696229	5810.74575779001	0.31857656738797
