term	estimate	or	or_lower	or_upper	p_value	model	standardized_beta	standardized_se
(Intercept)	-2.19076799971564	0.111830829583336	0.0634115443913262	0.197221729345039	3.78053415111858e-14	Full	0.0571661375796733	0.0241462660153814
k119ub	-0.870358999430706	0.418801172874097	0.389662281377987	0.450119066645252	1.05827362492335e-123	Full	-1.03986260329189	0.043960258360206
atac_count	-0.0243598021592185	0.975934503237745	0.962458443176081	0.989599251129074	0.000595378645302735	Full	-0.106909548669399	0.031135278742351
cpg_density	25.0796249778761	77972729279.0933	13318.1209892089	456501823054239552	0.00160794757123753	Full	0.0827613614744119	0.0262362908275851
baseline_mc	0.688847688127975	1.99141947430673	1.25367641273047	3.16329754821726	0.00352866778470321	Full	0.109741585886681	0.0376151346587059
baseline_hmc	17.607844629202	44359818.5127691	15297025.3951143	128638963.959248	1.72471987675479e-230	Full	1.26123713974857	0.038909871493669
log_gene_length	-0.428188550623663	0.651688526935616	0.568566641045821	0.746962458716053	7.72052032271588e-10	Full	-0.239934447609414	0.0390101187323512
log_expression	0.948220036027163	2.58111128296424	2.34609753607466	2.83966687343782	2.08031707920984e-84	Full	0.745654408135294	0.0383029595870608
(Intercept)	0.54848789920189	1.73063414509455	1.52079680421285	1.96942453841976	9.01279320499729e-17	DNMT3A recruitment	0.0218424180203136	0.0197997532246771
k119ub	-0.777942157544617	0.459350309932757	0.434979159492578	0.485086934926869	3.85587448031312e-172	DNMT3A recruitment	-0.929447455227073	0.0332311573409027
atac_count	0.100764538384851	1.10601618674334	1.09380314065032	1.11836559969189	9.0327769351289e-71	DNMT3A recruitment	0.442232299350924	0.0248637189970461
cpg_density	10.130344003422	25092.9950230503	0.157983016344188	3985608160.91159	0.0973251332968683	DNMT3A recruitment	0.033429569328367	0.0201630489721883
(Intercept)	-2.41962208832732	0.0889552283271477	0.0796847429350012	0.0993042376153442	0	TET impediment	0.155687716460277	0.0213461219430129
baseline_hmc	18.5678634975784	115856567.576186	52575642.4711298	255303475.519222	0	TET impediment	1.33000259498478	0.0288751682384318
atac_count	-0.045330212054557	0.955681852055719	0.945579064929221	0.965892579714648	6.27592077839167e-17	TET impediment	-0.198943837070815	0.0237973288984289
(Intercept)	0.854701316547298	2.35067216883105	2.19829703252331	2.51360920001528	6.77361978572463e-138	K119ub only	0.0305912961724693	0.0193029890639867
k119ub	-0.628649203738366	0.53331171013649	0.508585425112432	0.559240131794635	1.62208184982428e-148	K119ub only	-0.751079494765186	0.02893843362395
(Intercept)	-2.19076799971564	0.111830829583336	0.0634115443913262	0.197221729345039	3.78053415111858e-14	Stepwise	0.0571661375796733	0.0241462660153814
k119ub	-0.870358999430706	0.418801172874097	0.389662281377987	0.450119066645252	1.05827362492335e-123	Stepwise	-1.03986260329189	0.043960258360206
atac_count	-0.0243598021592185	0.975934503237745	0.962458443176081	0.989599251129074	0.000595378645302735	Stepwise	-0.106909548669399	0.031135278742351
cpg_density	25.0796249778761	77972729279.0933	13318.1209892089	456501823054239552	0.00160794757123753	Stepwise	0.0827613614744119	0.0262362908275851
baseline_mc	0.688847688127975	1.99141947430673	1.25367641273047	3.16329754821726	0.00352866778470321	Stepwise	0.109741585886681	0.0376151346587059
baseline_hmc	17.607844629202	44359818.5127691	15297025.3951143	128638963.959248	1.72471987675479e-230	Stepwise	1.26123713974857	0.038909871493669
log_gene_length	-0.428188550623663	0.651688526935616	0.568566641045821	0.746962458716053	7.72052032271588e-10	Stepwise	-0.239934447609414	0.0390101187323512
log_expression	0.948220036027163	2.58111128296424	2.34609753607466	2.83966687343782	2.08031707920984e-84	Stepwise	0.745654408135294	0.0383029595870608
