state	direction	count	pct
Active_Promoter	ATAC Up	218	2.86089238845144
Active_Promoter	ATAC Down	66	1.76282051282051
Repressed_Promoter	ATAC Up	744	9.76377952755906
Repressed_Promoter	ATAC Down	5	0.133547008547009
Bivalent_Promoter	ATAC Up	83	1.08923884514436
Bivalent_Promoter	ATAC Down	13	0.347222222222222
Polycomb	ATAC Up	969	12.7165354330709
Polycomb	ATAC Down	19	0.507478632478632
Active_Enhancer	ATAC Up	659	8.64829396325459
Active_Enhancer	ATAC Down	1342	35.8440170940171
Poised_Enhancer	ATAC Up	3638	47.742782152231
Poised_Enhancer	ATAC Down	2040	54.4871794871795
Other	ATAC Up	1309	17.1784776902887
Other	ATAC Down	259	6.91773504273504
