loop_type	count	percentage
Other-Other	469	16.1168384879725
Poised_Enhancer-Other	368	12.6460481099656
Polycomb-Other	228	7.83505154639175
Polycomb-Polycomb	174	5.97938144329897
Repressed_Promoter-Polycomb	172	5.9106529209622
Active_Enhancer-Poised_Enhancer	162	5.56701030927835
Repressed_Promoter-Other	150	5.15463917525773
Poised_Enhancer-Poised_Enhancer	149	5.12027491408935
Active_Enhancer-Active_Enhancer	142	4.87972508591065
Polycomb-Poised_Enhancer	126	4.32989690721649
Active_Promoter-Active_Enhancer	124	4.26116838487973
Active_Promoter-Poised_Enhancer	120	4.12371134020619
Active_Promoter-Other	102	3.50515463917526
Active_Promoter-Active_Promoter	86	2.9553264604811
Repressed_Promoter-Poised_Enhancer	76	2.61168384879725
Active_Enhancer-Other	69	2.37113402061856
Repressed_Promoter-Repressed_Promoter	64	2.19931271477663
Active_Promoter-Polycomb	28	0.962199312714777
Active_Promoter-Repressed_Promoter	24	0.824742268041237
Bivalent_Promoter-Poised_Enhancer	23	0.790378006872852
Bivalent_Promoter-Other	16	0.549828178694158
Polycomb-Active_Enhancer	12	0.412371134020619
Bivalent_Promoter-Polycomb	8	0.274914089347079
Repressed_Promoter-Active_Enhancer	7	0.240549828178694
Bivalent_Promoter-Active_Enhancer	5	0.171821305841924
Active_Promoter-Bivalent_Promoter	3	0.103092783505155
Repressed_Promoter-Bivalent_Promoter	3	0.103092783505155
