stripe_id	direction	direction_confidence	significant_FDR05	stripe_logFC	stripe_FDR	anchor_type	symbol	dist_to_tss	gene_pool	log2FoldChange	padj	baseMean	is_deg
stripe_0002	lost	low	FALSE	0.0586022501736157	0.285345505071663	Active_Promoter	Xkr4	0	anchor	0.49966638750241	0.000415753157335444	18021.6553492442	TRUE
stripe_0003	gained	low	FALSE	0.0169680383232977	0.810264348425194	Other	Rgs20	0	anchor	-0.371008345720937	0.0682663974598033	439.269999741088	FALSE
stripe_0005	unchanged	low	FALSE	0.0185511914954502	0.72268413489981	Other	Vcpip1	1618	anchor	0.0593853901355369	0.829836300522905	1251.61666571836	FALSE
stripe_0011	lost	low	FALSE	0.0230541087936708	0.707260657455398	Other	Eya1	0	anchor	-0.0645013588929371	0.838810456574534	480.936535722686	FALSE
stripe_0013	gained	low	FALSE	-0.0282574681861678	0.623078013810347	Active_Promoter	Kcnb2	0	anchor	-0.0343845249672277	0.914120287607627	21528.1110630165	FALSE
stripe_0017	unchanged	low	FALSE	-0.0434971818583111	0.366446660836044	Other	Gdap1	361	anchor	-0.230582398940257	0.27884251878923	1060.32391632396	FALSE
stripe_0023	lost	low	FALSE	-0.0629283652677949	0.21893140719339	Active_Promoter	Rims1	0	anchor	-0.183497044434958	0.615592500077664	30010.4399149833	FALSE
stripe_0027	lost	low	FALSE	0.0316712939479169	0.519629034875482	Other	Sdhaf4	0	anchor	-0.14416301848222	0.770810424322646	45.1613073256147	FALSE
stripe_0030	unchanged	low	FALSE	-0.0174451668779208	0.819739703158047	Active_Promoter	Adgrb3	0	anchor	-0.0686791159610652	0.79035699618095	38360.5809218259	FALSE
stripe_0033	unchanged	low	FALSE	0.00913049830861935	0.893775042091368	Active_Promoter	1700001G17Rik	0	anchor	0.149167704260954	0.908811056886483	7.93557528849723	FALSE
stripe_0040	gained	low	FALSE	0.0645546912924121	0.319406971273192	Other	Mitd1	0	anchor	-0.338001586669899	0.277853759675636	51.7612671950798	FALSE
stripe_0044	unchanged	low	FALSE	-0.0178003578851536	0.738289775182335	Other	Cnot11	0	anchor	-0.00624704357189567	0.983046948784199	401.381403528561	FALSE
stripe_0051	gained	low	FALSE	-0.00612220531449258	0.91221037425204	Other	Ecrg4	0	anchor	-0.0394219537521164	0.95376354941299	45.9162856376117	FALSE
stripe_0054	gained	low	FALSE	-0.0858716324783489	0.114839554226933	Other	9330175M20Rik	0	anchor	-0.578423630854717	8.36469425422126e-05	136.218211453562	TRUE
stripe_0058	unchanged	low	FALSE	-0.0640777859751665	0.258673953041801	Active_Promoter	Nemp2	0	anchor	-0.270209925237021	0.132124665920288	353.46556350147	FALSE
stripe_0059	unchanged	low	FALSE	-0.0162685645448933	0.809695548361809	Active_Promoter	Nemp2	0	anchor	-0.270209925237021	0.132124665920288	353.46556350147	FALSE
stripe_0060	unchanged	low	FALSE	-0.00114601890277951	0.991298559879663	Other	1700019D03Rik	0	anchor	-0.0492349862504548	0.919432161929439	91.8184124369627	FALSE
stripe_0064	lost	low	FALSE	0.00122666255130405	0.985886966378647	Other	Boll	1531	anchor	-0.0224974491557629	0.981571824149275	16.9115174963898	FALSE
stripe_0065	unchanged	low	FALSE	-0.00963171412158396	0.863664462747486	Active_Promoter	Plcl1	0	anchor	-0.977213464795302	7.92374201841755e-11	3800.07221725104	TRUE
stripe_0073	unchanged	low	FALSE	0.0224897999607777	0.664266598321942	Bivalent_Promoter	Nrp2	0	anchor	-1.18029485423371	7.60022654665965e-18	455.060647565276	TRUE
stripe_0075	unchanged	low	FALSE	-0.00984082488433983	0.875320024739012	Other	4933402D24Rik	0	anchor	-0.265174183924302	0.775306802485165	13.4554730838064	FALSE
stripe_0076	gained	low	FALSE	-0.0111669581416295	0.861508544476609	Other	4933402D24Rik	0	anchor	-0.265174183924302	0.775306802485165	13.4554730838064	FALSE
stripe_0081	unchanged	low	FALSE	0.00561581112278262	0.919004041266442	Active_Promoter	Erbb4	0	anchor	0.0631031312938148	0.824240567604872	43467.0954672015	FALSE
stripe_0082	unchanged	low	FALSE	0.0149812192886269	0.809197083687728	Other	Xrcc5	0	anchor	-0.394026249340875	0.0249722917403177	621.584568254671	TRUE
stripe_0090	unchanged	low	FALSE	0.0304726422733984	0.503908807985779	Other	Nhej1	0	anchor	-0.702945874935582	0.00270165288700566	103.920434699496	TRUE
stripe_0091	lost	high	FALSE	-0.134802237828734	0.0977677545897006	Other	Nhej1	0	anchor	-0.702945874935582	0.00270165288700566	103.920434699496	TRUE
stripe_0092	gained	low	FALSE	0.0419943073161318	0.492551577207763	Other	Nhej1	0	anchor	-0.702945874935582	0.00270165288700566	103.920434699496	TRUE
stripe_0097	unchanged	low	FALSE	0.0425303601457435	0.338540604835151	Repressed_Promoter	Epha4	0	anchor	-0.185958358656037	0.355739827914033	612.962446501984	FALSE
stripe_0101	unchanged	high	TRUE	0.127375198957474	0.0366693198873996	Active_Promoter	Wdfy1	0	anchor	-0.189978977604354	0.523578195059441	688.120233426291	FALSE
stripe_0107	gained	low	FALSE	-0.0415656354346039	0.477425200057601	Active_Promoter	Irs1	0	anchor	0.0390534108471099	0.885949696643941	1650.53314507583	FALSE
stripe_0108	unchanged	low	FALSE	-0.000670985237642122	0.993582024187712	Active_Promoter	Sphkap	0	anchor	0.142795916466403	0.676671476980231	11729.0768481467	FALSE
stripe_0111	unchanged	low	FALSE	-0.0165011829535472	0.776209559012119	Active_Promoter	Dner	0	anchor	-0.0647545906712174	0.701208350477876	6414.95370702418	FALSE
stripe_0118	unchanged	low	FALSE	0.0769071433681953	0.138806788704595	Bivalent_Promoter	Arl4c	0	anchor	0.181451870278994	0.582774541580871	216.851553302788	FALSE
stripe_0130	unchanged	low	FALSE	-0.000531111706958578	0.99416901694636	Other	Gpr35	0	anchor	-0.217198990941998	0.726795563761917	20.1350886525095	FALSE
stripe_0139	lost	low	FALSE	-0.0124909053234034	0.886067590539282	Active_Promoter	Phlpp1	0	anchor	-0.0502354152953234	0.837033349347283	5800.45833844047	FALSE
