loop_id	direction	boundary_enriched_in	boundary_distance	concordant
loop_8162	down_in_mutant	Matrix 1	0	TRUE
loop_1329	down_in_mutant	Matrix 2	0	FALSE
loop_467	down_in_mutant	Matrix 1	0	TRUE
loop_1164	down_in_mutant	Matrix 1	9999	TRUE
loop_1638	down_in_mutant	Matrix 2	0	FALSE
loop_7987	down_in_mutant	Matrix 2	14999	FALSE
loop_11180	down_in_mutant	Matrix 2	0	FALSE
loop_12404	down_in_mutant	Matrix 1	49999	TRUE
loop_8103	down_in_mutant	Matrix 1	0	TRUE
loop_7382	down_in_mutant	Matrix 2	0	FALSE
loop_8876	down_in_mutant	Matrix 1	0	TRUE
loop_9643	down_in_mutant	Matrix 2	44999	FALSE
loop_8612	down_in_mutant	Matrix 2	0	FALSE
loop_11397	down_in_mutant	Matrix 2	0	FALSE
loop_14438	down_in_mutant	Matrix 2	0	FALSE
loop_13399	down_in_mutant	Matrix 2	0	FALSE
loop_17068	down_in_mutant	Matrix 2	14999	FALSE
loop_14054	down_in_mutant	Matrix 2	0	FALSE
loop_17398	down_in_mutant	Matrix 2	4999	FALSE
loop_720	down_in_mutant	Matrix 2	24999	FALSE
loop_1282	down_in_mutant	Matrix 1	24999	TRUE
loop_16947	down_in_mutant	Matrix 1	39999	TRUE
loop_1516	down_in_mutant	Matrix 2	0	FALSE
loop_17209	down_in_mutant	Matrix 1	0	TRUE
loop_1807	down_in_mutant	Matrix 2	44999	FALSE
loop_2415	down_in_mutant	Matrix 1	14999	TRUE
loop_9688	down_in_mutant	Matrix 1	14999	TRUE
loop_2783	down_in_mutant	Matrix 1	0	TRUE
loop_18867	down_in_mutant	Matrix 2	0	FALSE
loop_3494	down_in_mutant	Matrix 2	14999	FALSE
loop_5330	down_in_mutant	Matrix 2	0	FALSE
loop_11006	down_in_mutant	Matrix 1	14999	TRUE
loop_6415	down_in_mutant	Matrix 1	4999	TRUE
loop_8148	down_in_mutant	Matrix 1	0	TRUE
loop_8295	down_in_mutant	Matrix 1	0	TRUE
loop_9832	down_in_mutant	Matrix 2	4999	FALSE
loop_9850	down_in_mutant	Matrix 2	34999	FALSE
loop_11492	down_in_mutant	Matrix 2	0	FALSE
loop_11566	down_in_mutant	Matrix 2	0	FALSE
loop_13366	down_in_mutant	Matrix 2	24999	FALSE
loop_14511	down_in_mutant	Matrix 2	0	FALSE
loop_6645	down_in_mutant	Matrix 1	0	TRUE
loop_1759	down_in_mutant	Matrix 2	34999	FALSE
loop_19688	down_in_mutant	Matrix 2	4999	FALSE
loop_3835	down_in_mutant	Matrix 2	44999	FALSE
loop_20160	down_in_mutant	Matrix 2	14999	FALSE
loop_20355	down_in_mutant	Matrix 2	0	FALSE
loop_20370	down_in_mutant	Matrix 1	4999	TRUE
loop_20413	down_in_mutant	Matrix 1	0	TRUE
loop_20845	down_in_mutant	Matrix 1	24999	TRUE
loop_72	down_in_mutant	Matrix 1	0	TRUE
loop_543	down_in_mutant	Matrix 1	14999	TRUE
loop_743	down_in_mutant	Matrix 2	0	FALSE
loop_948	down_in_mutant	Matrix 1	4999	TRUE
loop_1136	down_in_mutant	Matrix 2	0	FALSE
loop_1175	down_in_mutant	Matrix 2	19999	FALSE
loop_1242	down_in_mutant	Matrix 1	14999	TRUE
loop_1359	down_in_mutant	Matrix 2	19999	FALSE
loop_1378	down_in_mutant	Matrix 2	4999	FALSE
loop_1482	down_in_mutant	Matrix 2	24999	FALSE
loop_1662	down_in_mutant	Matrix 2	0	FALSE
loop_1905	down_in_mutant	Matrix 1	44999	TRUE
loop_1932	down_in_mutant	Matrix 2	0	FALSE
loop_2101	down_in_mutant	Matrix 2	0	FALSE
loop_2424	down_in_mutant	Matrix 2	0	FALSE
loop_2627	down_in_mutant	Matrix 1	4999	TRUE
loop_2855	down_in_mutant	Matrix 2	0	FALSE
loop_3364	down_in_mutant	Matrix 2	0	FALSE
loop_3770	down_in_mutant	Matrix 2	0	FALSE
loop_3778	down_in_mutant	Matrix 2	9999	FALSE
loop_3779	down_in_mutant	Matrix 2	0	FALSE
loop_3983	down_in_mutant	Matrix 2	44999	FALSE
loop_4017	down_in_mutant	Matrix 2	0	FALSE
loop_4181	down_in_mutant	Matrix 1	4999	TRUE
loop_7825	down_in_mutant	Matrix 2	0	FALSE
loop_8482	down_in_mutant	Matrix 1	0	TRUE
loop_9163	down_in_mutant	Matrix 2	0	FALSE
loop_9615	down_in_mutant	Matrix 2	49999	FALSE
loop_9659	down_in_mutant	Matrix 2	14999	FALSE
loop_10419	down_in_mutant	Matrix 2	0	FALSE
loop_10436	down_in_mutant	Matrix 2	0	FALSE
loop_10788	down_in_mutant	Matrix 2	0	FALSE
loop_12018	down_in_mutant	Matrix 2	0	FALSE
loop_12085	down_in_mutant	Matrix 2	0	FALSE
loop_13349	down_in_mutant	Matrix 2	0	FALSE
loop_14620	down_in_mutant	Matrix 2	44999	FALSE
loop_15295	down_in_mutant	Matrix 2	19999	FALSE
loop_15649	down_in_mutant	Matrix 2	0	FALSE
loop_16862	down_in_mutant	Matrix 2	0	FALSE
loop_16936	down_in_mutant	Matrix 2	0	FALSE
loop_17041	down_in_mutant	Matrix 2	49999	FALSE
loop_17042	down_in_mutant	Matrix 2	49999	FALSE
loop_17117	down_in_mutant	Matrix 2	0	FALSE
loop_17309	down_in_mutant	Matrix 2	9999	FALSE
loop_17879	down_in_mutant	Matrix 1	4999	TRUE
loop_18097	down_in_mutant	Matrix 2	0	FALSE
loop_18145	down_in_mutant	Matrix 2	19999	FALSE
loop_18438	down_in_mutant	Matrix 2	0	FALSE
loop_18880	down_in_mutant	Matrix 2	0	FALSE
loop_18996	down_in_mutant	Matrix 2	0	FALSE
loop_19157	down_in_mutant	Matrix 2	9999	FALSE
loop_19159	down_in_mutant	Matrix 1	4999	TRUE
loop_19218	down_in_mutant	Matrix 2	0	FALSE
loop_4829	up_in_mutant	Matrix 1	14999	FALSE
loop_21673	up_in_mutant	Matrix 2	4999	TRUE
loop_21843	up_in_mutant	Matrix 2	0	TRUE
loop_5292	up_in_mutant	Matrix 2	0	TRUE
loop_22503	up_in_mutant	Matrix 2	0	TRUE
loop_5357	up_in_mutant	Matrix 1	0	FALSE
loop_5584	up_in_mutant	Matrix 1	24999	FALSE
loop_5626	up_in_mutant	Matrix 1	19999	FALSE
loop_8739	up_in_mutant	Matrix 2	0	TRUE
loop_7393	up_in_mutant	Matrix 1	4999	FALSE
loop_199	up_in_mutant	Matrix 1	24999	FALSE
loop_9513	up_in_mutant	Matrix 1	44999	FALSE
loop_9637	up_in_mutant	Matrix 1	14999	FALSE
loop_8691	up_in_mutant	Matrix 2	0	TRUE
loop_10626	up_in_mutant	Matrix 2	0	TRUE
loop_11537	up_in_mutant	Matrix 2	0	TRUE
loop_12413	up_in_mutant	Matrix 2	0	TRUE
loop_12619	up_in_mutant	Matrix 2	4999	TRUE
loop_12524	up_in_mutant	Matrix 1	44999	FALSE
loop_10836	up_in_mutant	Matrix 2	0	TRUE
loop_11021	up_in_mutant	Matrix 1	9999	FALSE
loop_13849	up_in_mutant	Matrix 2	44999	TRUE
loop_11241	up_in_mutant	Matrix 1	0	FALSE
loop_13944	up_in_mutant	Matrix 2	0	TRUE
loop_15878	up_in_mutant	Matrix 2	34999	TRUE
loop_16301	up_in_mutant	Matrix 2	0	TRUE
loop_17130	up_in_mutant	Matrix 2	4999	TRUE
loop_17247	up_in_mutant	Matrix 2	14999	TRUE
loop_3979	up_in_mutant	Matrix 2	0	TRUE
loop_17831	up_in_mutant	Matrix 2	4999	TRUE
loop_9720	up_in_mutant	Matrix 2	44999	TRUE
loop_14400	up_in_mutant	Matrix 2	4999	TRUE
loop_18743	up_in_mutant	Matrix 2	14999	TRUE
loop_20673	up_in_mutant	Matrix 2	14999	TRUE
loop_2797	up_in_mutant	Matrix 1	0	FALSE
loop_11038	up_in_mutant	Matrix 2	0	TRUE
loop_16582	up_in_mutant	Matrix 2	14999	TRUE
loop_21726	up_in_mutant	Matrix 2	0	TRUE
loop_9092	up_in_mutant	Matrix 2	4999	TRUE
loop_17223	up_in_mutant	Matrix 1	0	FALSE
loop_21951	up_in_mutant	Matrix 1	14999	FALSE
loop_17560	up_in_mutant	Matrix 2	49999	TRUE
loop_17626	up_in_mutant	Matrix 2	44999	TRUE
loop_19970	up_in_mutant	Matrix 2	4999	TRUE
loop_22178	up_in_mutant	Matrix 2	44999	TRUE
loop_22297	up_in_mutant	Matrix 2	4999	TRUE
loop_17920	up_in_mutant	Matrix 1	0	FALSE
loop_17960	up_in_mutant	Matrix 2	9999	TRUE
loop_553	up_in_mutant	Matrix 2	4999	TRUE
loop_2650	up_in_mutant	Matrix 2	0	TRUE
loop_4358	up_in_mutant	Matrix 2	4999	TRUE
loop_4509	up_in_mutant	Matrix 2	0	TRUE
loop_19130	up_in_mutant	Matrix 1	4999	FALSE
loop_4728	up_in_mutant	Matrix 2	0	TRUE
loop_4770	up_in_mutant	Matrix 2	44999	TRUE
loop_5288	up_in_mutant	Matrix 2	0	TRUE
loop_5377	up_in_mutant	Matrix 2	0	TRUE
loop_6029	up_in_mutant	Matrix 2	0	TRUE
loop_6248	up_in_mutant	Matrix 1	0	FALSE
loop_6349	up_in_mutant	Matrix 1	0	FALSE
loop_6989	up_in_mutant	Matrix 2	4999	TRUE
loop_19268	up_in_mutant	Matrix 1	29999	FALSE
loop_8715	up_in_mutant	Matrix 2	0	TRUE
loop_9786	up_in_mutant	Matrix 1	14999	FALSE
