loop_id	min_distance
loop_10034	15369999
loop_10035	31869999
loop_10047	31769999
loop_10049	32294999
loop_10060	33099999
loop_10074	31894999
loop_10091	35914999
loop_10093	32719999
loop_10119	32309999
loop_10149	32309999
loop_10153	1829999
loop_10203	519999
loop_10215	31899999
loop_10216	33409999
loop_10225	17619999
loop_10234	17499999
loop_10236	24919999
loop_1024	96239999
loop_10247	549999
loop_10275	489999
loop_10314	10989999
loop_10324	32309999
loop_10326	8729999
loop_10332	1604999
loop_10390	1189999
loop_10419	11274999
loop_10431	19904999
loop_10436	4649999
loop_10446	25334999
loop_10451	349999
loop_10452	13824999
loop_10464	24754999
loop_10466	43464999
loop_10468	15494999
loop_10488	2484999
loop_10490	9999999
loop_10518	1274999
loop_10531	714999
loop_1054	35459999
loop_10556	25649999
loop_10686	14624999
loop_10744	19924999
loop_10748	9929999
loop_10753	4534999
loop_10754	1049999
loop_10788	6784999
loop_10797	9929999
loop_10845	1059999
loop_10860	5359999
loop_10883	5189999
loop_10904	7459999
loop_1095	5274999
loop_10955	6159999
loop_1102	11109999
loop_11028	14969999
loop_11032	7909999
loop_11064	6529999
loop_11067	24809999
loop_11081	7459999
loop_11085	20859999
loop_11086	2634999
loop_1109	20049999
loop_11153	13809999
loop_11158	26314999
loop_11180	10159999
loop_11192	13839999
loop_11193	9014999
loop_11207	9934999
loop_11246	104999
loop_11252	5419999
loop_1133	2024999
loop_11350	18424999
loop_11355	6429999
loop_1136	24459999
loop_11387	7464999
loop_11397	29409999
loop_11403	20739999
loop_11404	7169999
loop_11409	20729999
loop_11413	18224999
loop_11417	16259999
loop_11426	20189999
loop_11492	5884999
loop_11496	7089999
loop_11499	2014999
loop_11501	3949999
loop_11521	9939999
loop_1153	4929999
loop_11566	29409999
loop_11571	1949999
loop_11586	12809999
loop_11592	119999
loop_11615	5169999
loop_11617	1104999
loop_11631	5599999
loop_1164	20309999
loop_11640	474999
loop_1168	12714999
loop_11719	33634999
loop_11732	27629999
loop_11740	19024999
loop_11741	12469999
loop_1175	1404999
loop_11767	19434999
loop_11809	33634999
loop_11821	9244999
loop_11874	12694999
loop_11920	31379999
loop_11931	15884999
loop_11994	29284999
loop_12014	5874999
loop_12018	23394999
loop_12019	6264999
loop_12020	33484999
loop_12026	7174999
loop_12039	10984999
loop_12042	12669999
loop_12043	29259999
loop_12048	30734999
loop_12052	29809999
loop_12053	29284999
loop_12066	28859999
loop_12073	17759999
loop_12079	28859999
loop_12082	12694999
loop_12085	7834999
loop_12088	10519999
loop_12147	4049999
loop_1219	514999
loop_12190	20099999
loop_1226	12884999
loop_12261	56084999
loop_12283	11194999
loop_1231	15499999
loop_12402	6849999
loop_12403	51374999
loop_12404	1004999
loop_1242	32569999
loop_12577	76684999
loop_12591	32969999
loop_1262	1044999
loop_12621	9239999
loop_12623	10364999
loop_12645	2564999
loop_12653	2439999
loop_12696	12699999
loop_12708	364999
loop_12736	20724999
loop_12755	2494999
loop_12758	734999
loop_128	699999
loop_1282	39969999
loop_12820	34309999
loop_12837	2494999
loop_12848	33649999
loop_12849	7559999
loop_12853	14304999
loop_1289	38939999
loop_1292	329999
loop_12973	26529999
loop_13027	6179999
loop_13030	11064999
loop_13039	24899999
loop_1309	55034999
loop_13117	24899999
loop_1312	58009999
loop_13135	26304999
loop_13138	6429999
loop_13189	2119999
loop_13198	26529999
loop_1320	684999
loop_13203	1119999
loop_13219	8124999
loop_13236	6229999
loop_13237	10699999
loop_13250	21394999
loop_1327	4094999
loop_13282	6699999
loop_1329	2884999
loop_13293	24029999
loop_13298	5419999
loop_13305	11629999
loop_13349	9779999
loop_13358	10369999
loop_13363	7149999
loop_13365	10739999
loop_13399	8554999
loop_1342	12484999
loop_13438	23269999
loop_13443	10829999
loop_13452	23289999
loop_1350	739999
loop_1354	689999
loop_13540	9534999
loop_13577	23289999
loop_13602	10389999
loop_13608	4814999
loop_13610	12989999
loop_13612	8864999
loop_13638	1199999
loop_1370	39999
loop_13741	2764999
loop_13790	9289999
loop_13840	10454999
loop_13884	25784999
loop_139	2014999
loop_13920	13764999
loop_13952	14594999
loop_13962	10179999
loop_14007	9909999
loop_14017	6424999
loop_14054	19169999
loop_14065	2764999
loop_1407	75899999
loop_14076	12139999
loop_14136	37239999
loop_14177	2539999
loop_14320	6424999
loop_14324	3959999
loop_14372	134999
loop_14376	2139999
loop_14389	25994999
loop_14396	6434999
loop_14413	8304999
loop_14416	9484999
loop_14423	8864999
loop_14425	20739999
loop_14435	5739999
loop_14438	11174999
loop_14475	15544999
loop_14487	20364999
loop_14493	8814999
loop_14494	464999
loop_14502	24034999
loop_14522	2764999
loop_14534	68114999
loop_14598	73864999
loop_14618	19739999
loop_14620	54014999
loop_14623	73864999
loop_147	32644999
loop_1484	1774999
loop_14926	1774999
loop_14973	13954999
loop_14974	32664999
loop_14988	10559999
loop_15027	14234999
loop_15032	444999
loop_15040	13954999
loop_15077	594999
loop_15101	4259999
loop_1516	4679999
loop_15165	65929999
loop_15220	65929999
loop_15224	25544999
loop_15234	13774999
loop_1524	12584999
loop_15258	6249999
loop_15285	33729999
loop_15295	26434999
loop_15305	5649999
loop_15320	17979999
loop_1533	8189999
loop_15330	48059999
loop_15341	3454999
loop_1539	14709999
loop_1541	5049999
loop_15412	4804999
loop_15419	96169999
loop_15459	24994999
loop_15469	5104999
loop_15505	3454999
loop_15506	1189999
loop_15525	24459999
loop_15538	3454999
loop_15541	3454999
loop_15577	18634999
loop_15599	20309999
loop_15620	15109999
loop_15640	3254999
loop_15649	6564999
loop_15653	18119999
loop_15654	68889999
loop_15657	18119999
loop_15759	20959999
loop_1582	7764999
loop_15858	16659999
loop_15870	20619999
loop_15914	86609999
loop_15919	3864999
loop_15922	24134999
loop_15939	8834999
loop_1594	1219999
loop_15947	20279999
loop_15952	12164999
loop_15959	23624999
loop_15993	19989999
loop_16035	11734999
loop_16050	74229999
loop_16053	78529999
loop_16063	14994999
loop_1609	18424999
loop_1610	7544999
loop_1612	7294999
loop_16121	30409999
loop_16122	6159999
loop_16135	11569999
loop_16137	8344999
loop_16141	35369999
loop_1616	29499999
loop_16171	5204999
loop_1620	7149999
loop_1631	3024999
loop_1638	4244999
loop_1639	1189999
loop_16438	13954999
loop_16455	57434999
loop_16479	58159999
loop_16511	6294999
loop_16584	43834999
loop_16588	9414999
loop_16596	10969999
loop_1662	10199999
loop_16649	449999
loop_1666	879999
loop_1667	33649999
loop_16674	3094999
loop_16678	38934999
loop_1668	99999
loop_16685	4814999
loop_1675	699999
loop_16772	12259999
loop_16827	724999
loop_16862	149999
loop_16866	33044999
loop_1689	12799999
loop_16936	13934999
loop_16947	10329999
loop_16952	9359999
loop_16959	20484999
loop_16986	19349999
loop_1699	14499999
loop_16999	12269999
loop_17008	23429999
loop_17011	3459999
loop_17015	31894999
loop_17033	18694999
loop_17034	31769999
loop_17068	26459999
loop_17078	5624999
loop_17082	1389999
loop_17083	25014999
loop_17087	1189999
loop_17092	1639999
loop_17094	15349999
loop_17098	15374999
loop_17105	1189999
loop_17115	7699999
loop_17117	4674999
loop_17121	7074999
loop_17137	26729999
loop_1715	13954999
loop_17165	3459999
loop_17167	8079999
loop_1718	7904999
loop_17183	3459999
loop_1720	8299999
loop_17209	7534999
loop_17215	3459999
loop_1722	8029999
loop_17220	24769999
loop_17228	26729999
loop_17230	24469999
loop_17251	1174999
loop_17261	194999
loop_17266	24634999
loop_17280	26429999
loop_17284	289999
loop_17298	18649999
loop_1730	43449999
loop_17308	13244999
loop_17309	2519999
loop_17312	20214999
loop_17332	17869999
loop_17347	33659999
loop_17398	15074999
loop_17405	10839999
loop_17440	29284999
loop_17448	30909999
loop_17457	31354999
loop_17484	13124999
loop_175	3224999
loop_17509	24219999
loop_1751	20734999
loop_17529	2874999
loop_17530	7929999
loop_1759	5159999
loop_17642	26529999
loop_17665	10274999
loop_17706	5609999
loop_17792	369999
loop_17830	30389999
loop_17841	9909999
loop_17880	19464999
loop_17935	24139999
loop_17959	10839999
loop_17964	14619999
loop_17997	2874999
loop_18000	7269999
loop_18019	17284999
loop_1802	11364999
loop_18039	19214999
loop_18042	20334999
loop_18053	719999
loop_18056	17274999
loop_1807	54999
loop_18078	594999
loop_18097	2134999
loop_18145	24459999
loop_1816	18224999
loop_18222	7259999
loop_18263	25019999
loop_18294	11444999
loop_18342	57429999
loop_1836	13549999
loop_18378	329999
loop_18396	684999
loop_18423	1824999
loop_18438	26584999
loop_18484	12884999
loop_18542	1749999
loop_18556	58159999
loop_18592	6294999
loop_18594	8369999
loop_18598	12759999
loop_18625	11814999
loop_18633	12269999
loop_18638	33074999
loop_18640	18224999
loop_18651	2769999
loop_18653	49669999
loop_18657	949999
loop_18659	60449999
loop_18660	29524999
loop_18673	1389999
loop_18681	1189999
loop_18727	389999
loop_18733	6494999
loop_18805	68739999
loop_18867	23369999
loop_18873	5464999
loop_18880	29079999
loop_18881	249999
loop_18996	11179999
loop_19002	1004999
loop_19018	969999
loop_1905	15809999
loop_19097	12129999
loop_19157	19464999
loop_19159	19464999
loop_19218	55389999
loop_19245	7609999
loop_19249	7179999
loop_1926	20099999
loop_19309	5599999
loop_1932	24929999
loop_19366	21549999
loop_19371	7174999
loop_19374	18214999
loop_19478	12659999
loop_19480	16514999
loop_19488	16729999
loop_19621	10389999
loop_19633	18424999
loop_19688	5209999
loop_19692	6434999
loop_1972	3474999
loop_19756	9039999
loop_19768	9779999
loop_198	17884999
loop_1986	504999
loop_19910	17894999
loop_19917	20099999
loop_2009	11739999
loop_20160	26429999
loop_2019	10389999
loop_20196	30914999
loop_2022	4019999
loop_20222	9774999
loop_20228	31869999
loop_20245	12799999
loop_20319	7269999
loop_2035	25114999
loop_20351	8299999
loop_20355	19344999
loop_2037	14304999
loop_20413	1194999
loop_2049	6154999
loop_20521	39159999
loop_2060	24674999
loop_20610	31244999
loop_2062	219999
loop_20643	12824999
loop_2074	24479999
loop_20777	1404999
loop_20828	14589999
loop_20834	9924999
loop_2084	6039999
loop_20845	7504999
loop_2086	24539999
loop_20888	5599999
loop_2101	9754999
loop_2105	15469999
loop_2107	1564999
loop_2108	18149999
loop_2112	25779999
loop_2115	5619999
loop_2118	12129999
