task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	8b/a0c47e	3225590	fastp (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-19 23:50:20.420	5m	4m 59s	117.0%	1.6 GB	1.8 GB	11.9 GB	11.8 GB
1	e7/74ce7c	3236056	fastp (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-19 23:55:20.640	4m 8s	4m 7s	117.2%	1.6 GB	1.8 GB	9.7 GB	9.7 GB
3	0b/ea9353	3242451	alignReads (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 00:00:03.403	7m 30s	7m 29s	869.0%	19.3 GB	58.5 GB	19.3 GB	7.9 GB
8	9d/d45a86	3260629	alignReads (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 00:07:33.785	7m 40s	7m 39s	932.0%	19.4 GB	58.5 GB	19.3 GB	7.9 GB
6	08/ffbfa3	3278856	alignReads (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 00:15:14.253	7m 15s	7m 14s	917.6%	19.3 GB	58.5 GB	19.3 GB	7.9 GB
14	32/4105bb	3443302	alignReads (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 00:22:29.749	7m 23s	7m 22s	916.8%	19.2 GB	58.5 GB	19.3 GB	7.9 GB
13	7c/7045e8	3464272	alignReads (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 00:29:52.409	7m 29s	7m 28s	906.1%	19.3 GB	58.5 GB	19.3 GB	7.9 GB
4	68/6a3b94	3482022	alignReads (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 00:37:21.709	7m 35s	7m 34s	925.4%	19.3 GB	58.5 GB	19.3 GB	7.9 GB
12	63/0bfb5d	3499185	alignReads (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 00:44:57.072	7m 33s	7m 32s	925.4%	19.3 GB	58.5 GB	19.3 GB	7.9 GB
10	47/7fc13d	3516648	alignReads (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 00:52:29.972	6m 58s	6m 57s	939.8%	19.1 GB	58.5 GB	18.3 GB	6.9 GB
11	b7/02d581	3533124	alignReads (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 00:59:28.071	7m 22s	7m 21s	933.6%	19.3 GB	58.5 GB	19.3 GB	7.9 GB
7	48/f47a3f	3550542	alignReads (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 01:06:50.445	7m 44s	7m 43s	934.0%	19.3 GB	58.5 GB	19.3 GB	7.9 GB
9	03/1f63a6	3567902	alignReads (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 01:14:34.247	8m 15s	8m 14s	935.2%	19.5 GB	58.8 GB	19.3 GB	7.9 GB
5	d0/ddfc13	3586220	alignReads (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 01:22:49.124	7m 37s	7m 36s	934.2%	19.4 GB	58.5 GB	19.3 GB	7.9 GB
15	76/f026e8	3604276	alignReads (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 01:30:26.229	7m 50s	7m 49s	937.2%	19.4 GB	58.5 GB	19.3 GB	7.9 GB
17	ce/cefab4	3622319	alignReads (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 01:38:16.268	3m 21s	3m 20s	916.3%	18.3 GB	58.4 GB	14.7 GB	3.3 GB
16	82/1c7c1a	3630605	alignReads (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 01:41:37.247	8m 1s	8m	933.9%	19.5 GB	58.9 GB	19.3 GB	7.9 GB
21	87/fe72a4	3648494	combine_nonconverted_counts (2)	COMPLETED	0	2026-02-20 01:49:38.125	189ms	45ms	54.6%	0	0	152.3 KB	4.1 KB
18	35/e17978	3648620	combine_nonconverted_counts (1)	COMPLETED	0	2026-02-20 01:49:38.321	354ms	72ms	24.5%	6.2 MB	37.5 MB	153.4 KB	4.1 KB
19	34/ad48fa	3649215	mergeAndMarkDuplicates (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 01:53:04.914	8m 8s	8m 6s	133.0%	22.7 GB	37.1 GB	6.5 GB	4.3 GB
20	f9/b1fb9e	3659652	mergeAndMarkDuplicates (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 02:01:13.242	6m 32s	6m 29s	133.3%	14.8 GB	37.3 GB	5.3 GB	3.6 GB
24	3c/f06a9f	3667754	picard_metrics (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 02:07:45.211	4m 29s	4m 27s	101.5%	1.5 GB	68.7 GB	4.8 GB	701.2 KB
25	5b/9b21c4	3673672	insert_size_metrics (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 02:12:14.418	2m 18s	2m 16s	144.1%	1.5 GB	137.6 GB	16.1 GB	13.8 GB
23	ad/7bfa99	3679730	gc_bias (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 02:14:32.332	3m 48s	3m 46s	112.6%	1.8 GB	68.8 GB	21.2 GB	13.7 GB
29	69/ad167a	3686632	flagstats (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 02:18:20.335	3.8s	2.8s	879.4%	8.9 MB	966.9 MB	2.2 GB	6.5 KB
30	b6/e89f87	3686958	idx_stats (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 02:18:24.179	1.1s	110ms	74.6%	2.9 MB	12.6 MB	7.3 MB	7.9 KB
22	4c/377585	3687163	fastqc (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 02:18:25.315	3m 34s	3m 33s	140.8%	361.9 MB	3.1 GB	2.2 GB	2.3 MB
27	a9/08b278	3690284	tasmanian (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 02:21:59.826	6m 14s	6m 13s	100.6%	2.9 GB	4.7 GB	4.5 GB	1.7 GB
26	fc/09a22e	3700416	methylDackel_extract (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 02:28:13.997	1m 30s	1m 29s	1078.3%	361.9 MB	1 GB	23.1 GB	19.9 GB
34	f8/664862	3701941	flagstats (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 02:29:43.721	3.1s	2s	878.6%	9.9 MB	968.7 MB	1.8 GB	6.5 KB
38	70/a2c709	3702213	gc_bias (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 02:29:46.811	3m 22s	3m 20s	112.1%	1.6 GB	68.8 GB	18.2 GB	11.2 GB
31	84/a9d386	3708912	tasmanian (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 02:33:08.762	6m 12s	6m 11s	100.7%	2.9 GB	4.7 GB	4.5 GB	1.7 GB
37	2f/aa6afb	3718442	insert_size_metrics (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 02:39:20.750	1m 52s	1m 50s	145.4%	1.5 GB	137.6 GB	13.1 GB	11.2 GB
33	53/aac888	3723785	methylDackel_extract (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 02:41:13.239	1m 18s	1m 17s	1079.1%	342.2 MB	1 GB	20.5 GB	17.5 GB
39	a0/e58cfb	3725333	picard_metrics (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 02:42:31.668	3m 42s	3m 40s	101.8%	1.7 GB	68.7 GB	4.4 GB	700.2 KB
35	ad/8e6159	3730244	fastqc (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 02:46:13.365	2m 57s	2m 56s	139.7%	371.9 MB	3.1 GB	1.8 GB	2.1 MB
32	23/6a69b2	3732976	idx_stats (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 02:49:10.801	1.2s	122ms	68.2%	2.9 MB	12.6 MB	7.1 MB	7.9 KB
28	52/887981	3733180	methylDackel_mbias (250504_A1_Bap1_P60_ctrl1_5mC_S44_L002)	COMPLETED	0	2026-02-20 02:49:12.002	2m 3s	2m 2s	23.5%	491 MB	1.9 GB	980.6 MB	2.8 MB
36	9a/a60eb7	3744979	methylDackel_mbias (250504_B1_Bap1_P60_ctrl2_5mC_S45_L002)	COMPLETED	0	2026-02-20 02:51:14.652	1m 43s	1m 42s	24.2%	477.6 MB	1.9 GB	906.8 MB	2.8 MB
40	7d/6bda9e	3757822	multiqc	COMPLETED	0	2026-02-20 03:00:08.682	4.3s	3.2s	95.8%	111.6 MB	1.9 GB	48.2 MB	21.1 MB
