loop_category	mark	n_total	n_overlap	pct_overlap
long_range_lost	K27me3_down	1558	34	2.18228498074454
long_range_lost	K27me3_up	1558	147	9.43517329910141
long_range_lost	H2AK119ub_down	1558	77	4.94223363286264
long_range_lost	H2AK119ub_up	1558	543	34.8523748395379
short_range_gained	K27me3_down	3115	233	7.47993579454254
short_range_gained	K27me3_up	3115	63	2.02247191011236
short_range_gained	H2AK119ub_down	3115	231	7.41573033707865
short_range_gained	H2AK119ub_up	3115	308	9.8876404494382
unchanged	K27me3_down	28507	260	0.912056687831059
unchanged	K27me3_up	28507	905	3.17465885571965
unchanged	H2AK119ub_down	28507	696	2.44150559511699
unchanged	H2AK119ub_up	28507	5618	19.7074402778265
other_differential	K27me3_down	6164	145	2.35236859182349
other_differential	K27me3_up	6164	387	6.27839065541856
other_differential	H2AK119ub_down	6164	153	2.48215444516548
other_differential	H2AK119ub_up	6164	1802	29.2342634652823
