## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /dev/null --MINIMUM_PCT 0.0 --INCLUDE_DUPLICATES true --INPUT 260516_EMseq_LV_index_D1_Bap1_Math1_adult_mut_3201_S66_L001.good_mapq --OUTPUT 260516_EMseq_LV_index_D1_Bap1_Math1_adult_mut_3201_S66_L001.good_mapq.insert_size_metrics.txt --VALIDATION_STRINGENCY SILENT --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 26 13:54:46 PDT 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
220	178	54	2	151653539	232.490301	79.630578	10796645	FR	23	43	65	87	109	133	159	195	255	323	459			
16104	1310	15695	47	117282463	12962.277778	17777.303283	93	RF	129	255	6315	27873	31391	1051919	11113415	65367907	99190947	148603655	234532719			
0	0	0	0	0	0	0	0	TANDEM	0	0	0	0	0	0	0	0	0	0	0			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count
2	89	0
3	104	0
4	87	0
5	86	0
6	107	0
7	87	0
8	89	0
9	126	0
10	127	0
11	126	0
12	116	0
13	140	0
14	145	0
15	133	0
16	134	0
17	146	0
18	157	0
19	170	0
20	148	0
21	163	0
22	171	0
23	167	0
24	176	0
25	188	0
26	170	0
27	219	0
28	171	0
29	182	0
30	206	0
31	104	0
32	106	0
33	114	0
34	86	0
35	104	0
36	122	0
37	134	0
38	120	0
39	140	0
40	125	0
41	141	0
42	148	0
43	177	0
44	198	0
45	227	0
46	202	0
47	214	1
48	275	0
49	267	0
50	258	0
51	256	1
52	224	0
53	207	0
54	229	0
55	244	0
56	204	0
57	203	0
58	237	0
59	269	0
60	275	0
61	277	0
62	309	0
63	319	0
64	343	0
65	358	0
66	363	0
67	394	0
68	358	0
69	351	0
70	458	0
71	496	0
72	541	0
73	584	0
74	618	0
75	717	0
76	789	0
77	838	0
78	1017	0
79	1004	0
80	1177	0
81	1325	0
82	1437	0
83	1672	0
84	1730	0
85	2006	0
86	2266	0
87	2579	0
88	2835	0
89	3203	0
90	3575	0
91	3817	0
92	4148	0
93	4510	0
94	5098	0
95	5389	0
96	5853	0
97	6337	0
98	6755	0
99	7390	1
100	7952	0
101	8621	0
102	9270	0
103	9774	0
104	10442	0
105	11046	0
106	11658	0
107	12573	0
108	13185	0
109	13953	0
110	14654	0
111	15635	0
112	16425	0
113	17235	0
114	18077	0
115	19164	0
116	20173	0
117	20750	1
118	21592	0
119	22303	0
120	23419	0
121	24340	0
122	25163	0
123	25782	0
124	27200	0
125	28131	0
126	29030	0
127	30218	0
128	31255	0
129	32214	0
130	32937	0
131	33850	0
132	34737	0
133	35801	0
134	36949	0
135	37696	0
136	38453	0
137	39637	0
138	40413	0
139	40917	0
140	41659	0
141	42807	0
142	43546	0
143	44584	0
144	45532	0
145	46334	0
146	47153	0
147	47931	0
148	48527	0
149	49282	0
150	49730	0
151	50182	0
152	51006	0
153	52034	0
154	52423	0
155	53131	0
156	53624	0
157	53776	0
158	53793	0
159	54358	0
