mark	cluster	direction	n_anchors	exterior_mean	interior_mean	ext_int_ratio	asymmetry_index	wilcoxon_pval
H3K27ac_ctrl	clust6_short	short (<800kb)	2504	9.38555	8.94607	1.0491	0.02397	0.18576926800658866
H3K27ac_ctrl	clust6_long	long (>=800kb)	1474	5.19728	5.3142	0.978	-0.01112	0.8149699173280692
H3K27ac_mut	clust6_short	short (<800kb)	2504	5.50129	5.30601	1.0368	0.01807	0.06021160500864523
H3K27ac_mut	clust6_long	long (>=800kb)	1474	3.84293	3.78948	1.0141	0.007	0.7024595374036262
H3K27me3_ctrl	clust6_short	short (<800kb)	2504	0.91589	0.85208	1.0749	0.03609	0.10214170474027685
H3K27me3_ctrl	clust6_long	long (>=800kb)	1474	2.92823	2.94763	0.9934	-0.0033	0.4182507422669369
H3K27me3_mut	clust6_short	short (<800kb)	2504	1.86803	1.75908	1.0619	0.03004	0.5763531421137387
H3K27me3_mut	clust6_long	long (>=800kb)	1474	3.51902	3.54522	0.9926	-0.00371	0.13855447692117845
H2AK119ub_ctrl	clust6_short	short (<800kb)	2504	1.52391	1.49284	1.0208	0.0103	0.2292457721238933
H2AK119ub_ctrl	clust6_long	long (>=800kb)	1474	1.85412	1.91996	0.9657	-0.01745	0.23134022626288564
H2AK119ub_mut	clust6_short	short (<800kb)	2504	2.33884	2.28348	1.0242	0.01198	0.09283590479091515
H2AK119ub_mut	clust6_long	long (>=800kb)	1474	2.03301	2.08504	0.975	-0.01263	0.5840489829778692
H3K27me1_ctrl	clust6_short	short (<800kb)	2504	1.85303	1.85615	0.9983	-0.00084	0.9466000068880825
H3K27me1_ctrl	clust6_long	long (>=800kb)	1474	1.29418	1.36135	0.9507	-0.02529	0.9644826456861303
H3K27me1_mut	clust6_short	short (<800kb)	2504	1.38982	1.35154	1.0283	0.01396	0.17722279859638745
H3K27me1_mut	clust6_long	long (>=800kb)	1474	1.261	1.37699	0.9158	-0.04397	0.7983655958756325
