anchor_type	stripe_direction	n_overlapping_loops	n_total_loops_of_type	observed_fraction	null_mean	null_sd	z_score	fold_enrichment	p_enrichment	p_enrichment_BH	p_depletion	p_depletion_BH
Active_Enhancer	gained	102	517	0.197292069632495	67.3821	13.4612859791338	2.57166366227275	1.51375513674997	0.0094990500949905	0.0128612138786121	0.992100789921008	1
Active_Enhancer	lost	146	517	0.282398452611219	50.6853	12.1156074013758	7.86710041373384	2.88051959838454	9.99900009999e-05	0.00020997900209979	1	1
Active_Enhancer	unchanged	297	517	0.574468085106383	116.9601	16.964388790602	10.6128138315092	2.53932751425486	9.99900009999e-05	0.00020997900209979	1	1
Active_Promoter	gained	96	429	0.223776223776224	52.1953	9.73090062392451	4.50160799014854	1.83924606238493	9.99900009999e-05	0.00020997900209979	1	1
Active_Promoter	lost	84	429	0.195804195804196	38.2984	8.42774347770599	5.42275641408581	2.19330311449042	9.99900009999e-05	0.00020997900209979	1	1
Active_Promoter	unchanged	194	429	0.452214452214452	89.9487	12.1565063391846	8.55930948389399	2.15678492296164	9.99900009999e-05	0.00020997900209979	1	1
Bivalent_Promoter	gained	11	48	0.229166666666667	5.1598	3.2389987760583	1.80308805399032	2.13186557618512	0.0661933806619338	0.0817682937588594	0.959104089591041	1
Bivalent_Promoter	lost	6	48	0.125	3.8109	2.86184559437097	0.764925963967376	1.57443123671574	0.25007499250075	0.276398675921882	0.828417158284172	1
Bivalent_Promoter	unchanged	24	48	0.5	9.1955	4.10757434098232	3.60419526733618	2.60997226904464	0.0018998100189981	0.00284971502849715	0.999000099990001	1
Other	gained	264	1414	0.186704384724187	192.5379	16.9268253175702	4.22182533695918	1.37115861344702	0.0001999800019998	0.0003817800038178	0.999900009999	1
Other	lost	156	1414	0.11032531824611	144.7664	14.9201773518019	0.752913302243242	1.07759811669006	0.232076792320768	0.270756257707563	0.786421357864214	1
Other	unchanged	465	1414	0.328854314002829	335.2369	20.3231612077981	6.38498601045438	1.38707880904519	9.99900009999e-05	0.00020997900209979	1	1
Poised_Enhancer	gained	203	1012	0.200592885375494	120.7492	14.3459708646018	5.7333728596195	1.68117055847989	9.99900009999e-05	0.00020997900209979	1	1
Poised_Enhancer	lost	120	1012	0.118577075098814	89.0698	12.3915165709566	2.49607865372141	1.3472579931694	0.0097990200979902	0.0128612138786121	0.991700829917008	1
Poised_Enhancer	unchanged	383	1012	0.378458498023715	212.2902	17.6537007246336	9.66991582460641	1.8041341522124	9.99900009999e-05	0.00020997900209979	1	1
Polycomb	gained	218	747	0.291834002677376	95.6199	14.8972352049524	8.21495387005208	2.27986015463308	9.99900009999e-05	0.00020997900209979	1	1
Polycomb	lost	59	747	0.0789825970548862	70.3678	12.7979803871627	-0.888249525011205	0.83845167818235	0.821317868213179	0.821317868213179	0.202479752024798	1
Polycomb	unchanged	236	747	0.315930388219545	164.5947	18.3211625834673	3.89742188437512	1.4338250259577	0.0003999600039996	0.000646089237230123	0.999700029997	1
Repressed_Promoter	gained	127	494	0.257085020242915	59.1284	12.1860068651028	5.56963415098384	2.14786802957631	9.99900009999e-05	0.00020997900209979	1	1
Repressed_Promoter	lost	46	494	0.0931174089068826	43.9466	10.8804589461423	0.188723656801999	1.04672488884237	0.414658534146585	0.435391460853915	0.617838216178382	1
Repressed_Promoter	unchanged	163	494	0.32995951417004	105.2795	15.2640649539332	3.78146320617738	1.54825963269202	0.0002999700029997	0.000524947505249475	0.999800019998	1
