test_comparison	test_type	statistic	pvalue	multiple_testing_method	padj
clust1,clust2,clust3,clust4,clust5,clust6	Kruskal-Wallis	2087.390035034203	0.0		
clust1,clust2	Wilcoxon rank-sum	1.4288067848668864	0.15305977493352702	bonferroni	1.0
clust1,clust3	Wilcoxon rank-sum	-21.25334453162499	3.0699923479117757e-100	bonferroni	4.604988521867664e-99
clust1,clust4	Wilcoxon rank-sum	-16.692616261986544	1.4832593406527706e-62	bonferroni	2.224889010979156e-61
clust1,clust5	Wilcoxon rank-sum	-13.815870356704256	2.044678976733374e-43	bonferroni	3.067018465100061e-42
clust1,clust6	Wilcoxon rank-sum	-36.08288988744774	4.20764644627561e-285	bonferroni	6.311469669413415e-284
clust2,clust3	Wilcoxon rank-sum	-22.49090471311959	5.095019187982121e-112	bonferroni	7.642528781973182e-111
clust2,clust4	Wilcoxon rank-sum	-18.041257096242585	9.241750924087192e-73	bonferroni	1.3862626386130788e-71
clust2,clust5	Wilcoxon rank-sum	-14.716568165545958	5.046272281707751e-49	bonferroni	7.569408422561627e-48
clust2,clust6	Wilcoxon rank-sum	-37.06786888910493	9.257116930821362e-301	bonferroni	1.3885675396232043e-299
clust3,clust4	Wilcoxon rank-sum	0.9711207567870046	0.33148814863003384	bonferroni	1.0
clust3,clust5	Wilcoxon rank-sum	-5.193472846500603	2.0640705873611306e-07	bonferroni	3.096105881041696e-06
clust3,clust6	Wilcoxon rank-sum	-23.45698616550641	1.1217918921616578e-121	bonferroni	1.6826878382424866e-120
clust4,clust5	Wilcoxon rank-sum	-6.051751435422051	1.4327943227374926e-09	bonferroni	2.1491914841062388e-08
clust4,clust6	Wilcoxon rank-sum	-22.935359859090042	2.0629595054595984e-116	bonferroni	3.0944392581893978e-115
clust5,clust6	Wilcoxon rank-sum	-9.446133246276851	3.515790187567412e-21	bonferroni	5.2736852813511186e-20
