direction	loop_type	count	direction_label	total	percentage
down_in_mutant	Active_Enhancer-Active_Enhancer	1	Down	92	1.08695652173913
down_in_mutant	Active_Enhancer-Other	2	Down	92	2.17391304347826
down_in_mutant	Other-Other	48	Down	92	52.1739130434783
down_in_mutant	Poised_Enhancer-Other	18	Down	92	19.5652173913043
down_in_mutant	Poised_Enhancer-Poised_Enhancer	10	Down	92	10.8695652173913
down_in_mutant	Promoter-Active_Enhancer	3	Down	92	3.26086956521739
down_in_mutant	Promoter-Other	7	Down	92	7.60869565217391
down_in_mutant	Promoter-Poised_Enhancer	1	Down	92	1.08695652173913
down_in_mutant	Promoter-Promoter	2	Down	92	2.17391304347826
up_in_mutant	Active_Enhancer-Active_Enhancer	1	Up	73	1.36986301369863
up_in_mutant	Active_Enhancer-Other	4	Up	73	5.47945205479452
up_in_mutant	Active_Enhancer-Poised_Enhancer	4	Up	73	5.47945205479452
up_in_mutant	Other-Other	35	Up	73	47.9452054794521
up_in_mutant	Poised_Enhancer-Other	21	Up	73	28.7671232876712
up_in_mutant	Poised_Enhancer-Poised_Enhancer	1	Up	73	1.36986301369863
up_in_mutant	Promoter-Active_Enhancer	3	Up	73	4.10958904109589
up_in_mutant	Promoter-Other	3	Up	73	4.10958904109589
up_in_mutant	Promoter-Poised_Enhancer	1	Up	73	1.36986301369863
