18	9	E	-2674854.8154440667	78
probinit	1	1.5175623548498698E-259
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	2.9818084880449237E-226
probinit	11	0.0
probinit	12	4.499624307446667E-176
probinit	13	1.0
probinit	14	5.411339734784936E-172
probinit	15	0.0
probinit	16	4.652979310230481E-205
probinit	17	1.9981761559072757E-271
probinit	18	4.402139864762095E-193
transitionprobs	1	1	0.7974119702393174
transitionprobs	1	2	0.004838406963869249
transitionprobs	1	3	0.0015712007815191114
transitionprobs	1	4	0.07937082234879081
transitionprobs	1	5	9.716508754487991E-4
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	0.003090833372741185
transitionprobs	1	9	6.352831202348103E-4
transitionprobs	1	10	0.0028802210670510744
transitionprobs	1	11	1.960354516485241E-4
transitionprobs	1	12	0.0015781432624624235
transitionprobs	1	13	0.10554967743554428
transitionprobs	1	14	3.487458336574132E-4
transitionprobs	1	15	9.485711726191001E-5
transitionprobs	1	16	8.490940246385321E-4
transitionprobs	1	17	4.42479436343749E-4
transitionprobs	1	18	1.705786694708186E-4
transitionprobs	2	1	0.004692056243995083
transitionprobs	2	2	0.8779718738123811
transitionprobs	2	3	0.047420893360031226
transitionprobs	2	4	1.1988075370778681E-4
transitionprobs	2	5	6.988770447004089E-5
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	1.7285898792495798E-4
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	2	13	0.029314891382458394
transitionprobs	2	14	2.837821855279645E-5
transitionprobs	2	15	2.661609830346635E-5
transitionprobs	2	16	1.1385154579558919E-4
transitionprobs	2	17	0.04001001277246539
transitionprobs	2	18	5.879911991409806E-5
transitionprobs	3	1	0.0019193850298135908
transitionprobs	3	2	0.09420378881226528
transitionprobs	3	3	0.8711375269639431
transitionprobs	3	4	0.002199610581619642
transitionprobs	3	5	0.0018557024500855412
transitionprobs	3	6	1.828346281175048E-4
transitionprobs	3	7	1.5433930987666307E-4
transitionprobs	3	8	0.0013960459785934036
transitionprobs	3	9	1.1996777615841426E-4
transitionprobs	3	10	1.2582563400851903E-4
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0010741012225188413
transitionprobs	3	13	0.00947210437312355
transitionprobs	3	14	0.0
transitionprobs	3	15	8.284571985729928E-5
transitionprobs	3	16	2.502235929554083E-4
transitionprobs	3	17	0.015643887774280114
transitionprobs	3	18	1.81810152782957E-4
transitionprobs	4	1	0.09885370243105754
transitionprobs	4	2	2.2591839358866698E-4
transitionprobs	4	3	0.0016596190099303926
transitionprobs	4	4	0.8456115181611619
transitionprobs	4	5	0.017277770167896906
transitionprobs	4	6	0.003067378371560401
transitionprobs	4	7	0.0
transitionprobs	4	8	0.002856141710502925
transitionprobs	4	9	0.0015418671771804295
transitionprobs	4	10	4.079615465046683E-5
transitionprobs	4	11	1.3995314190611049E-4
transitionprobs	4	12	0.0061536368643894095
transitionprobs	4	13	0.02051600304492203
transitionprobs	4	14	1.5923511593424246E-4
transitionprobs	4	15	0.0014171871085294518
transitionprobs	4	16	3.8354159066674955E-4
transitionprobs	4	17	5.717517825626614E-5
transitionprobs	4	18	3.85563778659023E-5
transitionprobs	5	1	1.6918086123023915E-4
transitionprobs	5	2	7.502345154342875E-6
transitionprobs	5	3	1.5869767900647728E-4
transitionprobs	5	4	0.002436269675524362
transitionprobs	5	5	0.7608393404968655
transitionprobs	5	6	0.0039021171418322474
transitionprobs	5	7	0.0014059683606252298
transitionprobs	5	8	2.8048690006410944E-4
transitionprobs	5	9	0.0029050322186226648
transitionprobs	5	10	1.5218453682033282E-4
transitionprobs	5	11	1.2725419012521777E-4
transitionprobs	5	12	4.7176173946061173E-4
transitionprobs	5	13	0.19056791909350654
transitionprobs	5	14	4.521729025807945E-4
transitionprobs	5	15	0.03462044680195932
transitionprobs	5	16	0.0012363836845057767
transitionprobs	5	17	1.4147516746048212E-4
transitionprobs	5	18	1.2580620465532148E-4
transitionprobs	6	1	6.636527792628663E-5
transitionprobs	6	2	0.0
transitionprobs	6	3	2.728910737073002E-4
transitionprobs	6	4	0.004731731365401499
transitionprobs	6	5	0.043090134292059594
transitionprobs	6	6	0.8003198870029354
transitionprobs	6	7	0.016431801449479467
transitionprobs	6	8	0.0018447983212515392
transitionprobs	6	9	1.0576572871388115E-4
transitionprobs	6	10	1.433199371495763E-4
transitionprobs	6	11	0.002815890777053216
transitionprobs	6	12	0.10016269801812713
transitionprobs	6	13	0.029067073966857697
transitionprobs	6	14	0.0
transitionprobs	6	15	3.08349239446604E-4
transitionprobs	6	16	4.271486005512072E-4
transitionprobs	6	17	0.0
transitionprobs	6	18	2.1214494933937468E-4
transitionprobs	7	1	0.0
transitionprobs	7	2	0.0
transitionprobs	7	3	1.191415624476218E-4
transitionprobs	7	4	4.321920889814737E-5
transitionprobs	7	5	0.014182397241282277
transitionprobs	7	6	0.014085793028389484
transitionprobs	7	7	0.8234740910029826
transitionprobs	7	8	0.011749890598366404
transitionprobs	7	9	0.015813991350329168
transitionprobs	7	10	0.051280627308194986
transitionprobs	7	11	0.05311722084644454
transitionprobs	7	12	0.0034256175394920454
transitionprobs	7	13	0.012295047919822465
transitionprobs	7	14	0.0
transitionprobs	7	15	1.8305831457390219E-4
transitionprobs	7	16	1.900585423250855E-4
transitionprobs	7	17	3.9845536450933285E-5
transitionprobs	7	18	0.0
transitionprobs	8	1	0.007558500053785878
transitionprobs	8	2	5.131106848146234E-4
transitionprobs	8	3	0.0016306747945700215
transitionprobs	8	4	0.005005759762793442
transitionprobs	8	5	0.0036084555007241
transitionprobs	8	6	0.0018710791864980363
transitionprobs	8	7	0.015237526510285449
transitionprobs	8	8	0.8912907408444544
transitionprobs	8	9	0.011961074056487747
transitionprobs	8	10	0.020400771357215082
transitionprobs	8	11	0.025158304409203563
transitionprobs	8	12	0.0032638915478630914
transitionprobs	8	13	0.012188430598861771
transitionprobs	8	14	3.0203277524543753E-5
transitionprobs	8	15	1.9426874129778543E-4
transitionprobs	8	16	8.720867362043551E-5
transitionprobs	8	17	0.0
transitionprobs	8	18	0.0
transitionprobs	9	1	6.61394741918468E-4
transitionprobs	9	2	0.0
transitionprobs	9	3	4.558587189557814E-5
transitionprobs	9	4	0.0012225170697340321
transitionprobs	9	5	0.017672579850324992
transitionprobs	9	6	7.334508510020969E-5
transitionprobs	9	7	0.010673309899678747
transitionprobs	9	8	0.005321872136087161
transitionprobs	9	9	0.8598345368550454
transitionprobs	9	10	0.08135440363901765
transitionprobs	9	11	2.709446555030714E-4
transitionprobs	9	12	0.0
transitionprobs	9	13	0.021794335834941017
transitionprobs	9	14	1.02572710375049E-4
transitionprobs	9	15	6.706366267935224E-4
transitionprobs	9	16	2.8549567249954366E-4
transitionprobs	9	17	1.6469351085422213E-5
transitionprobs	9	18	0.0
transitionprobs	10	1	0.003866524438650662
transitionprobs	10	2	1.0650004511383454E-5
transitionprobs	10	3	0.0
transitionprobs	10	4	4.316048003844316E-5
transitionprobs	10	5	0.0011643076269970314
transitionprobs	10	6	2.656440506263228E-4
transitionprobs	10	7	0.05022692331470424
transitionprobs	10	8	0.013603720994400699
transitionprobs	10	9	0.11280270328038318
transitionprobs	10	10	0.657991578066389
transitionprobs	10	11	0.01496572918628774
transitionprobs	10	12	0.004639054376488401
transitionprobs	10	13	0.13799594483624342
transitionprobs	10	14	5.331836237433867E-4
transitionprobs	10	15	6.98151007907775E-5
transitionprobs	10	16	0.0014327881208321801
transitionprobs	10	17	2.100523175361737E-4
transitionprobs	10	18	1.7822018137732384E-4
transitionprobs	11	1	1.447824004199882E-4
transitionprobs	11	2	3.904872952929036E-5
transitionprobs	11	3	0.0
transitionprobs	11	4	9.400272655366941E-5
transitionprobs	11	5	8.980928330910821E-4
transitionprobs	11	6	0.0020059801264472247
transitionprobs	11	7	0.05234476765038653
transitionprobs	11	8	0.017967981106973573
transitionprobs	11	9	2.9802667230784325E-4
transitionprobs	11	10	0.015557059994759056
transitionprobs	11	11	0.873243038439226
transitionprobs	11	12	0.014490570072097239
transitionprobs	11	13	0.021933638440254567
transitionprobs	11	14	5.431761784486494E-4
transitionprobs	11	15	4.4706945854836906E-5
transitionprobs	11	16	3.5087747314810325E-4
transitionprobs	11	17	2.2116491298237474E-5
transitionprobs	11	18	2.2133719204079463E-5
transitionprobs	12	1	0.003236125315096151
transitionprobs	12	2	2.1673709103976523E-5
transitionprobs	12	3	0.0010687475326818174
transitionprobs	12	4	0.008242982604727325
transitionprobs	12	5	0.006661804711520549
transitionprobs	12	6	0.10255993473805582
