State (Emission order)	Genome %	CpGIsland.mm10.bed.gz	RefSeqExon.mm10.bed.gz	RefSeqGene.mm10.bed.gz	RefSeqTES.mm10.bed.gz	RefSeqTSS.mm10.bed.gz	RefSeqTSS2kb.mm10.bed.gz
1	0.47845	2.10384	3.19581	1.56001	3.21875	1.96390	2.64601
2	0.56999	6.77546	3.30080	1.48474	3.20290	3.43594	5.32735
3	0.27951	53.34939	6.44767	1.57878	2.02990	23.54503	13.88175
4	0.38941	5.72278	2.70858	1.60489	1.91294	4.81667	3.22449
5	2.89109	0.31132	1.81578	2.14482	1.37908	0.83182	1.68761
6	0.26166	13.18297	4.16591	2.25276	3.51066	16.11142	11.86913
7	0.31830	9.58609	3.85882	2.15805	2.88593	11.12934	10.37225
8	0.22705	17.75925	4.75605	2.02634	3.02580	10.90873	8.82282
9	0.46561	0.92450	2.66775	2.04926	2.37077	1.59278	1.74967
10	0.33358	11.94133	3.81713	2.02226	3.47112	7.10133	6.07871
11	0.33444	83.76852	8.24224	2.00137	2.16965	45.42660	23.42496
12	0.25559	56.66537	6.27685	1.95783	2.67286	37.26987	17.72816
13	91.00078	0.07768	0.80269	0.92128	0.89140	0.38402	0.61142
14	0.17092	37.11643	4.06710	1.27681	1.80656	34.67025	7.10458
15	0.27791	5.98496	2.43824	1.62316	1.69433	8.51078	2.04855
16	0.24082	0.44083	1.46896	1.31044	1.87518	1.12120	1.39498
17	1.26518	3.04765	2.00717	1.21907	1.71448	3.24105	3.00806
18	0.23970	2.53429	3.74305	1.00295	2.59238	2.37299	2.08416
Base	100	0.3847315121	2.4170208071	36.7540083919	0.0009506078	0.0010191452	3.5291167254
