State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1	0.7974119702393174	0.004838406963869249	0.0015712007815191114	0.07937082234879081	9.716508754487991E-4	0.0	0.0	0.003090833372741185	6.352831202348103E-4	0.0028802210670510744	1.960354516485241E-4	0.0015781432624624235	0.10554967743554428	3.487458336574132E-4	9.485711726191001E-5	8.490940246385321E-4	4.42479436343749E-4	1.705786694708186E-4
2	0.004692056243995083	0.8779718738123811	0.047420893360031226	1.1988075370778681E-4	6.988770447004089E-5	0.0	0.0	1.7285898792495798E-4	0.0	0.0	0.0	0.0	0.029314891382458394	2.837821855279645E-5	2.661609830346635E-5	1.1385154579558919E-4	0.04001001277246539	5.879911991409806E-5
3	0.0019193850298135908	0.09420378881226528	0.8711375269639431	0.002199610581619642	0.0018557024500855412	1.828346281175048E-4	1.5433930987666307E-4	0.0013960459785934036	1.1996777615841426E-4	1.2582563400851903E-4	0.0	0.0010741012225188413	0.00947210437312355	0.0	8.284571985729928E-5	2.502235929554083E-4	0.015643887774280114	1.81810152782957E-4
4	0.09885370243105754	2.2591839358866698E-4	0.0016596190099303926	0.8456115181611619	0.017277770167896906	0.003067378371560401	0.0	0.002856141710502925	0.0015418671771804295	4.079615465046683E-5	1.3995314190611049E-4	0.0061536368643894095	0.02051600304492203	1.5923511593424246E-4	0.0014171871085294518	3.8354159066674955E-4	5.717517825626614E-5	3.85563778659023E-5
5	1.6918086123023915E-4	7.502345154342875E-6	1.5869767900647728E-4	0.002436269675524362	0.7608393404968655	0.0039021171418322474	0.0014059683606252298	2.8048690006410944E-4	0.0029050322186226648	1.5218453682033282E-4	1.2725419012521777E-4	4.7176173946061173E-4	0.19056791909350654	4.521729025807945E-4	0.03462044680195932	0.0012363836845057767	1.4147516746048212E-4	1.2580620465532148E-4
6	6.636527792628663E-5	0.0	2.728910737073002E-4	0.004731731365401499	0.043090134292059594	0.8003198870029354	0.016431801449479467	0.0018447983212515392	1.0576572871388115E-4	1.433199371495763E-4	0.002815890777053216	0.10016269801812713	0.029067073966857697	0.0	3.08349239446604E-4	4.271486005512072E-4	0.0	2.1214494933937468E-4
7	0.0	0.0	1.191415624476218E-4	4.321920889814737E-5	0.014182397241282277	0.014085793028389484	0.8234740910029826	0.011749890598366404	0.015813991350329168	0.051280627308194986	0.05311722084644454	0.0034256175394920454	0.012295047919822465	0.0	1.8305831457390219E-4	1.900585423250855E-4	3.9845536450933285E-5	0.0
8	0.007558500053785878	5.131106848146234E-4	0.0016306747945700215	0.005005759762793442	0.0036084555007241	0.0018710791864980363	0.015237526510285449	0.8912907408444544	0.011961074056487747	0.020400771357215082	0.025158304409203563	0.0032638915478630914	0.012188430598861771	3.0203277524543753E-5	1.9426874129778543E-4	8.720867362043551E-5	0.0	0.0
9	6.61394741918468E-4	0.0	4.558587189557814E-5	0.0012225170697340321	0.017672579850324992	7.334508510020969E-5	0.010673309899678747	0.005321872136087161	0.8598345368550454	0.08135440363901765	2.709446555030714E-4	0.0	0.021794335834941017	1.02572710375049E-4	6.706366267935224E-4	2.8549567249954366E-4	1.6469351085422213E-5	0.0
10	0.003866524438650662	1.0650004511383454E-5	0.0	4.316048003844316E-5	0.0011643076269970314	2.656440506263228E-4	0.05022692331470424	0.013603720994400699	0.11280270328038318	0.657991578066389	0.01496572918628774	0.004639054376488401	0.13799594483624342	5.331836237433867E-4	6.98151007907775E-5	0.0014327881208321801	2.100523175361737E-4	1.7822018137732384E-4
11	1.447824004199882E-4	3.904872952929036E-5	0.0	9.400272655366941E-5	8.980928330910821E-4	0.0020059801264472247	0.05234476765038653	0.017967981106973573	2.9802667230784325E-4	0.015557059994759056	0.873243038439226	0.014490570072097239	0.021933638440254567	5.431761784486494E-4	4.4706945854836906E-5	3.5087747314810325E-4	2.2116491298237474E-5	2.2133719204079463E-5
12	0.003236125315096151	2.1673709103976523E-5	0.0010687475326818174	0.008242982604727325	0.006661804711520549	0.10255993473805582	0.0036523192812454937	0.0021695080129842813	0.0	0.006104494257964859	0.018918610081437477	0.7261444973406932	0.11693397939297569	0.003011608125312535	1.555628871006468E-4	0.0010202379127171152	0.0	9.791409638299571E-5
13	5.441248851155596E-4	1.817530060907546E-4	3.107280284444127E-5	9.282459810499445E-5	0.0060403286705798	8.296994149550443E-5	4.192157210979423E-5	3.387925761340266E-5	1.0745521422382701E-4	5.130521871561319E-4	8.415965202438397E-5	3.364302848339038E-4	0.9882939968285583	8.341917785710846E-4	3.24208094183015E-4	0.001196079422177433	9.054706522355484E-4	3.5608115208228726E-4
14	0.0015185272216654416	1.2667223917094312E-4	0.0	1.0712939620424877E-4	0.006532695262021748	1.2448105603874826E-4	4.18561841196002E-5	3.611521635283344E-5	8.046334279470544E-5	0.001678044130688319	0.0012717260762378497	0.004055245069208945	0.43742475171249917	0.4971420521028598	0.045207809858073496	0.0042047110502244495	3.430314673879001E-4	1.0468861445170216E-4
15	1.6413074339945616E-4	0.0	2.173185341370404E-4	0.002212174397362741	0.35592891063073684	3.3711588082105306E-4	2.0498541727668622E-4	3.272618952503611E-5	9.37968093689654E-4	8.252547832570236E-5	0.0	2.69949624900516E-4	0.10470905633780363	0.026380770173408796	0.5035514243780482	0.004814368919319968	1.5392130528979028E-4	2.6538959548421016E-6
16	0.0016152412963052164	2.5660486403261473E-4	2.02790696987953E-4	3.6116987768082694E-4	0.013962027578393136	3.490095284579477E-4	2.1987491763166903E-4	2.4861171902137747E-4	4.3857860895544614E-4	0.002136249194352244	6.79591265364597E-4	0.0014949209335655413	0.4518038338979052	0.002960366068326461	0.00576592096799436	0.5155861538516616	0.0016783725380407311	2.4068219532331287E-4
17	2.284257998154576E-4	0.01779112129345592	0.003651304681835264	2.8551498715475626E-5	2.746608514592998E-4	0.0	0.0	1.7683862484860952E-5	5.220207071905252E-6	2.673826333516626E-5	0.0	1.2326815968596729E-5	0.06500450867730621	6.876787026911166E-5	1.194817296313121E-5	2.3681919361976414E-4	0.9125117371169911	1.3018569470864985E-4
18	4.1729005885950203E-4	1.684977633360672E-4	1.6803399898122475E-4	0.0	0.0014377509960869588	1.1781411760533199E-4	4.932523555818128E-5	0.0	4.2147713753480386E-5	2.9681816219314386E-4	0.0	9.602551420853631E-5	0.1342468349844443	1.6600560175314847E-4	5.091864540096648E-5	1.1851178386555557E-4	5.013759926829847E-4	0.8621226494312706
