State (Emission order)	CTCF	ATAC	H3K4me1	H3K9ac	H3K4me3	H3K27ac	H2AK119ub	H3K27me3	H3K9me3
1	0.01847564672449568	0.02058458581360996	2.713371149817294E-46	0.0700450147958702	0.0018492189213379362	5.9632822360358956E-24	0.9945714257849201	5.242312579398192E-67	0.001000268652401698
2	0.011823851100734604	0.008719470663273275	1.0441936036583528E-50	3.948916133033655E-37	2.988615991892858E-74	0.0012386039474221121	0.9986756499859367	0.9997418972072681	0.002612558165047149
3	0.044773717468014854	0.15563094424982413	0.852276498618524	0.3692982517179919	0.07949110833497372	0.008323826102498346	0.9487721694392126	0.9996954954815656	0.008597046436287852
4	0.03999027181444901	0.24094472293122748	1.0	0.256595049554337	0.030743238793221973	4.372158082488199E-106	0.9989296390791391	1.4003075603442162E-118	0.0010410013342061785
5	0.0050049698288500396	3.9868281964556216E-27	1.0	5.29608451773551E-116	4.1811298533388957E-35	9.39175270671898E-131	8.23061391751148E-112	8.845354414293951E-163	1.1365452210941044E-121
6	0.03552157451398859	0.15150825049643368	1.0	0.917793439098801	0.2579007290409584	1.6440530861285548E-107	2.9279618744872354E-4	2.5839320383533798E-5	0.002466641754589858
7	0.033531149800217874	0.20714598828224037	0.9999999999817243	0.9513321066592957	0.4101995388405011	1.0	2.788101871058411E-49	0.004301529594085002	0.0015407912399408093
8	0.0406807714079926	0.2815862574119673	0.8393704298188699	0.9801400226855956	0.3570863385285486	0.999334620150062	0.9998923714286907	0.06245861929684059	0.002114505535027838
9	0.025358464515138755	0.25446476876026525	1.0	2.922144310998055E-69	1.177165194543248E-32	0.9990058423927939	0.1777433379835054	0.0011695840073188272	0.0031513847806828653
10	0.020629421118629216	0.08547002303944706	5.345396989999948E-36	0.24072434926871072	8.563472919848664E-4	0.9828901191930792	0.08511312319754241	0.002960179687054155	0.004431745832492647
11	0.04467878235819222	0.3963956666085218	7.547329626572883E-16	0.9213320817906908	0.9999999999999996	0.9999619747704921	0.24219631998404764	0.005378680576247228	0.002007696045619981
12	0.0325837031433523	0.2459021044604423	3.4244594150832006E-10	0.8742369537519346	0.3840122826350526	1.2453463415734908E-38	0.04805914373703513	4.298696499982566E-4	6.714265417166737E-4
13	6.332431291072313E-76	1.0274606390803862E-34	3.1062405986527995E-98	2.2056798212768905E-154	3.935943128879192E-152	1.658055923891946E-205	5.0040744615575105E-155	7.611035307410736E-164	7.904754914718672E-205
14	0.3184954415438917	0.9786474299644367	2.032125429509473E-34	3.6105346793934406E-100	6.0602741761363824E-90	1.5351915842813337E-90	1.896425161716182E-61	5.7477592799455945E-92	9.67904759912981E-70
15	0.15194452856316537	0.9855820747611885	1.0	1.9611991165468816E-187	1.9931912131670318E-196	3.15212168351394E-168	1.3091963872834138E-19	2.0092362872235593E-78	4.23360591495037E-114
16	0.9941175689462124	0.03702817866711541	0.023932657775972713	5.627519440254856E-46	3.8424028998066874E-88	7.62048515939881E-70	1.6042464102068429E-77	4.058663304530891E-56	7.681623978394175E-93
17	0.007009464064441276	0.009373659012931058	0.04558356009588212	2.272607085991247E-6	2.7806533499514187E-53	6.408277788487226E-28	4.554321204438217E-98	0.994043231386135	2.6523659293531365E-65
18	0.002047041437787832	0.028724618002526386	0.02381606113204281	0.001668939893343722	1.9785085476596555E-49	6.179345217191592E-57	0.007996082148599029	0.01731674872105045	0.9700497057448058
