State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.85932	3.03239	2.95714	3.03991	2.85932	2.73893	2.79913	2.54329	2.24231	1.93381	1.96390	2.09182	2.31003	2.53577	2.66369	2.88190	2.95714	3.01734	3.04744	3.07001	3.07753
2	4.59178	4.88232	5.27392	5.43814	5.64657	5.62130	5.47603	5.05286	4.56020	3.78964	3.43594	3.54963	3.82754	4.18756	4.83811	5.74131	6.41713	7.04242	7.18137	7.06137	6.94768
3	3.07837	3.81254	4.52095	5.70593	7.40612	9.66016	12.49380	15.77826	19.16575	22.15396	23.54503	23.75111	23.17150	22.03804	20.14465	17.65877	14.95392	12.18468	9.91776	8.26910	6.77499
4	1.23884	1.32204	1.46996	1.59939	1.97844	2.28353	2.81050	3.48538	4.24348	4.79818	4.81667	4.55781	4.44687	4.54857	4.45612	4.14178	3.92915	3.50388	3.16181	2.92144	2.60710
5	1.49304	1.46565	1.44074	1.35358	1.24524	1.14687	1.03106	0.99121	1.02483	0.85548	0.83182	0.97004	1.09208	1.21162	1.64372	2.13061	2.78062	3.38954	3.77557	4.08439	4.24378
6	3.68733	4.48533	5.43468	6.39779	6.98941	7.04445	7.23707	8.50287	11.84623	16.15270	16.11142	12.85061	12.27275	14.29527	18.71181	22.09645	22.89445	21.46355	19.24840	17.32219	14.83186
7	3.99254	4.79557	6.05101	7.23860	8.83335	9.89652	11.15196	11.93237	12.89375	13.06341	11.12934	7.80411	8.00770	9.94176	14.23968	17.11250	17.44049	16.50174	14.60161	12.57706	10.71086
8	3.32970	3.74195	4.48716	5.59706	6.67525	8.24497	9.59270	10.98800	11.86007	11.97106	10.90873	9.43414	9.56099	9.62441	10.29035	10.89287	11.13071	10.82945	10.73431	9.87810	9.14874
9	1.57732	1.74742	1.84020	2.00257	2.14175	2.12628	1.81701	1.68556	1.62371	1.67783	1.59278	1.39175	1.29897	1.37629	1.61598	1.80927	1.90979	1.95618	2.04896	1.93299	1.77061
10	3.89602	4.60831	5.60120	6.93945	8.22373	8.94682	8.97919	8.40720	7.63016	7.66253	7.10133	7.58699	7.63016	6.83153	5.42853	4.81337	4.27375	3.80968	3.43195	3.22690	3.08660
11	4.25202	5.11318	6.50182	8.54709	11.69035	17.29871	24.92004	31.96009	37.51462	40.73323	45.42660	49.95849	49.53867	46.63223	39.77518	31.97085	24.82316	19.69921	15.28573	12.29317	10.17254
12	3.46500	4.52140	5.45103	7.19762	10.24006	15.35304	21.09987	28.12847	34.70633	36.19938	37.26987	41.62224	41.15743	36.18529	26.80444	18.59268	12.85994	8.93012	7.11311	5.91585	4.94396
13	0.86971	0.84815	0.82101	0.78612	0.74533	0.69129	0.62918	0.55951	0.47683	0.40455	0.38402	0.40202	0.43608	0.46263	0.48296	0.50444	0.52976	0.55762	0.58911	0.61672	0.64647
14	1.97995	2.08527	1.81145	1.81145	2.10633	2.69611	3.62289	6.71920	15.01816	30.18376	34.67025	26.30811	11.66909	4.33905	2.23271	1.20061	0.82147	0.82147	0.86360	0.96891	0.92679
15	0.72542	0.90678	1.07518	1.08814	1.19177	1.24358	1.34722	1.48971	2.97942	7.48742	8.51078	5.01320	2.35763	1.33426	0.76429	0.85496	0.72542	0.69952	0.72542	0.77724	0.89383
16	2.00321	1.73412	1.98826	2.06301	1.95836	1.94341	1.86867	1.88362	1.65938	1.34544	1.12120	0.43353	0.61292	0.98666	1.06140	1.04645	1.12120	1.06140	1.03150	1.10625	1.10625
17	2.04877	2.14837	2.25934	2.52967	2.61503	2.80853	2.96503	3.14999	3.23535	3.27519	3.24105	3.18698	3.18129	3.17275	3.13292	3.05324	3.03332	2.93942	2.91381	2.89389	2.81137
18	1.09638	1.06634	1.08136	1.14144	1.05132	1.23155	1.38174	1.53193	1.92242	2.26785	2.37299	2.64333	2.80853	2.70340	2.52317	2.43306	2.28287	2.25283	2.02755	1.83231	1.84732
