State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.02467	3.13760	3.16986	3.13760	2.95208	2.94402	2.95208	2.95208	3.16986	3.30698	3.21825	2.98435	2.74237	2.46813	2.29875	2.20196	2.15357	2.08098	2.18583	2.14550	2.11324
2	3.26334	3.31750	3.14147	3.24302	3.20917	3.18886	3.14824	3.06022	3.06022	3.05345	3.20240	2.95867	2.83003	2.76233	2.64046	2.52536	2.58630	2.51859	2.42381	2.44412	2.35610
3	3.57594	3.47929	3.64497	3.67259	3.53452	3.53452	3.42407	3.18935	2.84418	2.47140	2.02959	1.79487	1.76726	1.69823	1.78107	1.67061	1.51874	1.58777	1.60158	1.51874	1.53255
4	2.31896	2.40815	2.54689	2.71536	2.89374	2.97302	2.90365	2.69554	2.33878	2.06130	1.91264	1.86309	1.71444	1.74417	1.81354	1.83336	1.92256	1.91264	1.81354	1.85318	1.82345
5	1.52302	1.55372	1.54038	1.53237	1.58309	1.62313	1.60178	1.70189	1.63248	1.52302	1.37886	1.34416	1.32280	1.26807	1.24004	1.24939	1.29077	1.30945	1.29343	1.33748	1.31613
6	3.25939	3.18565	3.45112	3.34788	3.53961	3.58386	3.36263	3.40688	3.49537	3.45112	3.51012	3.05292	2.68421	2.53672	2.53672	2.74320	2.87594	2.93493	2.94968	2.92018	3.18565
7	3.22496	3.40681	3.34619	3.35832	3.37044	3.30982	3.35832	3.40681	3.39469	3.17646	2.88549	2.82487	2.57027	2.42478	2.38841	2.44903	2.53389	2.75212	2.74000	2.75212	2.81274
8	3.39925	3.39925	3.31427	3.51822	3.48423	3.45024	3.46724	3.38225	3.14431	3.09332	3.02533	2.75339	2.66841	2.65142	2.56643	2.43046	2.24351	2.20951	2.12453	2.00556	2.03955
9	2.35383	2.55274	2.64391	2.71022	2.69364	2.80139	2.85940	2.85111	2.85940	2.64391	2.37040	2.17978	2.03888	1.98915	1.86483	1.75708	1.64934	1.55817	1.50015	1.59132	1.61618
10	3.42431	3.35490	3.28549	3.22765	3.38961	3.48216	3.28549	3.14667	3.18137	3.27392	3.47059	3.30863	3.11196	2.96157	2.97314	2.86902	2.75333	2.75333	2.91529	2.70706	2.54510
11	3.61168	3.38091	3.40398	3.18474	3.02320	2.87319	2.70011	2.40010	2.27317	2.19240	2.16932	2.11162	2.13470	2.16932	2.31932	2.37702	2.49241	2.45779	2.38856	2.40010	2.38856
12	3.66895	3.66895	3.27639	3.29149	3.32168	3.14050	2.74794	2.80833	2.47616	2.68754	2.67245	2.61205	2.61205	2.70264	2.65735	2.74794	2.61205	2.77814	2.76304	3.01971	2.91402
13	0.86998	0.86841	0.87006	0.86837	0.86688	0.86633	0.86892	0.86701	0.87138	0.88117	0.89144	0.90005	0.90781	0.91616	0.92066	0.92049	0.92036	0.92057	0.92074	0.92040	0.92061
14	2.25785	2.09980	1.55792	2.00949	1.94175	2.00949	1.87401	2.23527	2.59653	2.21269	1.80628	2.70942	3.02552	2.50621	2.46105	2.91262	2.77715	3.02552	3.04810	3.04810	3.22872
15	1.65241	1.62464	1.68019	1.83293	1.69407	1.49967	1.84682	2.08287	2.24950	1.91624	1.69407	1.70796	1.90236	1.95790	1.76350	1.83293	1.76350	1.59687	1.80516	1.73573	1.87459
16	1.92296	1.81079	1.76272	1.87489	1.87489	1.58644	1.60247	1.71464	1.55439	1.42620	1.87489	2.22743	2.30755	2.27551	2.24346	2.46780	2.69215	2.51588	2.48383	2.35563	2.40370
17	1.76607	1.75692	1.78132	1.72337	1.77827	1.79047	1.82097	1.80572	1.80877	1.76302	1.71422	1.60441	1.49155	1.40614	1.35124	1.34819	1.32074	1.29024	1.29329	1.28719	1.30854
18	2.67248	2.68857	2.57588	2.67248	2.67248	2.86567	2.96226	3.26815	3.30035	3.12325	2.59198	2.28609	2.06070	1.60992	1.43283	1.33624	1.23964	1.25574	1.38454	1.23964	1.17525
