State (Emission order)	clust1.bed	clust2.bed	clust3.bed	clust4.bed	clust5.bed	clust6.bed
1_Quiescent	0.86793	0.86891	0.86922	0.88028	0.85691	0.84722
2_CTCF_Boundary	4.86814	5.14199	4.85876	4.49269	2.82330	4.05450
3_Poised_Enhancer	2.22497	1.99934	2.10046	1.34425	0.79955	1.75158
4_Active_Enhancer	3.81542	3.12685	3.98748	1.26471	0.54429	4.42161
5_Active_Promoter_Flank	5.34334	4.58197	6.02991	3.03042	1.86589	6.85362
6_Poised_Promoter	4.46632	4.20954	4.81339	2.90320	2.52433	4.32239
7_Weak_Promoter	4.70665	4.47850	4.53108	3.09256	2.13882	4.20429
8_Active_Promoter	5.86364	5.05020	6.57852	3.27978	1.84387	7.21681
9_Strong_Enhancer	4.10073	3.36827	4.25292	1.54213	0.54759	4.60554
10_Insulator	3.49638	4.10573	3.61603	4.91906	5.30848	3.46010
11_Polycomb	0.96426	1.79818	0.84492	3.91139	6.58995	2.09229
12_Bivalent_Enhancer	1.40481	2.35162	1.20402	4.32418	7.90769	2.47774
Base	9.6803567056	8.4374743398	6.3716295690	3.1287614390	0.5083434739	1.8427680243
