task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	19/262903	1615338	fastp (260516_EMseq_LV_index_D1_Bap1_Math1_adult_mut_3201_S66_L001)	CACHED	0	2026-06-25 20:41:04.864	3m 19s	3m 18s	124.9%	1.6 GB	1.8 GB	7 GB	7 GB
5	d4/17437f	1600490	fastp (260516_EMseq_LV_index_A1_Bap1_Math1_adult_ctrl_3139_S63_L001)	CACHED	0	2026-06-25 20:29:54.405	3m 53s	3m 50s	124.8%	1.6 GB	1.8 GB	7.9 GB	7.9 GB
6	d2/1bd0bd	1605971	fastp (260516_EMseq_LV_index_B1_Bap1_Math1_adult_mut_3391_S64_L001)	CACHED	0	2026-06-25 20:33:47.183	2m 51s	2m 50s	124.9%	1.5 GB	1.6 GB	6 GB	6 GB
19	84/27a7d9	1686830	alignReads (260516_EMseq_LV_index_A1_Bap1_Math1_adult_ctrl_3139_S63_L001)	CACHED	0	2026-06-25 21:11:53.888	6m 9s	6m 8s	918.0%	20.5 GB	59.9 GB	17.4 GB	6 GB
23	0d/57e5b4	1768882	alignReads (260516_EMseq_LV_index_B1_Bap1_Math1_adult_mut_3391_S64_L001)	CACHED	0	2026-06-25 21:45:38.349	5m 43s	5m 42s	924.8%	20.3 GB	59.9 GB	17.4 GB	6 GB
14	56/e593d7	1815334	alignReads (260516_EMseq_LV_index_A1_Bap1_Math1_adult_ctrl_3139_S63_L001)	CACHED	0	2026-06-25 22:04:49.890	6m 2s	6m 1s	909.4%	20.5 GB	59.9 GB	17.4 GB	6 GB
25	8c/f7ace6	1995565	alignReads (260516_EMseq_LV_index_B1_Bap1_Math1_adult_mut_3391_S64_L001)	CACHED	0	2026-06-25 23:20:17.835	6m 2s	5m 58s	910.9%	20.4 GB	59.9 GB	17.4 GB	6 GB
16	e7/a486a9	1887870	alignReads (260516_EMseq_LV_index_A1_Bap1_Math1_adult_ctrl_3139_S63_L001)	CACHED	0	2026-06-25 22:34:44.358	6m	5m 58s	914.5%	20.4 GB	59.9 GB	17.4 GB	6 GB
15	87/d89656	1829705	alignReads (260516_EMseq_LV_index_A1_Bap1_Math1_adult_ctrl_3139_S63_L001)	CACHED	0	2026-06-25 22:10:52.052	5m 58s	5m 57s	927.9%	20.5 GB	59.8 GB	17.4 GB	6 GB
12	84/9a09d4	2210309	alignReads (260516_EMseq_LV_index_D1_Bap1_Math1_adult_mut_3201_S66_L001)	CACHED	0	2026-06-26 00:49:08.524	5m 45s	5m 44s	924.1%	20.3 GB	59.8 GB	17.4 GB	6 GB
24	6a/1bb204	1979901	alignReads (260516_EMseq_LV_index_B1_Bap1_Math1_adult_mut_3391_S64_L001)	CACHED	0	2026-06-25 23:13:40.012	6m 38s	6m 37s	797.1%	20.3 GB	59.9 GB	17.4 GB	6 GB
7	7f/9e5b2e	2196573	alignReads (260516_EMseq_LV_index_D1_Bap1_Math1_adult_mut_3201_S66_L001)	CACHED	0	2026-06-26 00:43:02.029	6m 6s	6m 5s	848.1%	20.3 GB	59.8 GB	17.4 GB	6 GB
26	ce/dda043	2019864	alignReads (260516_EMseq_LV_index_B1_Bap1_Math1_adult_mut_3391_S64_L001)	CACHED	0	2026-06-25 23:30:02.752	5m 49s	5m 48s	925.6%	20.4 GB	59.9 GB	17.4 GB	6 GB
8	1c/6c3fe0	2183094	alignReads (260516_EMseq_LV_index_D1_Bap1_Math1_adult_mut_3201_S66_L001)	CACHED	0	2026-06-26 00:37:22.733	5m 39s	5m 38s	924.0%	20.3 GB	59.9 GB	17.4 GB	6 GB
27	78/8277c0	2010541	alignReads (260516_EMseq_LV_index_B1_Bap1_Math1_adult_mut_3391_S64_L001)	CACHED	0	2026-06-25 23:26:19.777	3m 43s	3m 42s	910.7%	19.8 GB	59.8 GB	15.2 GB	3.7 GB
18	3f/6c1d5e	1655246	alignReads (260516_EMseq_LV_index_A1_Bap1_Math1_adult_ctrl_3139_S63_L001)	CACHED	0	2026-06-25 20:58:46.353	6m 16s	6m 15s	909.7%	20.6 GB	59.9 GB	17.4 GB	6 GB
13	e6/189e32	2239259	alignReads (260516_EMseq_LV_index_D1_Bap1_Math1_adult_mut_3201_S66_L001)	CACHED	0	2026-06-26 01:00:53.933	3m 19s	3m 18s	874.7%	19.7 GB	59.8 GB	14.7 GB	3.2 GB
11	8b/2d5ecc	2169154	alignReads (260516_EMseq_LV_index_D1_Bap1_Math1_adult_mut_3201_S66_L001)	CACHED	0	2026-06-26 00:31:32.433	5m 50s	5m 49s	914.5%	20.4 GB	59.9 GB	17.4 GB	6 GB
20	26/6e0a88	1902304	alignReads (260516_EMseq_LV_index_A1_Bap1_Math1_adult_ctrl_3139_S63_L001)	CACHED	0	2026-06-25 22:40:44.009	6m 11s	6m 10s	912.9%	20.5 GB	59.9 GB	17.4 GB	6 GB
22	71/d1b1d0	2034195	alignReads (260516_EMseq_LV_index_B1_Bap1_Math1_adult_mut_3391_S64_L001)	CACHED	0	2026-06-25 23:35:51.749	5m 46s	5m 45s	916.4%	20.3 GB	59.8 GB	17.4 GB	6 GB
17	19/b5f1e6	1639763	alignReads (260516_EMseq_LV_index_A1_Bap1_Math1_adult_ctrl_3139_S63_L001)	CACHED	0	2026-06-25 20:52:29.526	6m 17s	6m 15s	912.3%	20.4 GB	59.8 GB	17.4 GB	6 GB
21	a6/443ac0	1761785	alignReads (260516_EMseq_LV_index_A1_Bap1_Math1_adult_ctrl_3139_S63_L001)	CACHED	0	2026-06-25 21:42:53.735	2m 45s	2m 43s	859.8%	19.2 GB	59.6 GB	13.9 GB	2.4 GB
