component_1,component_2,label
22.828974,13.318331,7
0.88291746,10.065204,6
17.884758,4.7877827,3
-3.6158612,11.7563,6
14.325731,12.171439,6
19.564415,-0.4603659,1
-1.1095458,-20.616045,9
14.073308,-11.16735,9
15.288841,15.232974,6
19.27202,10.198796,7
8.460118,11.948699,6
15.692219,15.03857,6
-8.257014,0.9968645,0
22.16378,13.903323,7
1.6232252,-6.969561,9
13.84349,15.26982,6
23.446194,11.978355,7
11.794227,9.719061,6
-2.8400257,7.8645496,6
-2.9780688,-21.389723,9
21.577469,11.137171,7
18.481056,6.8435035,3
21.624645,12.337265,7
23.075396,12.067091,7
-23.630568,12.019269,8
-15.093611,9.749402,0
-0.060598724,13.743279,6
9.121672,11.631627,6
10.228019,14.31964,6
-21.72097,1.868215,8
13.006713,15.550812,6
17.299934,-9.335381,9
16.795708,13.943175,6
25.238558,12.095212,7
25.491747,-6.53606,1
-24.29616,5.214082,8
-3.092423,6.646544,6
20.043177,-1.5829546,3
-8.279484,-8.5929575,0
-8.167075,23.059196,2
19.994993,8.650009,7
20.594576,9.264636,7
22.007544,9.204734,7
13.968719,14.569481,6
16.17896,14.580565,6
3.578229,13.411556,6
-8.969523,23.062286,4
-21.390728,3.9313133,8
25.261322,12.980542,7
24.16266,-3.7609725,3
21.678148,8.41556,7
0.58027774,11.039636,6
6.4515123,10.868919,6
23.344135,14.110173,7
-4.4022307,11.272414,0
17.09369,11.401093,7
-21.99435,10.431415,8
11.010096,14.8995285,6
-15.83148,8.028913,0
-15.104617,5.648139,0
25.099506,12.6059475,7
13.342935,11.769168,6
16.460617,3.243911,3
-7.934278,8.550748,0
13.577518,14.203834,6
12.900034,14.5398,6
-5.787073,-11.729221,0
-2.7727475,-14.864819,9
9.516733,13.681509,6
4.97083,14.638136,6
-10.805301,19.958685,4
20.093327,5.4095297,3
2.6464136,-24.489891,2
14.97402,13.743152,6
0.18331102,14.415527,6
19.122688,6.883001,3
5.1413503,16.406578,6
-8.700336,1.9655983,0
-8.826017,7.529375,0
-10.040483,-2.2681854,0
21.058495,-12.564247,9
0.19453175,13.810168,6
0.42828074,8.35733,6
-2.1619287,13.060079,6
-14.4565325,5.5193095,0
7.7871118,7.6958437,6
22.173136,13.438997,7
-7.7907596,-6.907739,0
7.223755,-10.344567,9
4.9029274,-12.792546,9
-9.810777,6.225112,0
15.379067,-13.588348,9
13.8074465,-2.3541,9
-10.089005,-11.901539,0
22.664015,-10.438527,3
-6.233873,-9.117692,0
24.954782,-5.4289765,3
-8.842905,3.6644917,0
-12.261437,3.8531344,0
-23.09723,4.263656,8
11.643969,-2.2979643,9
8.497587,8.613475,6
17.48203,-7.3697643,9
1.5995431,-11.199337,0
12.556689,9.890609,6
16.60839,-1.4447569,3
2.076499,-21.815882,2
-4.4951854,-10.995796,0
23.127865,8.788047,7
5.345337,6.4232063,6
22.2631,-3.9598405,3
-5.7394733,10.089329,0
18.24473,-0.5939632,3
10.9532385,5.0293612,6
9.379252,1.9095908,6
18.683117,-8.294291,9
8.509659,-8.248921,9
-8.602655,20.925505,2
5.448045,-8.7857485,9
1.4660805,-10.631218,0
-1.5149314,-26.889658,9
23.729418,-7.973756,3
23.805569,-9.698211,3
15.975548,-11.347519,9
18.072203,5.522019,3
22.41586,-2.6120636,3
21.120611,-1.1513035,3
15.2683525,0.79003584,3
-5.1824474,-10.570069,0
7.9246874,7.801948,6
-3.5220306,15.785244,6
3.187235,4.8583684,6
-3.347486,-20.02118,2
19.098478,12.4952,7
0.2082116,-4.000074,9
11.465534,-4.0133505,9
9.926715,-5.492621,9
4.0480995,6.4832015,6
-3.5880027,-4.0909705,0
17.150549,-6.059436,9
21.914137,0.27019078,3
13.357519,-1.4945645,9
11.590135,-15.0014,9
12.299512,6.1155496,6
18.79209,-11.35532,9
14.768762,11.485068,6
-18.870153,-5.287833,0
22.907452,7.495976,7
12.483978,-11.205764,9
2.702678,-10.725876,9
-22.07733,3.1510925,8
3.8069575,-22.662683,2
8.515857,-6.8100677,9
5.341093,-0.8474466,9
20.560099,10.223444,7
10.179569,-15.479766,9
-1.3866475,-14.537958,9
5.324196,-9.948138,9
2.6379762,0.22006415,6
6.582333,-11.713265,9
-7.642496,5.296598,0
-8.763931,-7.9021287,0
10.389733,-9.970874,9
6.690557,-12.650964,9
24.67158,7.6845813,7
9.885863,9.28949,6
1.2446494,-14.155738,0
2.7913082,-10.78307,9
10.965841,9.096882,6
18.616938,7.8136396,3
-9.192861,21.589636,4
3.453897,0.95551854,6
-16.072756,7.2249246,0
