Distance from Center (cmd=annotatePeaks.pl tss mm10 -size 1000000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags
-500000	0.399282698640547	1.65487840918686e-05	1.64831546060964e-05	0.395945896310057	1.67604069914718e-05	1.66410748965634e-05
-499000	0.399175905598244	1.67720805539137e-05	1.68788735962172e-05	0.395870197585071	1.62117706662163e-05	1.62874693912015e-05
-498000	0.399355188719075	1.63351557882293e-05	1.61558726673984e-05	0.396248754538546	1.63502068732585e-05	1.59716499197839e-05
-497000	0.399701912522165	1.63152917335134e-05	1.5968567930423e-05	0.396612450392637	1.61534239635228e-05	1.57897281094318e-05
-496000	0.400152474035295	1.30354217681331e-05	1.2584860255003e-05	0.397019864054716	1.30681626277126e-05	1.26607489656337e-05
-495000	0.400167187368066	1.64054293675589e-05	1.63907160347885e-05	0.397056784598497	1.64313940724478e-05	1.63944735286667e-05
-494000	0.399984315629486	1.20099636916322e-05	1.21928354302119e-05	0.397141222663177	1.14139787216077e-05	1.13295406569281e-05
-493000	0.399994237102086	1.65014354470996e-05	1.64915139744997e-05	0.397292155703791	1.70277379042473e-05	1.68768048636326e-05
-492000	0.400390884910918	1.83724985223338e-05	1.79758507135016e-05	0.397574305496918	1.81441146668918e-05	1.78619648737651e-05
-491000	0.400446972895381	1.71477243941569e-05	1.70916364096935e-05	0.397543506712826	1.69505826226464e-05	1.69813814067382e-05
