Distance from Center (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27ac.bed mm10 -size 500000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags
-250000	0.77002076309734	3.38925991330872e-05	3.28421897575855e-05	0.7495938887997	3.27461336758174e-05	3.19015358270455e-05
-249000	0.771260180874405	3.36131535291915e-05	3.23737357521271e-05	0.7506757103869	3.25441215818483e-05	3.14622999946487e-05
-248000	0.772475089634505	3.22403810135389e-05	3.10254722534383e-05	0.751804248943115	3.15710922031359e-05	3.04425536469203e-05
-247000	0.773689302723819	3.09359982875796e-05	2.97217851982662e-05	0.752966019157703	3.00053513137475e-05	2.88435810991599e-05
-246000	0.775102905763365	3.13387916733558e-05	2.99251886338096e-05	0.754367260662493	3.03813881307861e-05	2.89801466259966e-05
-245000	0.776584202921817	2.96355755337935e-05	2.81542783753412e-05	0.755671482849039	2.85420345694868e-05	2.723781238294e-05
-244000	0.777325092310162	3.2648686252475e-05	3.19077968641301e-05	0.75638363568256	3.209728688393e-05	3.13851340504094e-05
-243000	0.778404184727351	3.16262642478728e-05	3.05471718306844e-05	0.757412639803072	3.09007866431209e-05	2.98717825226093e-05
-242000	0.779384545405897	3.12804088403703e-05	3.03000481618237e-05	0.758310964841869	3.01566864665276e-05	2.92583614277305e-05
-241000	0.780486701985337	3.13150318403168e-05	3.02128752608765e-05	0.759299673569861	3.03714882003532e-05	2.93827794723605e-05
-240000	0.781232407556055	3.09412425750521e-05	3.01955370043346e-05	0.759900197998609	3.01526194680794e-05	2.95520950393322e-05
-239000	0.78255723230053	3.07475785305292e-05	2.94227537860545e-05	0.761055600149837	2.99938995023278e-05	2.88384973510997e-05
-238000	0.783685342751645	2.92547225343822e-05	2.81266120832665e-05	0.76217782415583	2.81980521217959e-05	2.70758281158024e-05
-237000	0.785269224594638	3.29943811205651e-05	3.14104992775727e-05	0.763586611013004	3.19738855889121e-05	3.05650987317386e-05
-236000	0.786511532081126	3.34871300904372e-05	3.22448226039493e-05	0.764797185208969	3.27464547546423e-05	3.15358805586771e-05
-235000	0.787351367260662	3.25983303901108e-05	3.17584952105742e-05	0.765615989725478	3.18693209182854e-05	3.10505164017767e-05
-234000	0.788659335366833	3.26333279820196e-05	3.13253598758495e-05	0.76670728313801	3.1524482260395e-05	3.04331888478622e-05
-233000	0.789264997056777	3.18635950125756e-05	3.12579333226307e-05	0.767227056242307	3.09746882859742e-05	3.04549151816771e-05
-232000	0.790488307379462	3.00057794188473e-05	2.87824690961631e-05	0.768286883930005	2.90744902873656e-05	2.80146625996682e-05
-231000	0.791526301707069	3.14209878525178e-05	3.03829935249104e-05	0.769230588109381	3.07014502060256e-05	2.97577460266496e-05
-230000	0.792867983089849	3.16980788783646e-05	3.03563974955852e-05	0.770403542569701	3.05654198105635e-05	2.93924653502435e-05
-229000	0.794086370203885	3.42906833627656e-05	3.30722962487291e-05	0.771497779204795	3.33700433456414e-05	3.22758067105475e-05
