category	anchor	feature	count	percentage
up_anchor1	anchor1	3' UTR	8	10.958904109589
up_anchor1	anchor1	5' UTR	2	2.73972602739726
up_anchor1	anchor1	Distal Intergenic	19	26.027397260274
up_anchor1	anchor1	Exon	14	19.1780821917808
up_anchor1	anchor1	Intron	5	6.84931506849315
up_anchor1	anchor1	Promoter	25	34.2465753424658
up_anchor2	anchor2	3' UTR	9	12.3287671232877
up_anchor2	anchor2	Distal Intergenic	13	17.8082191780822
up_anchor2	anchor2	Exon	16	21.9178082191781
up_anchor2	anchor2	Intron	3	4.10958904109589
up_anchor2	anchor2	Promoter	32	43.8356164383562
down_anchor1	anchor1	3' UTR	3	3.26086956521739
down_anchor1	anchor1	Distal Intergenic	10	10.8695652173913
down_anchor1	anchor1	Exon	8	8.69565217391304
down_anchor1	anchor1	Intron	3	3.26086956521739
down_anchor1	anchor1	Promoter	68	73.9130434782609
down_anchor2	anchor2	3' UTR	1	1.08695652173913
down_anchor2	anchor2	Distal Intergenic	6	6.52173913043478
down_anchor2	anchor2	Exon	14	15.2173913043478
down_anchor2	anchor2	Intron	5	5.43478260869565
down_anchor2	anchor2	Promoter	66	71.7391304347826
