test_comparison	test_type	statistic	pvalue	multiple_testing_method	padj
H3K27ac_ctrl_clust1,H3K27ac_ctrl_clust2,H3K27ac_ctrl_clust3,H3K27ac_ctrl_clust4,H3K27ac_ctrl_clust5,H3K27ac_ctrl_clust6	Kruskal-Wallis	2426.538868015339	0.0		
H3K27ac_ctrl_clust1,H3K27ac_ctrl_clust2	Wilcoxon rank-sum	18.40805367408078	1.132188719543274e-75	bonferroni	1.6982830793149112e-74
H3K27ac_ctrl_clust1,H3K27ac_ctrl_clust3	Wilcoxon rank-sum	-6.073655939336082	1.2503046691881618e-09	bonferroni	1.8754570037822427e-08
H3K27ac_ctrl_clust1,H3K27ac_ctrl_clust4	Wilcoxon rank-sum	38.21240381418012	0.0	bonferroni	0.0
H3K27ac_ctrl_clust1,H3K27ac_ctrl_clust5	Wilcoxon rank-sum	23.01863101135981	3.0337373239560858e-117	bonferroni	4.5506059859341287e-116
H3K27ac_ctrl_clust1,H3K27ac_ctrl_clust6	Wilcoxon rank-sum	-4.913872419765368	8.929486844476048e-07	bonferroni	1.3394230266714072e-05
H3K27ac_ctrl_clust2,H3K27ac_ctrl_clust3	Wilcoxon rank-sum	-21.759759805040073	5.5840073889476175e-105	bonferroni	8.376011083421427e-104
H3K27ac_ctrl_clust2,H3K27ac_ctrl_clust4	Wilcoxon rank-sum	25.45118121883265	6.850106579292162e-143	bonferroni	1.0275159868938244e-141
H3K27ac_ctrl_clust2,H3K27ac_ctrl_clust5	Wilcoxon rank-sum	17.39973364637844	8.288743452427201e-68	bonferroni	1.2433115178640802e-66
H3K27ac_ctrl_clust2,H3K27ac_ctrl_clust6	Wilcoxon rank-sum	-13.730669270131306	6.651622310082548e-43	bonferroni	9.977433465123822e-42
H3K27ac_ctrl_clust3,H3K27ac_ctrl_clust4	Wilcoxon rank-sum	38.67715504810388	0.0	bonferroni	0.0
H3K27ac_ctrl_clust3,H3K27ac_ctrl_clust5	Wilcoxon rank-sum	23.553418115513377	1.1580899574659064e-122	bonferroni	1.7371349361988595e-121
H3K27ac_ctrl_clust3,H3K27ac_ctrl_clust6	Wilcoxon rank-sum	-1.5739936085795723	0.1154889270578703	bonferroni	1.0
