"file","n_peaks","peak_width_mean","peak_width_median","max_peak_width","min_peak_width"
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_37_Bap1_Math1_ctrl1_H3K36me3_S14_L003_aligned_reads_treat.stringent.sort_subtracted.bed",28916,1424.60578918246,1189,38629,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_38_Bap1_Math1_mut1_H3K36me3_S15_L003_aligned_reads_treat.stringent.sort_subtracted.bed",25558,1762.9134126301,1404,39993,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_39_Bap1_Math1_ctrl2_H3K36me3_S16_L003_aligned_reads_treat.stringent.sort_subtracted.bed",25459,1427.06689186535,1196,22500,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_40_Bap1_Math1_mut2_H3K36me3_S17_L003_aligned_reads_treat.stringent.sort_subtracted.bed",22019,2300.83636859076,1800,48546,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_41_Bap1_Math1_ctrl3_H3K36me3_S18_L003_aligned_reads_treat.stringent.sort_subtracted.bed",24033,1646.81808346856,1311,31119,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_42_Bap1_Math1_mut3_H3K36me3_S19_L003_aligned_reads_treat.stringent.sort_subtracted.bed",21677,1805.67297135212,1432,39234,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_43_Bap1_Math1_ctrl4_H3K36me3_S20_L003_aligned_reads_treat.stringent.sort_subtracted.bed",28666,1231.32048419731,1028,16955,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_44_Bap1_Math1_mut4_H3K36me3_S21_L003_aligned_reads_treat.stringent.sort_subtracted.bed",26072,1523.76200521632,1243,30831,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_45_Bap1_Math1_ctrl5_H3K36me3_S22_L003_aligned_reads_treat.stringent.sort_subtracted.bed",27428,1598.08181420446,1303,40384,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_46_Bap1_Math1_mut5_H3K36me3_S23_L003_aligned_reads_treat.stringent.sort_subtracted.bed",23246,1832.7261464338,1457,31085,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_47_Bap1_Math1_ctrl6_H3K36me3_S24_L003_aligned_reads_treat.stringent.sort_subtracted.bed",22370,1541.23518104604,1279,29571,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_48_Bap1_Math1_mut6_H3K36me3_S25_L003_aligned_reads_treat.stringent.sort_subtracted.bed",24274,1207.48850622065,1005.5,15931,1
