loop_category	mark	n_total	n_overlap	pct_overlap
long_range_lost	K27me3_down	121	22	18.1818181818182
long_range_lost	K27me3_up	121	5	4.13223140495868
long_range_lost	H2AK119ub_down	121	34	28.099173553719
long_range_lost	H2AK119ub_up	121	16	13.2231404958678
short_range_gained	K27me3_down	111	26	23.4234234234234
short_range_gained	K27me3_up	111	2	1.8018018018018
short_range_gained	H2AK119ub_down	111	10	9.00900900900901
short_range_gained	H2AK119ub_up	111	15	13.5135135135135
unchanged	K27me3_down	0	0	NA
unchanged	K27me3_up	0	0	NA
unchanged	H2AK119ub_down	0	0	NA
unchanged	H2AK119ub_up	0	0	NA
other_differential	K27me3_down	80	14	17.5
other_differential	K27me3_up	80	5	6.25
other_differential	H2AK119ub_down	80	8	10
other_differential	H2AK119ub_up	80	10	12.5
