subcompartment	median_signal	n_bins	mark	genome_median	fold_enrichment	log2_fold	condition	tp
B.2	0.160644995212555	7029	H3K27ac	0.521549986004829	0.308014571034937	-1.6989294937639	ctrl	250402
B.1	0.418289989471436	3707	H3K27ac	0.521549986004829	0.802013231129802	-0.318302057299567	ctrl	250402
A.2	0.809867484748364	3854	H3K27ac	0.521549986004829	1.55280894733044	0.634880336039062	ctrl	250402
A.1	2.21899998438358	5473	H3K27ac	0.521549986004829	4.25462571935154	2.08903222319549	ctrl	250402
B.2	0.0451349998414517	7029	H3K4me3	0.158599999547005	0.284583858577344	-1.81307425948404	ctrl	250402
B.1	0.12096999925375	3707	H3K4me3	0.158599999547005	0.762736441357288	-0.390743465655981	ctrl	250402
A.2	0.571057503297925	3854	H3K4me3	0.158599999547005	3.60061478517645	1.8482432598328	ctrl	250402
A.1	2.42783499833941	5473	H3K4me3	0.158599999547005	15.307913021903	3.93620570377453	ctrl	250402
B.2	0.0930750000700355	7029	ATAC	0.272514999680221	0.341540833272492	-1.54987002314194	ctrl	250402
B.1	0.238200000293553	3707	ATAC	0.272514999680221	0.8740803279565	-0.194162225436961	ctrl	250402
A.2	0.470475000414997	3854	ATAC	0.272514999680221	1.72641873279295	0.787782424225443	ctrl	250402
A.1	1.15065500466526	5473	ATAC	0.272514999680221	4.22235475484095	2.0780477964844	ctrl	250402
B.2	0.555934187531471	7029	H3K36me3	0.886868294872344	0.626850898544628	-0.67380576750724	ctrl	250402
B.1	0.873718292027712	3707	H3K36me3	0.886868294872344	0.985172541491604	-0.0215516769631441	ctrl	250402
A.2	1.02132874980197	3854	H3K36me3	0.886868294872344	1.15161265286744	0.203655545115784	ctrl	250402
A.1	1.33956078830361	5473	H3K36me3	0.886868294872344	1.5104393696884	0.594968274231078	ctrl	250402
B.2	0	7029	RNA	0.141	0	NA	ctrl	250402
B.1	0.0515	3707	RNA	0.141	0.365248226950355	-1.45305082521558	ctrl	250402
A.2	0.697	3854	RNA	0.141	4.94326241134752	2.30546349346963	ctrl	250402
A.1	2.6215	5473	RNA	0.141	18.5921985815603	4.21662547811756	ctrl	250402
B.2	0.671129999399185	7029	DNAmethylation	1.06005000126362	0.633111644355618	-0.659468164655955	ctrl	250402
B.1	1.15342500042915	3707	DNAmethylation	1.06005000126362	1.08808546677442	0.121791881633212	ctrl	250402
A.2	1.27293999963999	3854	DNAmethylation	1.06005000126362	1.2008301477502	0.264032102477405	ctrl	250402
A.1	1.38606499910355	5473	DNAmethylation	1.06005000126362	1.30754681142522	0.386862597257769	ctrl	250402
B.2	0.202249999016523	7029	H3K27me1	0.398354997992516	0.507712969677169	-0.977914980279865	ctrl	250402
B.1	0.243529998481274	3707	H3K27me1	0.398354997992516	0.611339131449404	-0.709955178788787	ctrl	250402
A.2	0.694262496411801	3854	H3K27me1	0.398354997992516	1.74282361188008	0.801426564218109	ctrl	250402
A.1	2.44265998622775	5473	H3K27me1	0.398354997992516	6.13186730061723	2.61632647605524	ctrl	250402
B.2	0.318580002129078	7029	H2AK119ub	0.674295002102852	0.472463834279591	-1.0817241954	ctrl	250402
B.1	0.813860002577305	3707	H2AK119ub	0.674295002102852	1.20697914123523	0.271400743949996	ctrl	250402
A.2	0.938917501479388	3854	H2AK119ub	0.674295002102852	1.39244321632414	0.477618495825329	ctrl	250402
A.1	0.944030004262924	5473	H2AK119ub	0.674295002102852	1.40002521347315	0.485452809331048	ctrl	250402
B.2	0.372474999174476	7029	H3K27me3	0.462754999935627	0.804907562806	-0.31310498413051	ctrl	250402
