subcompartment	median_signal	n_bins	mark	genome_median	fold_enrichment	log2_fold	condition	tp
B.2	0.12429999434948	4492	H3K27ac	0.524639987945557	0.236924361858552	-2.07750154288808	ctrl	250831
B.1	0.292869991600514	4272	H3K27ac	0.524639987945557	0.558230402427703	-0.841067396070515	ctrl	250831
A.2	0.659069993853569	4789	H3K27ac	0.524639987945557	1.25623286252813	0.329103915245336	ctrl	250831
A.1	1.61297747778893	6514	H3K27ac	0.524639987945557	3.07444631528222	1.62032661529057	ctrl	250831
B.2	0.0366799998730421	4492	H3K4me3	0.160864999502897	0.2280172814869	-2.13278492413494	ctrl	250831
B.1	0.0750199996680022	4272	H3K4me3	0.160864999502897	0.466353774281715	-1.10050330145961	ctrl	250831
A.2	0.212724999815226	4789	H3K4me3	0.160864999502897	1.32238212459258	0.403139128127671	ctrl	250831
A.1	1.9881725012064	6514	H3K4me3	0.160864999502897	12.3592609166085	3.62752056759368	ctrl	250831
B.2	0.0714975001588463	4492	ATAC	0.273915000386536	0.261020754825228	-1.93776356896209	ctrl	250831
B.1	0.161097500182689	4272	ATAC	0.273915000386536	0.588129529070534	-0.765794167090923	ctrl	250831
A.2	0.336895000353456	4789	ATAC	0.273915000386536	1.22992534135789	0.298570744083415	ctrl	250831
A.1	0.990362498126924	6514	ATAC	0.273915000386536	3.61558328944881	1.85422841091435	ctrl	250831
B.2	0.471208740245551	4492	H3K36me3	0.888390851065516	0.530407015876395	-0.914828236286145	ctrl	250831
B.1	0.741237065464258	4272	H3K36me3	0.888390851065516	0.834359183883124	-0.261259510675043	ctrl	250831
A.2	0.977140868224204	4789	H3K36me3	0.888390851065516	1.09989974238506	0.137372025790096	ctrl	250831
A.1	1.32530498350412	6514	H3K36me3	0.888390851065516	1.49180395308504	0.577057954831916	ctrl	250831
B.2	0	4492	RNA	0.145	0	NA	ctrl	250831
B.1	0.014	4272	RNA	0.145	0.096551724137931	-3.37255416795733	ctrl	250831
A.2	0.3025	4789	RNA	0.145	2.08620689655172	1.06088224214702	ctrl	250831
A.1	1.919	6514	RNA	0.145	13.2344827586207	3.72622990618045	ctrl	250831
B.2	0.550780000984669	4492	DNAmethylation	1.06252999901772	0.5183665416448	-0.947955493487563	ctrl	250831
B.1	0.915799999952316	4272	DNAmethylation	1.06252999901772	0.861905076373324	-0.214399104211359	ctrl	250831
A.2	1.2445199996233	4789	DNAmethylation	1.06252999901772	1.17127987047314	0.228085840570876	ctrl	250831
A.1	1.48879250115156	6514	DNAmethylation	1.06252999901772	1.40117691032527	0.486639119605958	ctrl	250831
B.2	0.229749999403954	4492	H3K27me1	0.399354998707771	0.575302675933383	-0.797606914171827	ctrl	250831
B.1	0.212932499423624	4272	H3K27me1	0.399354998707771	0.533191020802615	-0.907275609945502	ctrl	250831
A.2	0.454409997165203	4789	H3K27me1	0.399354998707771	1.1378597955092	0.186322803000526	ctrl	250831
A.1	1.92542248801887	6514	H3K27me1	0.399354998707771	4.82133063126575	2.26943136848785	ctrl	250831
B.2	0.230505002483726	4492	H2AK119ub	0.676055003002286	0.340955989468428	-1.55234256641021	ctrl	250831
B.1	0.548180002547801	4272	H2AK119ub	0.676055003002286	0.810851188310705	-0.302490927159337	ctrl	250831
