Distance	Interaction Frequency (interChr=1.674308e-01)
0	4.485334e-02
5000	7.763996e-02
10000	3.676668e-02
15000	2.139040e-02
20000	1.583324e-02
25000	1.303426e-02
30000	1.125451e-02
35000	9.934975e-03
40000	8.966649e-03
45000	8.196620e-03
50000	7.595842e-03
55000	7.113317e-03
60000	6.645642e-03
65000	6.281782e-03
70000	5.941083e-03
75000	5.654516e-03
80000	5.385087e-03
85000	5.149764e-03
90000	4.956718e-03
95000	4.749093e-03
100000	4.588296e-03
105000	4.419001e-03
110000	4.268609e-03
115000	4.118863e-03
120000	3.984772e-03
125000	3.881647e-03
130000	3.760223e-03
135000	3.642002e-03
140000	3.524786e-03
145000	3.404147e-03
150000	3.288729e-03
155000	3.216948e-03
160000	3.134555e-03
165000	3.039382e-03
170000	2.942775e-03
175000	2.878349e-03
180000	2.793552e-03
185000	2.732946e-03
190000	2.653327e-03
195000	2.614241e-03
200000	2.539754e-03
205000	2.474355e-03
210000	2.420321e-03
215000	2.355158e-03
220000	2.288342e-03
225000	2.254975e-03
230000	2.207026e-03
235000	2.154892e-03
240000	2.107727e-03
245000	2.084735e-03
250000	2.032589e-03
255000	2.002579e-03
260000	1.944545e-03
265000	1.910164e-03
270000	1.867255e-03
275000	1.812226e-03
280000	1.783802e-03
285000	1.755689e-03
290000	1.716551e-03
295000	1.689847e-03
300000	1.655797e-03
305000	1.621046e-03
310000	1.617674e-03
315000	1.591756e-03
320000	1.555918e-03
325000	1.539525e-03
330000	1.503796e-03
335000	1.470830e-03
340000	1.440348e-03
345000	1.405182e-03
350000	1.381015e-03
355000	1.361040e-03
360000	1.344028e-03
365000	1.313530e-03
370000	1.296912e-03
375000	1.289252e-03
380000	1.258965e-03
385000	1.243308e-03
390000	1.226168e-03
395000	1.202275e-03
400000	1.193385e-03
405000	1.177885e-03
410000	1.154228e-03
415000	1.148376e-03
420000	1.133376e-03
425000	1.104481e-03
430000	1.097228e-03
435000	1.084163e-03
440000	1.069335e-03
445000	1.045519e-03
450000	1.028360e-03
455000	1.015799e-03
460000	1.002709e-03
465000	9.923757e-04
470000	9.828795e-04
475000	9.542932e-04
480000	9.432515e-04
485000	9.329469e-04
490000	9.092997e-04
495000	9.098999e-04
500000	8.959871e-04
505000	8.874166e-04
510000	8.756637e-04
515000	8.579263e-04
520000	8.414824e-04
525000	8.414336e-04
530000	8.362073e-04
535000	8.383898e-04
540000	8.175160e-04
545000	8.084005e-04
550000	7.910686e-04
555000	7.766680e-04
560000	7.636895e-04
565000	7.628500e-04
570000	7.586709e-04
575000	7.448963e-04
580000	7.444910e-04
585000	7.314301e-04
590000	7.277797e-04
595000	7.151498e-04
600000	7.145476e-04
605000	6.927684e-04
610000	6.929785e-04
615000	6.826717e-04
620000	6.671908e-04
625000	6.651509e-04
630000	6.610806e-04
635000	6.480891e-04
640000	6.482155e-04
645000	6.439416e-04
650000	6.323188e-04
655000	6.390567e-04
660000	6.132728e-04
665000	6.046909e-04
670000	6.017210e-04
675000	5.995026e-04
680000	5.942685e-04
685000	5.800797e-04
690000	5.754647e-04
695000	5.790792e-04
700000	5.707321e-04
705000	5.715504e-04
710000	5.701826e-04
715000	5.548363e-04
720000	5.547986e-04
725000	5.486360e-04
730000	5.412871e-04
735000	5.312979e-04
740000	5.350328e-04
745000	5.324477e-04
750000	5.214344e-04
755000	5.209984e-04
760000	5.214826e-04
765000	5.050308e-04
770000	4.995915e-04
775000	4.967202e-04
780000	4.923212e-04
785000	4.871877e-04
790000	4.885783e-04
795000	4.777466e-04
800000	4.732955e-04
805000	4.721283e-04
810000	4.678210e-04
815000	4.683928e-04
820000	4.622308e-04
825000	4.638507e-04
830000	4.559249e-04
835000	4.529398e-04
840000	4.502276e-04
845000	4.518120e-04
850000	4.435865e-04
855000	4.359099e-04
860000	4.334959e-04
865000	4.384057e-04
870000	4.254880e-04
875000	4.202221e-04
880000	4.186506e-04
885000	4.170437e-04
890000	4.104824e-04
895000	4.124539e-04
900000	4.087948e-04
905000	4.010261e-04
910000	4.024299e-04
915000	3.957509e-04
920000	3.938940e-04
925000	3.993530e-04
930000	3.958004e-04
935000	3.966040e-04
940000	3.831340e-04
945000	3.800932e-04
950000	3.819937e-04
955000	3.705539e-04
960000	3.725189e-04
965000	3.721803e-04
970000	3.746307e-04
975000	3.650218e-04
980000	3.603996e-04
985000	3.589356e-04
990000	3.519164e-04
995000	3.543653e-04
1000000	3.528794e-04
1005000	3.551027e-04
1010000	3.532874e-04
1015000	3.513651e-04
1020000	3.510283e-04
