direction	anchor_type	count	percentage
down_in_mutant	Active_Enhancer	5	2.72
down_in_mutant	Active_Promoter	9	4.89
down_in_mutant	Bivalent_Promoter	2	1.09
down_in_mutant	CTCF_Site	13	7.07
down_in_mutant	Other	5	2.72
down_in_mutant	Poised_Enhancer	9	4.89
down_in_mutant	Polycomb	32	17.39
down_in_mutant	Repressed_Promoter	109	59.24
up_in_mutant	Active_Enhancer	7	4.79
up_in_mutant	Active_Promoter	5	3.42
up_in_mutant	Bivalent_Promoter	1	0.68
up_in_mutant	CTCF_Site	80	54.79
up_in_mutant	Other	22	15.07
up_in_mutant	Poised_Enhancer	15	10.27
up_in_mutant	Polycomb	7	4.79
up_in_mutant	Repressed_Promoter	9	6.16
