anchor	type	count	percentage
Anchor1	Active_Promoter	3	1.81818181818182
Anchor1	Repressed_Promoter	58	35.1515151515151
Anchor1	Bivalent_Promoter	4	2.42424242424242
Anchor1	Polycomb	19	11.5151515151515
Anchor1	Active_Enhancer	8	4.84848484848485
Anchor1	Poised_Enhancer	13	7.87878787878788
Anchor1	CTCF_Site	48	29.0909090909091
Anchor1	Other	12	7.27272727272727
Anchor2	Active_Promoter	8	4.84848484848485
Anchor2	Repressed_Promoter	55	33.3333333333333
Anchor2	Bivalent_Promoter	4	2.42424242424242
Anchor2	Polycomb	24	14.5454545454545
Anchor2	Active_Enhancer	7	4.24242424242424
Anchor2	Poised_Enhancer	7	4.24242424242424
Anchor2	CTCF_Site	44	26.6666666666667
Anchor2	Other	16	9.6969696969697
