loop_type	count	percentage
Repressed_Promoter-Repressed_Promoter	42	25.4545454545455
CTCF_Site-CTCF_Site	26	15.7575757575758
Repressed_Promoter-Polycomb	17	10.3030303030303
CTCF_Site-Other	14	8.48484848484848
Poised_Enhancer-CTCF_Site	8	4.84848484848485
Active_Enhancer-CTCF_Site	6	3.63636363636364
Polycomb-CTCF_Site	6	3.63636363636364
Polycomb-Polycomb	6	3.63636363636364
Repressed_Promoter-Bivalent_Promoter	5	3.03030303030303
Polycomb-Poised_Enhancer	4	2.42424242424242
Polycomb-Other	3	1.81818181818182
Repressed_Promoter-CTCF_Site	3	1.81818181818182
Active_Enhancer-Active_Enhancer	2	1.21212121212121
Active_Enhancer-Other	2	1.21212121212121
Active_Promoter-Active_Enhancer	2	1.21212121212121
Active_Promoter-CTCF_Site	2	1.21212121212121
Active_Promoter-Poised_Enhancer	2	1.21212121212121
Bivalent_Promoter-Other	2	1.21212121212121
Other-Other	2	1.21212121212121
Poised_Enhancer-Poised_Enhancer	2	1.21212121212121
Repressed_Promoter-Other	2	1.21212121212121
Active_Enhancer-Poised_Enhancer	1	0.606060606060606
Active_Promoter-Active_Promoter	1	0.606060606060606
Active_Promoter-Other	1	0.606060606060606
Active_Promoter-Polycomb	1	0.606060606060606
Active_Promoter-Repressed_Promoter	1	0.606060606060606
Bivalent_Promoter-CTCF_Site	1	0.606060606060606
Repressed_Promoter-Poised_Enhancer	1	0.606060606060606
