Sample	bismark-percent_cpg_meth	bismark-percent_chg_meth	bismark-percent_chh_meth	bismark-total_c	bismark-dup_reads_percent	bismark-dedup_reads	bismark-aligned_reads	bismark-percent_aligned	qualimap_bamqc-avg_gc	qualimap_bamqc-median_insert_size	qualimap_bamqc-1_x_pc	qualimap_bamqc-5_x_pc	qualimap_bamqc-10_x_pc	qualimap_bamqc-30_x_pc	qualimap_bamqc-50_x_pc	qualimap_bamqc-median_coverage	qualimap_bamqc-mean_coverage	qualimap_bamqc-general_error_rate	qualimap_bamqc-percentage_aligned	qualimap_bamqc-mapped_reads	qualimap_bamqc-mapped_paired_reads	qualimap_bamqc-total_reads	qualimap_bamqc-ns	qualimap_bamqc-duplication_rate	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Bap1_Math1_ctrl_3139									23.772928259633428	207	39.86436204342183	0.4188667847026553	0.007564782624180272	0.002262195848594599	0.0011624128464760544	0	0.6452	17.599999999999998	100.0	18.127146	18.127146	18.127146	82284	7.97							
Bap1_Math1_ctrl_3139_1																									12.840172021134938	31.538511345807848	28.0	101.0	101	45.45454545454545	16.755383
Bap1_Math1_ctrl_3139_1_val_1	81.0	1.2	1.4	272.628199	18.11	9.063573	11.067523	72.42190654239855																							
Bap1_Math1_ctrl_3139_2																									12.856754190224084	30.852445517784574	28.0	101.0	101	45.45454545454545	16.755383
Bap1_Math1_ctrl_3200									23.898425867928978	165	32.41373817901175	0.375206371803772	0.007628843378865808	0.001594107485439417	0.0008838256126116303	0	0.5333	16.99	100.0	14.889315999999999	14.889315999999999	14.889315999999999	67265	7.79							
Bap1_Math1_ctrl_3200_1																									11.440118651553858	31.916461518334415	28.0	101.0	101	45.45454545454545	13.754287
Bap1_Math1_ctrl_3200_1_val_1	81.3	0.9	1.1	203.490853	16.31	7.4446579999999996	8.895661	70.21375678514822																							
Bap1_Math1_ctrl_3200_2																									11.397653115658262	31.379443893143716	28.0	101.0	101	45.45454545454545	13.754287
Bap1_Math1_mut_3201									24.24056185628249	157	11.180013927739996	0.018410495870493874	0.001765523204735425	0.0006713537739037575	0.0005429020544569843	0	0.1597	16.919999999999998	100.0	4.606144	4.606144	4.606144	20001	12.04							
Bap1_Math1_mut_3201_1																									16.735257349197553	30.816481745319507	30.0	101.0	101	45.45454545454545	4.338481
Bap1_Math1_mut_3201_1_val_1	81.6	1.1	1.3	60.565352	15.86	2.303072	2.737282	70.20648377414975																							
Bap1_Math1_mut_3201_2																									16.69157298999989	29.975047427392028	29.0	101.0	101	45.45454545454545	4.338481
Bap1_Math1_mut_3391									23.99267931779075	201	37.54639628134232	0.30277097593839936	0.0064107350996219165	0.002052659210559603	0.0011956906841047957	0	0.5908	18.360000000000003	100.0	16.62427	16.62427	16.62427	76351	8.36							
Bap1_Math1_mut_3391_1																									12.90319271717749	24.627448370253546	28.0	101.0	101	45.45454545454545	13.563377
Bap1_Math1_mut_3391_1_val_1	79.3	1.0	1.2	257.991578	13.5	8.312135	9.609753	77.50047682970546																							
Bap1_Math1_mut_3391_2																									12.940724040324264	24.049666131057634	27.0	101.0	101	45.45454545454545	13.563377
