Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
Bap1_Math1_ctrl_3139_1 - illumina_universal_adapter	(1, 6.16262845200256)	(2, 6.193758746069845)	(3, 6.2132509892492465)	(4, 6.2419283402832395)	(5, 6.280148893045298)	(6, 6.371570258943051)	(7, 6.523342378983518)	(8, 6.994725217561425)	(9, 7.0276758221522)	(10, 7.073798313055571)	(12, 7.2139741598267255)	(14, 7.440373043099045)	(16, 7.63295891236864)	(18, 7.7652089480735835)	(20, 7.867429828372172)	(22, 7.947857712354292)	(24, 8.038025749694889)	(26, 8.177034807261643)	(28, 8.456909042305986)	(30, 8.683749574688923)	(32, 8.838884793024427)	(34, 8.958407575643005)	(36, 9.091266370932852)	(38, 9.235414075583948)	(40, 9.390895451330476)	(42, 9.557844783374989)	(44, 9.735220615368803)	(46, 9.930892060181495)	(48, 10.144877022506737)	(50, 10.384492553825837)	(52, 10.638539268245912)	(54, 10.914322280785823)	(56, 11.205983772498666)	(58, 11.518119281427348)	(60, 11.852760990303832)	(62, 12.21334361619785)	(64, 12.599067416125314)	(66, 13.007568970521294)	(68, 13.43797691762701)	(70, 13.886313431331292)	(72, 14.354595773788041)	(74, 14.843737084374617)	(76, 15.348730017093612)	(78, 15.87094129689545)	(80, 16.4018065119729)	(82, 16.944032255186286)	(84, 17.492852893902814)	(86, 18.04911890107197)	(88, 18.618893999617917)	(90, 19.055404463150737)
Bap1_Math1_ctrl_3139_1 - polya	(1, 0.029781473810535992)	(2, 0.03305206452159285)	(3, 0.034955930282226315)	(4, 0.03666881264367398)	(5, 0.03863832894777756)	(6, 0.04139565177352258)	(7, 0.04559728655561022)	(8, 0.051410343768328065)	(9, 0.056835465951449754)	(10, 0.06492540337633583)	(12, 0.07568314015859859)	(14, 0.08666170149616992)	(16, 0.09802521374772513)	(18, 0.10889933103886673)	(20, 0.11945713207510684)	(22, 0.12956433165389297)	(24, 0.14043248071381)	(26, 0.15159008898811804)	(28, 0.164174104525095)	(30, 0.1757166637133869)	(32, 0.1876710308561732)	(34, 0.20000139656610655)	(36, 0.21297334713267968)	(38, 0.22531863342067443)	(40, 0.237329698760094)	(42, 0.24890508322012095)	(44, 0.26084154566923357)	(46, 0.272915277436511)	(48, 0.2842937102661276)	(50, 0.2957348095236021)	(52, 0.30726841636505714)	(54, 0.3194704651036625)	(56, 0.331973909519108)	(58, 0.3440028795522012)	(60, 0.3563571181870328)	(62, 0.36818615247410336)	(64, 0.3799644567957653)	(66, 0.39220828315294254)	(68, 0.40407014271174824)	(70, 0.41503676758687047)	(72, 0.4261376776645452)	(74, 0.43795179137355444)	(76, 0.44894228917357487)	(78, 0.4595299313659377)	(80, 0.47005789124605507)	(82, 0.48104242081485094)	(84, 0.49180612582833827)	(86, 0.5027130683912149)	(88, 0.5133663611270479)	(90, 0.5214145209333622)
Bap1_Math1_ctrl_3139_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0008952346836834467)	(4, 0.0013130108694023885)	(5, 0.0015994859681810914)	(6, 0.0020411350787982586)	(7, 0.002548434732885545)	(8, 0.0031213849304429506)	(9, 0.003598843428407456)	(10, 0.004374713487599776)	(12, 0.00545197922363219)	(14, 0.006463594416194485)	(16, 0.0075736854239619586)	(18, 0.008692728778566267)	(20, 0.009656598121332112)	(22, 0.010736847972976804)	(24, 0.011870811905642504)	(26, 0.012909284138715301)	(28, 0.014135755655361622)	(30, 0.015287624281700992)	(32, 0.016478286410999975)	(34, 0.017498853950399105)	(36, 0.01842989802142989)	(38, 0.01954297314480964)	(40, 0.020694841771149008)	(42, 0.021882519784835713)	(44, 0.02300753137066458)	(46, 0.027209166152752224)	(48, 0.031157151107796224)	(50, 0.032249337421890026)	(52, 0.03347879305414862)	(54, 0.03470526457079495)	(56, 0.035872053775195714)	(58, 0.03713433467918936)	(60, 0.038495091398388206)	(62, 0.04008860913534475)	(64, 0.04237444169434981)	(66, 0.06170255851507542)	(68, 0.08757782498913931)	(70, 0.2203739538511295)	(72, 3.3833843129697483)	(74, 6.211180013014325)	(76, 6.42150048136769)	(78, 6.641197040974832)	(80, 6.997291556987984)	(82, 7.143346111515326)	(84, 7.306857742374495)	(86, 7.531319934614446)	(88, 7.7348724287591635)	(90, 7.862326990675176)
Bap1_Math1_ctrl_3139_2 - illumina_universal_adapter	(1, 6.225521672646934)	(2, 6.255398638157063)	(3, 6.2733570459117525)	(4, 6.29888317085918)	(5, 6.333654085973445)	(6, 6.422807524005867)	(7, 6.577092269391873)	(8, 7.405148542411713)	(9, 7.439113746310663)	(10, 7.485319792451178)	(12, 7.6054841599263945)	(14, 7.817398146016716)	(16, 8.01825896787916)	(18, 8.160631123740949)	(20, 8.270956862042485)	(22, 8.360504203335728)	(24, 8.4695020101898)	(26, 8.581624186089927)	(28, 8.687984034742744)	(30, 8.797808441621418)	(32, 8.903789307591477)	(34, 9.01713795500825)	(36, 9.143201919048941)	(38, 9.280993457445884)	(40, 9.434051731315243)	(42, 9.600884682850879)	(44, 9.77815308668265)	(46, 9.974108022478507)	(48, 10.188194444734567)	(50, 10.427732389047748)	(52, 10.681665707074556)	(54, 10.956887705879357)	(56, 11.24835224596179)	(58, 11.560347501456697)	(60, 11.895129463766956)	(62, 12.256049294725162)	(64, 12.642068522098242)	(66, 13.051125121998105)	(68, 13.482473065521688)	(70, 13.93114678429016)	(72, 14.399617126030481)	(74, 14.889638750722678)	(76, 15.395929773733014)	(78, 15.918794574853944)	(80, 16.45029839067242)	(82, 16.993568574350107)	(84, 17.542959179148575)	(86, 18.099920485255396)	(88, 18.670781801884207)	(90, 19.107978612007855)
Bap1_Math1_ctrl_3139_2 - polya	(1, 0.05268754525038311)	(2, 0.07129052197732513)	(3, 0.09804013432578652)	(4, 0.12786338575489442)	(5, 0.15920853614626415)	(6, 0.19289323317765997)	(7, 0.23127492818278161)	(8, 0.26741256824747006)	(9, 0.301956690575202)	(10, 0.35415484086517146)	(12, 0.4233684183763511)	(14, 0.4912272073995563)	(16, 0.5574536851828454)	(18, 0.6256079016516662)	(20, 0.6933473260503803)	(22, 0.7598960883197955)	(24, 0.8271132924863609)	(26, 0.8934770395878149)	(28, 0.9607509419510136)	(30, 1.0277503056778827)	(32, 1.0945169083869941)	(34, 1.1615371609231495)	(36, 1.2279576062212365)	(38, 1.2939990688365643)	(40, 1.361475891061398)	(42, 1.4271891009593753)	(44, 1.492896342626128)	(46, 1.5584872037840019)	(48, 1.6233439725012553)	(50, 1.688248487068305)	(52, 1.7513118023025793)	(54, 1.8153360027640073)	(56, 1.880055502163096)	(58, 1.9443661777233023)	(60, 2.0072056842866557)	(62, 2.0701138255090914)	(64, 2.133135363124794)	(66, 2.19540191949059)	(68, 2.2577729199028154)	(70, 2.3197291282449344)	(72, 2.3811690845861295)	(74, 2.4411677130865943)	(76, 2.5016706571255343)	(78, 2.5617110632445703)	(80, 2.6205041090376744)	(82, 2.6782556984820935)	(84, 2.7365145875806003)	(86, 2.794218431175223)	(88, 2.851474657428004)	(90, 2.895075570639)
Bap1_Math1_ctrl_3139_2 - polyg	(1, 0.41007716743926415)	(2, 0.42244931076776937)	(3, 0.4233206725265546)	(4, 0.4242218754414626)	(5, 0.42462174693350785)	(6, 0.4249380631884094)	(7, 0.4253379346804546)	(8, 0.42579748848474547)	(9, 0.42672853255577625)	(10, 0.427411895030988)	(12, 0.42916058677978297)	(14, 0.43011848789132423)	(16, 0.43056908934877824)	(18, 0.4309391196847007)	(20, 0.4313270547142969)	(22, 0.4315986092350142)	(24, 0.4319059731430789)	(26, 0.4322312417448172)	(28, 0.43258933561829055)	(30, 0.4329474294917639)	(32, 0.4334010150648302)	(34, 0.4338247594817737)	(36, 0.43470208947178346)	(38, 0.43527802378495317)	(40, 0.4357644346297545)	(42, 0.4366895104695607)	(44, 0.4374206187945689)	(46, 0.43835763109682424)	(48, 0.43906785061254644)	(50, 0.43981089540000373)	(52, 0.4424846629886049)	(54, 0.4447585590851609)	(56, 0.44588058655537743)	(58, 0.4469130905572257)	(60, 0.4481335938426475)	(62, 0.44956895345215325)	(64, 0.4511087571080888)	(66, 0.45222481634708084)	(68, 0.453997381020774)	(70, 0.4562056265738599)	(72, 0.4588972988561347)	(74, 0.47672440552388445)	(76, 3.7353249400506097)	(78, 6.6498360556723775)	(80, 6.753337121568633)	(82, 6.9635143523726075)	(84, 7.352947408006132)	(86, 7.444392646828783)	(88, 7.597725459334471)	(90, 7.784202843945733)
Bap1_Math1_ctrl_3200_1 - illumina_universal_adapter	(1, 5.653168353983016)	(2, 5.6821702208191525)	(3, 5.699830169313756)	(4, 5.723161076979126)	(5, 5.75380606788269)	(6, 5.8313455288522045)	(7, 5.9603307681452335)	(8, 6.352099530858997)	(9, 6.382330105515466)	(10, 6.421576051161358)	(12, 6.5338210552099145)	(14, 6.721856974483664)	(16, 6.878499045424892)	(18, 6.98913364247816)	(20, 7.078756608757692)	(22, 7.150043473718412)	(24, 7.229858588816708)	(26, 7.353670895481532)	(28, 7.604403630664389)	(30, 7.782210012049334)	(32, 7.897326847985649)	(34, 7.984837745497095)	(36, 8.078990208652764)	(38, 8.180049609260006)	(40, 8.288586678466139)	(42, 8.408382055718338)	(44, 8.536891079850232)	(46, 8.676985582749582)	(48, 8.834601895394506)	(50, 9.012586403061096)	(52, 9.202469019295584)	(54, 9.412836157919346)	(56, 9.638169539431598)	(58, 9.87910532912393)	(60, 10.142277822180095)	(62, 10.431093229332788)	(64, 10.742116258007412)	(66, 11.076579251254536)	(68, 11.432642782573899)	(70, 11.814803631769498)	(72, 12.219288429854632)	(74, 12.651062901333962)	(76, 13.113387847730674)	(78, 13.601544740196275)	(80, 14.112709004836091)	(82, 14.64781489582121)	(84, 15.213147726232556)	(86, 15.813545987516473)	(88, 16.449493165294577)	(90, 16.949602694781635)
Bap1_Math1_ctrl_3200_1 - polya	(1, 0.044342538439106294)	(2, 0.049402778929943804)	(3, 0.052238258515326895)	(4, 0.05469567415599224)	(5, 0.05752388328089998)	(6, 0.061646234370418475)	(7, 0.06776069163018046)	(8, 0.0752565363802573)	(9, 0.08219982613420819)	(10, 0.09138241771456419)	(12, 0.1039566791066669)	(14, 0.1170616841134695)	(16, 0.13050476553237547)	(18, 0.14322807136422266)	(20, 0.15522069591829807)	(22, 0.16712971017690703)	(24, 0.17924593255906324)	(26, 0.19255451045917538)	(28, 0.20631749213899636)	(30, 0.21963697572982155)	(32, 0.2328728490251803)	(34, 0.24689029682163824)	(36, 0.2621546285896172)	(38, 0.27705907256406676)	(40, 0.29053850628534944)	(42, 0.3043414754977848)	(44, 0.3188133270739516)	(46, 0.332681730430665)	(48, 0.3459575912586381)	(50, 0.35915711225162017)	(52, 0.3729927985361946)	(54, 0.38678849728815456)	(56, 0.40121309087123164)	(58, 0.41584852780809356)	(60, 0.4302040520166549)	(62, 0.4445741171461669)	(64, 0.45865699908690283)	(66, 0.47319064957711005)	(68, 0.4874880101018686)	(70, 0.5012982497747793)	(72, 0.5152720748083852)	(74, 0.5302455881573505)	(76, 0.5439758527650325)	(78, 0.5568154859644852)	(80, 0.570127699094835)	(82, 0.5835889566649293)	(84, 0.5970356733140729)	(86, 0.61028972276062)	(88, 0.6231184502693596)	(90, 0.633213484639371)
Bap1_Math1_ctrl_3200_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0006034482194533239)	(4, 0.0010324053874984577)	(5, 0.0012868715041354016)	(6, 0.0018030741978846303)	(7, 0.0022901950497324942)	(8, 0.0027845863620556996)	(9, 0.0031917321486748095)	(10, 0.004020564642863713)	(12, 0.005122039404877912)	(14, 0.006179891404040064)	(16, 0.0073649764615206885)	(18, 0.0084773569142479)	(20, 0.009473409999369652)	(22, 0.010549438149720156)	(24, 0.011690900444348732)	(26, 0.01277419905517458)	(28, 0.013857497666000425)	(30, 0.014824468909220814)	(32, 0.015889591368858307)	(34, 0.01709285257752728)	(36, 0.018136163655738752)	(38, 0.019306707792268694)	(40, 0.020462711007847953)	(42, 0.02188408603077717)	(44, 0.023469046414401562)	(46, 0.15358120708110862)	(48, 0.28025443994297927)	(50, 0.28249010653914663)	(52, 0.28705232048742335)	(54, 0.29820884208683446)	(56, 0.30041542684110056)	(58, 0.30491947710557443)	(60, 0.31431291203971534)	(62, 0.321070805051545)	(64, 0.3284248758223527)	(66, 0.4534259027748948)	(68, 0.6361143983690322)	(70, 1.0922194658290902)	(72, 4.123205368624342)	(74, 5.8240496217652)	(76, 6.0279787676380465)	(78, 6.2514436408081355)	(80, 6.505684373170343)	(82, 6.631834132877989)	(84, 6.775262141905284)	(86, 6.953937343317033)	(88, 7.100033611338778)	(90, 7.196825251646995)
Bap1_Math1_ctrl_3200_2 - illumina_universal_adapter	(1, 5.701524186604511)	(2, 5.729188288713185)	(3, 5.745256006363689)	(4, 5.7658314095089045)	(5, 5.793568216222331)	(6, 5.869486364505844)	(7, 6.0010017240442926)	(8, 6.7137395053629465)	(9, 6.744457200871263)	(10, 6.783884908029039)	(12, 6.880567491430126)	(14, 7.057461430025416)	(16, 7.221024979339169)	(18, 7.339529849856994)	(20, 7.43565260780148)	(22, 7.513112093705766)	(24, 7.606642932490793)	(26, 7.6994031024654355)	(28, 7.785241794067551)	(30, 7.8704915783711655)	(32, 7.950575700507049)	(34, 8.03416054936181)	(36, 8.124405140011984)	(38, 8.222131034491284)	(40, 8.329762931368235)	(42, 8.44953286200877)	(44, 8.578223647652546)	(46, 8.71867440311519)	(48, 8.876283445299638)	(50, 9.054057109612444)	(52, 9.243834304170036)	(54, 9.453445314904364)	(56, 9.678666004279247)	(58, 9.919827178246317)	(60, 10.183508603535756)	(62, 10.472872930454338)	(64, 10.78419404800845)	(66, 11.119624012498793)	(68, 11.476970780092053)	(70, 11.859775065039722)	(72, 12.26528499805188)	(74, 12.698331800114392)	(76, 13.162812438042046)	(78, 13.652361623688673)	(80, 14.164467412960047)	(82, 14.701183710940452)	(84, 15.268203288182077)	(86, 15.86985933912823)	(88, 16.507071577029038)	(90, 17.008704267985685)
