Module	Section	Sample Name	Source
Bismark	alignment	Bap1_Math1_ctrl_3139_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/26/Bap1_Math1_ctrl_3139_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	Bap1_Math1_ctrl_3200_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/25/Bap1_Math1_ctrl_3200_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	Bap1_Math1_mut_3201_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/23/Bap1_Math1_mut_3201_1_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	Bap1_Math1_mut_3391_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/24/Bap1_Math1_mut_3391_1_val_1_bismark_bt2_PE_report.txt
Bismark	deduplication	Bap1_Math1_ctrl_3139_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/22/Bap1_Math1_ctrl_3139_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	Bap1_Math1_ctrl_3200_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/21/Bap1_Math1_ctrl_3200_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	Bap1_Math1_mut_3201_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/19/Bap1_Math1_mut_3201_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	Bap1_Math1_mut_3391_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/20/Bap1_Math1_mut_3391_1_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	methylation_extraction	Bap1_Math1_ctrl_3139_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/42/Bap1_Math1_ctrl_3139_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	Bap1_Math1_ctrl_3200_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/41/Bap1_Math1_ctrl_3200_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	Bap1_Math1_mut_3201_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/39/Bap1_Math1_mut_3201_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	Bap1_Math1_mut_3391_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/40/Bap1_Math1_mut_3391_1_val_1_bismark_bt2_pe.deduplicated_splitting_report.txt
Bismark	m_bias	Bap1_Math1_ctrl_3139_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/38/Bap1_Math1_ctrl_3139_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	Bap1_Math1_ctrl_3200_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/37/Bap1_Math1_ctrl_3200_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
Bismark	m_bias	Bap1_Math1_mut_3201_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/35/Bap1_Math1_mut_3201_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
