loop_type	count	percentage
Poised_Enhancer_Distal-CTCF_Site	274	9.41580756013746
CTCF_Site-CTCF_Site	266	9.14089347079038
Polycomb-CTCF_Site	175	6.01374570446735
Polycomb-Polycomb	175	6.01374570446735
CTCF_Site-Other	173	5.94501718213058
Repressed_Promoter-Polycomb	172	5.9106529209622
Active_Enhancer_Distal-Poised_Enhancer_Distal	150	5.15463917525773
Active_Enhancer_Distal-Active_Enhancer_Distal	137	4.70790378006873
Poised_Enhancer_Distal-Poised_Enhancer_Distal	129	4.43298969072165
Polycomb-Poised_Enhancer_Distal	120	4.12371134020619
Active_Promoter-Active_Enhancer_Distal	116	3.98625429553265
Repressed_Promoter-CTCF_Site	116	3.98625429553265
Active_Promoter-Poised_Enhancer_Distal	98	3.36769759450172
Poised_Enhancer_Distal-Other	86	2.9553264604811
Active_Promoter-Active_Promoter	78	2.68041237113402
Repressed_Promoter-Poised_Enhancer_Distal	73	2.5085910652921
Repressed_Promoter-Repressed_Promoter	64	2.19931271477663
Polycomb-Other	62	2.13058419243986
Active_Promoter-CTCF_Site	53	1.8213058419244
Other-Other	52	1.78694158075601
Active_Enhancer_Distal-CTCF_Site	46	1.5807560137457
Repressed_Promoter-Other	41	1.40893470790378
Active_Promoter-Other	35	1.20274914089347
Active_Enhancer_Distal-Other	28	0.962199312714777
Active_Promoter-Polycomb	22	0.756013745704467
Poised_Enhancer_Proximal-CTCF_Site	21	0.721649484536082
Bivalent_Promoter-Poised_Enhancer_Distal	20	0.687285223367698
Active_Promoter-Repressed_Promoter	19	0.652920962199313
Poised_Enhancer_Proximal-Poised_Enhancer_Distal	18	0.618556701030928
Polycomb-Active_Enhancer_Distal	11	0.378006872852234
Bivalent_Promoter-CTCF_Site	8	0.274914089347079
Polycomb-Poised_Enhancer_Proximal	8	0.274914089347079
Active_Enhancer_Proximal-Poised_Enhancer_Distal	7	0.240549828178694
Bivalent_Promoter-Polycomb	7	0.240549828178694
Repressed_Promoter-Active_Enhancer_Distal	7	0.240549828178694
Active_Enhancer_Distal-Poised_Enhancer_Proximal	5	0.171821305841924
Active_Enhancer_Proximal-Active_Enhancer_Distal	5	0.171821305841924
Active_Promoter-Poised_Enhancer_Proximal	5	0.171821305841924
Bivalent_Promoter-Other	5	0.171821305841924
Poised_Enhancer_Proximal-Other	5	0.171821305841924
Bivalent_Promoter-Active_Enhancer_Distal	4	0.13745704467354
Active_Promoter-Active_Enhancer_Proximal	3	0.103092783505155
Active_Promoter-Bivalent_Promoter	3	0.103092783505155
Repressed_Promoter-Poised_Enhancer_Proximal	3	0.103092783505155
Active_Enhancer_Proximal-Other	1	0.0343642611683849
Bivalent_Promoter-Poised_Enhancer_Proximal	1	0.0343642611683849
Poised_Enhancer_Proximal-Poised_Enhancer_Proximal	1	0.0343642611683849
Polycomb-Active_Enhancer_Proximal	1	0.0343642611683849
Repressed_Promoter-Bivalent_Promoter	1	0.0343642611683849
